Genes,Amino_Acid_Length,Norm_Symbol
PCSK2,620.0,PCSK2
ZCCHC3,403.0,ZCCHC3
TPD52L2,198.55555555555557,TPD52L2
MITF,343.1333333333333,MITF
OR6S1,331.0,OR6S1
RPS25,67.66666666666667,RPS25
SHQ1,269.8,SHQ1
ZC3H13,865.75,ZC3H13
ZSWIM7,53.769230769230774,ZSWIM7
SORBS1,757.3684210526317,SORBS1
CAMK4,228.83333333333331,CAMK4
AC000120.3,708.0,AC000120.3
PSMC3IP,136.14285714285714,PSMC3IP
MLANA,118.0,MLANA
SOX14,240.0,SOX14
DEFB132,95.0,DEFB132
CENPK,173.9090909090909,CENPK
MLX,251.0,MLX
ZNF141,262.6666666666667,ZNF141
AC024592.3,144.66666666666666,AC024592.3
TEX45,238.0,TEX45
HRASLS2,162.0,HRASLS2
AC037459.1,188.0,AC037459.1
ARPC4-TTLL3,255.0,ARPC4-TTLL3
AARD,155.0,AARD
LRRTM1,371.8571428571428,LRRTM1
VDAC1,258.0,VDAC1
NDUFA11,131.0,NDUFA11
PDLIM2,251.63157894736838,PDLIM2
PDE9A,509.5384615384616,PDE9A
RARRES3,161.33333333333334,RARRES3
LDB1,393.0,LDB1
CU464060.1,295.5,CU464060.1
CTNNA2,517.1666666666666,CTNNA2
ZNF69,289.6666666666667,ZNF69
LRRC3C,275.0,LRRC3C
TREX1,219.66666666666663,TREX1
IFNW1,195.0,IFNW1
IL34,188.75,IL34
PTP4A2,100.58333333333331,PTP4A2
TOP2A,568.3333333333334,TOP2A
AP3B2,724.5,AP3B2
MAPKAPK3,282.3333333333333,MAPKAPK3
GINM1,223.66666666666663,GINM1
ZEB1,669.9,ZEB1
AC005697.1,159.0,AC005697.1
DAPK1,1233.7142857142858,DAPK1
SPOUT1,231.5,SPOUT1
RAB8B,116.4,RAB8B
PRAMEF19,479.0,PRAMEF19
UBR1,381.88888888888886,UBR1
CLYBL,215.14285714285717,CLYBL
AL162231.3,280.0,AL162231.3
IRX3,292.5,IRX3
RAD1,147.33333333333334,RAD1
CCDC160,325.0,CCDC160
IFRD1,194.08333333333331,IFRD1
NOL4,336.6666666666667,NOL4
OR1J2,313.0,OR1J2
TOM1L1,259.8333333333333,TOM1L1
LRRC34,338.75,LRRC34
KDM2A,953.0,KDM2A
RETN,90.66666666666669,RETN
RAPGEF2,581.9090909090909,RAPGEF2
PRSS54,295.0,PRSS54
CEP68,557.0,CEP68
TMEM189-UBE2V1,370.0,TMEM189-UBE2V1
KLF3,288.5,KLF3
HLA-DRB5,266.0,HLA-DRB5
GFAP,187.5,GFAP
EVC2,1038.5,EVC2
SNX15,197.83333333333331,SNX15
OTOP3,587.0,OTOP3
TMEM254,108.42857142857143,TMEM254
MRPS30,439.0,MRPS30
KBTBD4,312.1,KBTBD4
ARRB1,211.42857142857144,ARRB1
CSTF2T,616.0,CSTF2T
ZFP64,438.33333333333326,ZFP64
GNG11,73.0,GNG11
ATP6V1E1,207.25,ATP6V1E1
GRB2,169.77777777777774,GRB2
CLVS1,133.28571428571428,CLVS1
RPS23,112.33333333333331,RPS23
CBR4,128.83333333333334,CBR4
SLC10A3,430.4,SLC10A3
RBM26,830.0,RBM26
CTAGE8,777.0,CTAGE8
TXN,95.0,TXN
SPIRE1,412.33333333333326,SPIRE1
CA10,230.14285714285717,CA10
OR52E8,317.0,OR52E8
AP2B1,426.0,AP2B1
LHX6,237.77777777777774,LHX6
BRI3,90.0,BRI3
LPL,196.57142857142856,LPL
EIF2AK2,401.0,EIF2AK2
PCGF5,256.0,PCGF5
KCTD5,240.0,KCTD5
MRPS16,118.0,MRPS16
DAPL1,132.0,DAPL1
CTSA,338.1111111111111,CTSA
EMID1,281.0,EMID1
NELFA,287.5833333333333,NELFA
JCHAIN,143.5,JCHAIN
SLC35G5,338.0,SLC35G5
CNGB1,541.1666666666666,CNGB1
MEX3B,363.5,MEX3B
SOX9,509.0,SOX9
SOX17,414.0,SOX17
PGM2,223.66666666666663,PGM2
CHPF2,437.25,CHPF2
AGTPBP1,1232.0,AGTPBP1
AC022384.1,388.0,AC022384.1
CROT,478.25,CROT
HEPHL1,1159.0,HEPHL1
COL27A1,1019.6666666666665,COL27A1
SYNDIG1,258.0,SYNDIG1
DERL2,131.33333333333334,DERL2
NDUFV3,290.5,NDUFV3
REEP5,144.0,REEP5
PVRIG,326.0,PVRIG
TCAF2,769.1111111111112,TCAF2
SLC43A2,321.15384615384613,SLC43A2
RPL12,148.5,RPL12
EVI2B,448.0,EVI2B
ATG2A,1337.0,ATG2A
CPLX4,128.5,CPLX4
SNRPN,215.2,SNRPN
ADAMTSL3,1686.5,ADAMTSL3
SSR4,166.75,SSR4
PI15,258.0,PI15
CPLX1,119.0,CPLX1
CHD1,765.4,CHD1
WDR4,412.0,WDR4
LFNG,299.3333333333333,LFNG
SUSD3,196.2,SUSD3
OIT3,433.0,OIT3
FDXR,285.8125,FDXR
TMSB10,44.0,TMSB10
AC025283.3,96.0,AC025283.3
PRY2,109.0,PRY2
POTEM,438.66666666666674,POTEM
EFNB1,346.0,EFNB1
PKN1,374.625,PKN1
SHCBP1,413.5,SHCBP1
APBA2,383.77777777777777,APBA2
DPCD,164.75,DPCD
ZCCHC24,234.5,ZCCHC24
WNT11,207.0,WNT11
PSKH2,385.0,PSKH2
ZNRF3,869.3333333333335,ZNRF3
NUDT15,164.0,NUDT15
TNFRSF10B,313.6666666666667,TNFRSF10B
COMTD1,261.0,COMTD1
TARDBP,205.34615384615384,TARDBP
AFG3L2,503.0,AFG3L2
INTS2,772.8571428571429,INTS2
BTG3,148.33333333333334,BTG3
BAG1,179.375,BAG1
CIRBP,151.74285714285713,CIRBP
PNPLA3,359.33333333333326,PNPLA3
PATE1,120.0,PATE1
RAB3A,153.33333333333334,RAB3A
TNFSF13,200.33333333333331,TNFSF13
MATK,286.5833333333333,MATK
B3GALT1,326.0,B3GALT1
C2orf68,98.25,C2orf68
MRPL54,107.0,MRPL54
MMP26,261.0,MMP26
MELTF,407.0,MELTF
TRPM7,1272.6,TRPM7
TCF7L2,371.59090909090907,TCF7L2
DNAJC11,430.5,DNAJC11
EDNRB,416.5555555555555,EDNRB
PIGP,115.5,PIGP
FAM107B,125.9090909090909,FAM107B
OR51F2,336.0,OR51F2
CFAP161,172.33333333333337,CFAP161
TEFM,252.33333333333331,TEFM
PVALEF,134.0,PVALEF
AKAP3,490.75,AKAP3
FAM234A,237.28571428571428,FAM234A
KCNA6,529.0,KCNA6
MAGEA9,315.0,MAGEA9
ZNF169,241.25,ZNF169
SPATA31A6,1343.0,SPATA31A6
C12orf66,435.0,C12orf66
FOXP2,426.5652173913044,FOXP2
KLHL7,261.1666666666667,KLHL7
SMIM1,48.5,SMIM1
FAM184A,593.2307692307693,FAM184A
LPAR5,372.0,LPAR5
R3HDM4,140.4,R3HDM4
AC114490.2,723.0,AC114490.2
AL031315.1,163.0,AL031315.1
TF,198.14285714285717,TF
CX3CR1,287.3333333333333,CX3CR1
SRPRB,174.33333333333337,SRPRB
ULBP1,244.0,ULBP1
CRB3,120.75,CRB3
ATF7IP,422.1,ATF7IP
KBTBD3,376.2,KBTBD3
RAB6B,134.0,RAB6B
XIRP1,1163.3333333333333,XIRP1
OSBPL6,862.5714285714287,OSBPL6
TAF11L9,198.0,TAF11L9
TAF11L8,198.0,TAF11L8
TAF11L7,198.0,TAF11L7
MBD3L4,208.0,MBD3L4
TRIM71,868.0,TRIM71
C21orf58,219.25,C21orf58
DBX1,343.0,DBX1
H2AFX,143.0,H2AFX
UTP23,112.71428571428572,UTP23
APLP1,375.125,APLP1
MCMBP,641.0,MCMBP
KRT78,323.6666666666667,KRT78
ARHGEF10,1125.8333333333333,ARHGEF10
VPS51,214.5,VPS51
KRT1,644.0,KRT1
KMT2C,1712.333333333333,KMT2C
AL049629.2,104.5,AL049629.2
FSCB,825.0,FSCB
MFSD1,213.2142857142857,MFSD1
SYT1,233.5,SYT1
NPPC,126.0,NPPC
CNTNAP3B,687.7777777777777,CNTNAP3B
SPINK1,72.0,SPINK1
MEIKIN,270.0,MEIKIN
TANK,214.26666666666668,TANK
VSTM4,255.5,VSTM4
RHPN1,670.0,RHPN1
WDR49,429.0,WDR49
INSYN1,246.33333333333331,INSYN1
UGT2B11,529.0,UGT2B11
FOLR2,204.0,FOLR2
BORCS6,357.0,BORCS6
RASSF7,252.0,RASSF7
PDE11A,469.8571428571428,PDE11A
PCDHA10,825.6666666666665,PCDHA10
DCUN1D2,146.875,DCUN1D2
IFNA7,189.0,IFNA7
KCTD6,158.8,KCTD6
AC244197.3,339.0,AC244197.3
MTREX,322.75,MTREX
PLPP1,226.33333333333331,PLPP1
TREH,390.66666666666674,TREH
SH3BP4,471.0,SH3BP4
CUL1,770.0,CUL1
CACHD1,1181.5,CACHD1
NR3C2,919.5,NR3C2
MMP16,387.5,MMP16
SERPINB6,249.22727272727272,SERPINB6
SEMA7A,606.3333333333334,SEMA7A
AHCY,418.0,AHCY
STXBP1,341.6842105263158,STXBP1
TRMT44,462.66666666666674,TRMT44
KCTD2,133.66666666666666,KCTD2
ABRAXAS1,196.125,ABRAXAS1
NMUR1,426.0,NMUR1
FSTL5,843.3333333333335,FSTL5
ATOH8,321.0,ATOH8
CES2,260.14285714285717,CES2
R3HCC1,280.77777777777777,R3HCC1
GRTP1,295.5,GRTP1
DDX56,327.85714285714283,DDX56
ABHD2,231.8,ABHD2
BCHE,388.2,BCHE
ACOT13,128.5,ACOT13
MARCH10,597.0,MARCH10
NECTIN1,442.33333333333326,NECTIN1
BEND2,722.0,BEND2
UGT2B17,530.0,UGT2B17
GMPR,345.0,GMPR
PTRHD1,140.0,PTRHD1
TMEM167A,72.0,TMEM167A
TMEM35A,167.0,TMEM35A
CARD11,499.33333333333326,CARD11
VWA1,206.0,VWA1
ABHD8,248.0,ABHD8
C11orf86,115.0,C11orf86
CNTN5,1040.5,CNTN5
USP48,455.3,USP48
BTAF1,1849.0,BTAF1
OSBP,489.0,OSBP
MAP4,652.0833333333334,MAP4
HMG20B,204.85714285714286,HMG20B
NAIP,920.3809523809523,NAIP
HID1,319.0,HID1
PRKD3,463.6,PRKD3
NDUFS3,137.0,NDUFS3
GAL3ST1,222.0909090909091,GAL3ST1
SLC25A16,122.2,SLC25A16
USP26,913.0,USP26
UTS2R,389.0,UTS2R
NFE2L2,317.5833333333333,NFE2L2
IFT57,222.33333333333331,IFT57
RPP25L,163.0,RPP25L
AC171558.6,313.0,AC171558.6
VMP1,127.36363636363636,VMP1
CDAN1,435.75,CDAN1
AP000944.2,581.0,AP000944.2
TMEM184C,257.0,TMEM184C
DOCK4,997.7777777777777,DOCK4
ACKR4,185.0,ACKR4
EIF3M,157.22222222222226,EIF3M
GTPBP6,516.0,GTPBP6
LRRC30,301.0,LRRC30
KCNH8,651.0,KCNH8
ACTRT3,372.0,ACTRT3
CCNQ,121.55555555555556,CCNQ
SLC5A10,580.6,SLC5A10
ARR3,308.0,ARR3
NPTX2,431.0,NPTX2
SEC61B,69.0,SEC61B
RBBP8NL,664.0,RBBP8NL
FBH1,1041.0,FBH1
PLAC8,103.6,PLAC8
ZNF622,477.0,ZNF622
RASL10B,203.0,RASL10B
PNMA2,364.0,PNMA2
VSX1,273.1666666666667,VSX1
ANKLE1,486.8,ANKLE1
CCDC125,430.0,CCDC125
TNIK,1090.7,TNIK
FGL1,312.0,FGL1
LAMA1,1646.0,LAMA1
PHLDA2,152.0,PHLDA2
SLC13A2,280.0,SLC13A2
PGBD4,585.0,PGBD4
ROBO1,1099.2222222222224,ROBO1
DLG1,530.1052631578947,DLG1
MBNL1,302.89473684210526,MBNL1
GHRL,92.9090909090909,GHRL
SDC2,165.33333333333334,SDC2
PSMC3,284.0,PSMC3
ACP2,293.375,ACP2
ARAP2,666.0,ARAP2
TBC1D8,1147.5,TBC1D8
NANOS1,188.0,NANOS1
RALY,212.33333333333331,RALY
ABCC12,712.5555555555555,ABCC12
AC090517.4,747.0,AC090517.4
CEP112,424.11111111111114,CEP112
AC007906.2,52.0,AC007906.2
COL1A1,809.0,COL1A1
UBE2C,127.28571428571428,UBE2C
LRRC24,511.5,LRRC24
AC097634.4,282.3333333333333,AC097634.4
C3orf22,121.5,C3orf22
ZNF395,242.77777777777774,ZNF395
SLC6A19,494.0,SLC6A19
TCAIM,199.0,TCAIM
LGALS9,180.66666666666663,LGALS9
NAA16,603.0,NAA16
CENPH,190.0,CENPH
STXBP2,321.6363636363636,STXBP2
TMEM101,132.0,TMEM101
KSR1,524.4,KSR1
CCDC27,429.0,CCDC27
FDCSP,85.0,FDCSP
STOM,193.0,STOM
STK11,197.16666666666663,STK11
TP73,523.2727272727273,TP73
YTHDC1,385.5,YTHDC1
ZNF619,511.625,ZNF619
IFI27,97.9,IFI27
CIB2,116.6,CIB2
KIAA1328,277.3333333333333,KIAA1328
DPY19L1,359.4,DPY19L1
BHLHE40,412.0,BHLHE40
SLFN12,383.6,SLFN12
RGS9,628.2,RGS9
PRRC1,441.66666666666674,PRRC1
AC008162.2,41.0,AC008162.2
CBARP,418.0,CBARP
NAA40,137.0,NAA40
ZNF620,185.6,ZNF620
TCF12,421.28571428571433,TCF12
MVD,170.8,MVD
TSGA10IP,280.5,TSGA10IP
NPC2,152.0,NPC2
EPB41L2,536.36,EPB41L2
DMRTB1,342.0,DMRTB1
MARK4,237.125,MARK4
OR52W1,320.0,OR52W1
AC010547.4,88.0,AC010547.4
PLXNC1,519.6666666666666,PLXNC1
RBMXL3,1067.0,RBMXL3
CRADD,144.5,CRADD
HIST1H4I,103.0,HIST1H4I
CLDN9,217.0,CLDN9
ZNF562,198.125,ZNF562
RIMKLA,244.0,RIMKLA
BRD3OS,97.66666666666669,BRD3OS
FLRT3,649.0,FLRT3
KRTAP9-7,169.0,KRTAP9-7
KRTAP4-2,136.0,KRTAP4-2
LLPH,129.0,LLPH
FXYD3,97.23076923076924,FXYD3
HOXB6,224.0,HOXB6
CHRNA10,223.0,CHRNA10
SCN1B,211.83333333333331,SCN1B
R3HCC1L,582.3333333333334,R3HCC1L
KRTAP1-4,121.0,KRTAP1-4
KRTAP1-3,167.0,KRTAP1-3
DYNC1H1,1479.0,DYNC1H1
MRPL48,74.15384615384616,MRPL48
USP24,934.6666666666665,USP24
CCDC3,207.5,CCDC3
COL12A1,1810.75,COL12A1
ELOA,789.3333333333335,ELOA
PHTF1,574.7142857142858,PHTF1
GALR2,387.0,GALR2
FAM50B,325.0,FAM50B
DHCR24,309.3333333333333,DHCR24
HR,792.3333333333335,HR
NPR2,390.5,NPR2
TRIM38,465.0,TRIM38
C2CD5,764.5555555555555,C2CD5
AC002985.1,84.0,AC002985.1
CACNA2D4,580.3571428571429,CACNA2D4
TECTA,1947.25,TECTA
GALNT4,578.0,GALNT4
ZACN,268.0,ZACN
ZNF560,790.0,ZNF560
POLR3GL,206.5,POLR3GL
LIN52,106.5,LIN52
LRRC70,346.5,LRRC70
AP000350.12,209.0,AP000350.12
MMS19,442.0,MMS19
CTPS1,437.27272727272725,CTPS1
ARPIN,164.0,ARPIN
CEP128,387.3636363636364,CEP128
LZTR1,225.83333333333331,LZTR1
DHRS7,271.875,DHRS7
SPINT1,358.25,SPINT1
ZNF674,418.33333333333326,ZNF674
ZNF266,562.4,ZNF266
PTPRJ,803.6666666666665,PTPRJ
ARHGAP17,291.5555555555556,ARHGAP17
RNF4,106.92857142857143,RNF4
TNIP1,487.9375,TNIP1
UHRF1BP1L,412.11111111111114,UHRF1BP1L
TMIGD3,223.0,TMIGD3
GUCY2D,1103.0,GUCY2D
POLR3H,162.85714285714286,POLR3H
KCNK3,332.5,KCNK3
PI4K2A,479.0,PI4K2A
TWISTNB,338.0,TWISTNB
CBLC,389.5,CBLC
SECISBP2L,638.8,SECISBP2L
NLGN1,440.66666666666674,NLGN1
CCRL2,321.0,CCRL2
ZNF195,267.90909090909093,ZNF195
MAFG,140.66666666666666,MAFG
TBC1D30,384.0,TBC1D30
GOSR2,163.4047619047619,GOSR2
ANGPTL6,456.66666666666674,ANGPTL6
USP9Y,1396.0,USP9Y
IBTK,893.5,IBTK
RFWD3,326.6666666666667,RFWD3
CYP26C1,412.0,CYP26C1
HSF2,422.66666666666674,HSF2
SLC25A53,307.0,SLC25A53
FBP1,275.0,FBP1
FBP2,339.0,FBP2
TPSD1,238.5,TPSD1
IGFBP6,155.2,IGFBP6
SPRED1,287.5,SPRED1
CCR2,307.25,CCR2
OR7E24,337.0,OR7E24
RTCB,505.0,RTCB
RNF130,340.75,RNF130
SHC4,326.6,SHC4
EID1,176.0,EID1
LRRK2,843.0,LRRK2
SLC7A11,288.0,SLC7A11
PPIA,111.28571428571428,PPIA
PNMA8B,635.0,PNMA8B
P2RY8,199.5,P2RY8
SVEP1,2671.0,SVEP1
NRN1L,113.33333333333331,NRN1L
BCOR,951.1818181818179,BCOR
ASPG,348.5,ASPG
ZNF451,364.25,ZNF451
PHF21A,163.0,PHF21A
DOK2,229.75,DOK2
LZTFL1,179.625,LZTFL1
TMEM138,123.66666666666669,TMEM138
CPT1C,325.2142857142857,CPT1C
C15orf39,559.4285714285714,C15orf39
C2CD2L,609.3333333333334,C2CD2L
TMEM97,104.8,TMEM97
MRO,199.6,MRO
AC019117.2,797.0,AC019117.2
BIRC8,236.0,BIRC8
VN1R2,395.0,VN1R2
GLG1,687.625,GLG1
PLGLB2,96.0,PLGLB2
PCOLCE2,272.0,PCOLCE2
ACRBP,329.0,ACRBP
SSX3,186.66666666666663,SSX3
NPM2,175.33333333333337,NPM2
TAF11L11,198.0,TAF11L11
XRCC2,280.0,XRCC2
ROCK1,863.3333333333335,ROCK1
GBP2,591.0,GBP2
CFL1,143.8181818181818,CFL1
SNX32,403.0,SNX32
EPHB2,891.2,EPHB2
MED27,238.66666666666663,MED27
CADPS2,1104.142857142857,CADPS2
OR2Z1,314.0,OR2Z1
PDIA4,404.0,PDIA4
PCNP,74.0,PCNP
DTNA,371.28571428571433,DTNA
MAP2K7,426.66666666666674,MAP2K7
TRMT10C,357.5,TRMT10C
ACKR3,286.0,ACKR3
THOC5,346.66666666666674,THOC5
SERPINA5,235.75,SERPINA5
MAGEA9B,180.25,MAGEA9B
TRIM28,408.16666666666674,TRIM28
BANK1,722.8,BANK1
NECAB1,183.66666666666663,NECAB1
LRRC36,200.07142857142856,LRRC36
ACOT9,285.3333333333333,ACOT9
AZI2,213.7142857142857,AZI2
OTUD5,506.33333333333326,OTUD5
PCSK5,1024.8,PCSK5
TSEN54,224.0,TSEN54
SLC5A1,600.5,SLC5A1
C1QA,236.66666666666663,C1QA
PLN,52.0,PLN
OSBP2,495.53333333333336,OSBP2
KRTAP12-3,96.0,KRTAP12-3
ULK4,421.4,ULK4
NUS1,293.0,NUS1
MTAP,207.375,MTAP
NPHS1,1221.0,NPHS1
POLR2B,831.5714285714287,POLR2B
TGFBI,224.0,TGFBI
TBC1D3,549.0,TBC1D3
SIK1,468.0,SIK1
TMEM262,111.0,TMEM262
HMBS,241.15,HMBS
CCR7,316.3333333333333,CCR7
LACTB2,288.0,LACTB2
KCNC4,533.4,KCNC4
FAM177A1,109.7,FAM177A1
FAM180B,201.0,FAM180B
REX1BD,126.5,REX1BD
KIAA0391,288.8,KIAA0391
TRPV3,464.5,TRPV3
SYMPK,511.33333333333326,SYMPK
RNF212,163.42857142857142,RNF212
NT5C,116.625,NT5C
PRR20C,221.0,PRR20C
CDCA5,194.0,CDCA5
IL9,144.0,IL9
IFNA6,189.5,IFNA6
PRR20B,221.0,PRR20B
EDIL3,475.0,EDIL3
HMSD,96.0,HMSD
MAP1B,786.4,MAP1B
CD3G,77.75,CD3G
SMARCC2,825.1666666666665,SMARCC2
PSMD3,245.66666666666663,PSMD3
MAGI1,1076.6,MAGI1
IFNGR2,184.33333333333331,IFNGR2
RC3H2,618.375,RC3H2
NFU1,123.55555555555556,NFU1
C9orf129,196.0,C9orf129
TEAD1,344.33333333333326,TEAD1
SCAMP5,117.0,SCAMP5
H3F3B,129.0,H3F3B
FNDC10,226.0,FNDC10
STAM2,525.0,STAM2
MRPL40,206.0,MRPL40
PTMA,107.5,PTMA
SST,116.0,SST
TMEM156,237.5,TMEM156
TIAL1,191.16666666666663,TIAL1
TUT7,704.1666666666665,TUT7
SCARB2,318.8666666666667,SCARB2
MCM7,410.0,MCM7
SERPINB3,364.0,SERPINB3
TRPV2,238.5,TRPV2
STARD7,258.5,STARD7
DPY19L4,202.125,DPY19L4
SF3A1,288.25,SF3A1
NFATC2IP,228.66666666666663,NFATC2IP
RNF215,138.25,RNF215
RAPGEF6,1019.8181818181821,RAPGEF6
NPTN,285.14285714285717,NPTN
MTFP1,118.4,MTFP1
ADCY3,485.88888888888886,ADCY3
HCN4,1203.0,HCN4
SERINC3,386.0,SERINC3
SLITRK6,841.0,SLITRK6
QSER1,1132.25,QSER1
COL18A1,1115.8,COL18A1
TAGLN,178.14285714285714,TAGLN
MYNN,426.0,MYNN
XIAP,332.6,XIAP
NPC1L1,1175.25,NPC1L1
HOXA3,293.4,HOXA3
MFGE8,260.0,MFGE8
FERMT3,376.2,FERMT3
NPM3,178.0,NPM3
PPP1R8,223.0,PPP1R8
GJC1,244.66666666666663,GJC1
GATA5,397.0,GATA5
HAUS3,347.6,HAUS3
SMN1,235.0,SMN1
WIPF3,483.0,WIPF3
DZANK1,414.7,DZANK1
LRRN1,716.0,LRRN1
NCALD,113.54166666666669,NCALD
OR51M1,326.0,OR51M1
TNFRSF10C,163.0,TNFRSF10C
MMP28,305.0833333333333,MMP28
VPS4B,227.66666666666663,VPS4B
TRIB2,267.3333333333333,TRIB2
MED9,103.33333333333331,MED9
OR52E6,315.0,OR52E6
RUFY4,450.0,RUFY4
TMEM211,176.33333333333337,TMEM211
TRIM22,189.25,TRIM22
ASB5,208.33333333333331,ASB5
OR52D1,318.0,OR52D1
B4GAT1,415.0,B4GAT1
RPS21,80.0,RPS21
CECR2,1149.0,CECR2
WRNIP1,539.2,WRNIP1
CDNF,136.0,CDNF
WDR17,797.6666666666665,WDR17
WNK4,591.3333333333334,WNK4
FHOD1,295.8,FHOD1
TSPAN33,283.0,TSPAN33
POTEF,728.5,POTEF
C15orf48,99.33333333333331,C15orf48
ENHO,76.0,ENHO
PQLC2L,91.16666666666669,PQLC2L
TTLL11,353.0,TTLL11
DNASE1L3,210.33333333333331,DNASE1L3
APOH,207.5,APOH
RGPD6,526.6666666666666,RGPD6
CBSL,553.8,CBSL
CTXN3,81.0,CTXN3
CT47A2,288.0,CT47A2
CACNA2D2,1135.1666666666667,CACNA2D2
MED13,1250.5,MED13
FAM25C,89.0,FAM25C
NPY4R2,375.0,NPY4R2
CBWD5,202.5,CBWD5
ALOX15,412.0,ALOX15
LPXN,312.25,LPXN
TM4SF4,141.5,TM4SF4
IFI27L2,117.5,IFI27L2
ABHD18,309.2857142857143,ABHD18
VIT,499.75,VIT
ROBO2,805.7,ROBO2
NSD2,646.6666666666666,NSD2
DPY30,99.0,DPY30
USP6NL,643.0,USP6NL
SLC10A7,222.16666666666663,SLC10A7
PDCL3,158.66666666666666,PDCL3
ANKRD20A2,482.5,ANKRD20A2
SPATA20,309.42857142857144,SPATA20
TIGD4,512.0,TIGD4
GPX8,152.33333333333334,GPX8
MRPL34,99.2,MRPL34
CNMD,265.3333333333333,CNMD
SYT12,340.25,SYT12
AC138696.1,199.0,AC138696.1
SERPINB13,247.6,SERPINB13
ZFP41,199.0,ZFP41
TMEM88B,163.0,TMEM88B
GRK5,590.0,GRK5
METRN,176.8,METRN
KDM4B,757.8333333333335,KDM4B
PROKR2,384.0,PROKR2
VGLL1,160.0,VGLL1
ANKK1,409.5,ANKK1
ARL2,175.0,ARL2
MAPK8,285.0,MAPK8
ALOX12B,597.0,ALOX12B
CLEC6A,209.0,CLEC6A
HADHA,372.11111111111114,HADHA
RB1,423.4,RB1
SLC18A1,452.875,SLC18A1
ACR,316.5,ACR
AZU1,200.5,AZU1
ERN1,523.5,ERN1
CHP2,196.0,CHP2
BMPR1B,410.125,BMPR1B
UBE2H,126.42857142857143,UBE2H
C1QTNF9B,255.0,C1QTNF9B
EXOSC1,165.0,EXOSC1
RBBP9,186.0,RBBP9
SLC45A1,765.0,SLC45A1
KLF6,267.0,KLF6
BRS3,399.0,BRS3
PLEKHA8,418.28571428571433,PLEKHA8
CCL26,94.0,CCL26
IL17RD,519.4,IL17RD
ADGRG4,3011.666666666666,ADGRG4
SFTPD,296.5,SFTPD
MPHOSPH6,117.0,MPHOSPH6
UBA5,242.77777777777774,UBA5
POLR3F,316.0,POLR3F
EBF4,507.6,EBF4
PQBP1,220.375,PQBP1
RPA3,101.5,RPA3
LRRC14B,514.0,LRRC14B
ARL3,182.0,ARL3
AL035078.4,169.0,AL035078.4
SH2D3A,432.33333333333326,SH2D3A
RCN1,108.75,RCN1
ARFGAP3,301.0,ARFGAP3
HBE1,147.0,HBE1
HSD17B2,199.0,HSD17B2
ADAMTS1,366.5,ADAMTS1
DDX60L,760.25,DDX60L
SLC7A5,374.0,SLC7A5
TNFRSF9,168.0,TNFRSF9
STAT3,631.1666666666666,STAT3
OR52N4,321.0,OR52N4
DMRTC1,141.75,DMRTC1
AKNA,1058.3333333333333,AKNA
R3HDML,253.0,R3HDML
FITM2,262.0,FITM2
ZNF34,380.25,ZNF34
USHBP1,324.3333333333333,USHBP1
GPR75-ASB3,556.0,GPR75-ASB3
PDZD4,581.5,PDZD4
RPS17,123.25,RPS17
SPICE1,279.2,SPICE1
ANKRD36C,548.1666666666666,ANKRD36C
TLK2,367.09090909090907,TLK2
ATP2B3,1185.2,ATP2B3
VAMP3,86.0,VAMP3
KDSR,209.0,KDSR
PTGIS,500.0,PTGIS
CFAP70,549.8,CFAP70
CPQ,197.66666666666663,CPQ
PLIN2,199.5,PLIN2
PIPOX,249.0,PIPOX
NUDT13,245.33333333333331,NUDT13
RNF13,184.4,RNF13
NDUFA8,172.0,NDUFA8
TRIM8,265.8888888888889,TRIM8
ZSWIM3,696.0,ZSWIM3
MYLK4,385.0,MYLK4
PRR29,148.0,PRR29
MIEF1,290.3333333333333,MIEF1
PRCP,196.66666666666663,PRCP
FST,244.5,FST
PKP4,439.4,PKP4
POTEG,438.66666666666674,POTEG
MFAP2,182.5,MFAP2
SEPT7,226.5,SEPT7
C6orf89,322.25,C6orf89
FAM19A5,122.75,FAM19A5
MYO3A,810.8333333333335,MYO3A
RUVBL1,278.2,RUVBL1
CPNE5,352.5,CPNE5
CDK13,668.4615384615385,CDK13
ZNF133,488.8571428571428,ZNF133
RALA,157.0,RALA
EIF3A,1382.0,EIF3A
GPATCH8,317.3333333333333,GPATCH8
MCEE,79.0,MCEE
CT47A4,288.0,CT47A4
LYPLA1,156.75,LYPLA1
CT47A5,288.0,CT47A5
CHST13,283.0,CHST13
FAM181B,426.0,FAM181B
NSMCE3,304.0,NSMCE3
KAT14,568.25,KAT14
ZSCAN32,362.92307692307685,ZSCAN32
C22orf31,290.0,C22orf31
ELP6,138.0,ELP6
TMPRSS15,417.0,TMPRSS15
MKRN2OS,149.5,MKRN2OS
DVL1,455.4,DVL1
ZBTB7C,107.92857142857143,ZBTB7C
TSEN2,342.125,TSEN2
RASSF2,326.0,RASSF2
PCGF3,136.44444444444446,PCGF3
PXMP4,142.33333333333334,PXMP4
MMAA,364.875,MMAA
NEPRO,118.17647058823529,NEPRO
MGME1,286.6666666666667,MGME1
C8orf37,207.0,C8orf37
OR51A7,312.0,OR51A7
GFOD1,278.0,GFOD1
GRAMD4,266.5,GRAMD4
KCNIP3,247.33333333333331,KCNIP3
FANCD2OS,150.33333333333334,FANCD2OS
CD200R1L,215.8,CD200R1L
TEX261,123.5,TEX261
CNKSR2,722.8947368421052,CNKSR2
