Genes,Domain Number,Norm_Symbol
CHST13,1,CHST13
ZG16,1,ZG16
CNTNAP4,2,CNTNAP4
SLURP2,1,SLURP2
CD200R1L,1,CD200R1L
AL162231.3,1,AL162231.3
RNPS1,1,RNPS1
FAM205A,2,FAM205A
LCN6,1,LCN6
SPINK5,1,SPINK5
GPRC5A,1,GPRC5A
CCL27,1,CCL27
ZNF503,1,ZNF503
APOF,1,APOF
CCL19,1,CCL19
TSPAN12,1,TSPAN12
CRACR2A,2,CRACR2A
CBLB,4,CBLB
PRRG2,1,PRRG2
INCA1,1,INCA1
UBE2F,1,UBE2F
GAA,4,GAA
MNS1,1,MNS1
MBL2,2,MBL2
PIP4P2,1,PIP4P2
CDCA7,1,CDCA7
TSPAN8,1,TSPAN8
PRPF40A,2,PRPF40A
YBX1,1,YBX1
HEYL,2,HEYL
PHF21A,1,PHF21A
RHCG,1,RHCG
TBCA,1,TBCA
SCUBE2,6,SCUBE2
ADCK1,1,ADCK1
PPP1R12B,3,PPP1R12B
HEATR1,2,HEATR1
GLCE,1,GLCE
CLDN19,1,CLDN19
FAIM2,1,FAIM2
SPIN2A,1,SPIN2A
ARL6IP6,1,ARL6IP6
THBS2,6,THBS2
ITGA7,2,ITGA7
CHD5,8,CHD5
EEF1A1,3,EEF1A1
SULT1C4,1,SULT1C4
KRBA2,1,KRBA2
PTGES2,1,PTGES2
GOLGA6C,1,GOLGA6C
LGALS1,1,LGALS1
SLC2A10,1,SLC2A10
RRAGD,1,RRAGD
TOPAZ1,1,TOPAZ1
GBGT1,1,GBGT1
NOSIP,1,NOSIP
ACTN2,4,ACTN2
POT1,2,POT1
GALNT17,2,GALNT17
RNF207,2,RNF207
CDKN1A,1,CDKN1A
STARD9,3,STARD9
CSH2,1,CSH2
CD200R1,2,CD200R1
OSBPL6,2,OSBPL6
BLOC1S1,1,BLOC1S1
SCLY,1,SCLY
AL162417.1,3,AL162417.1
SP6,1,SP6
TRNAU1AP,2,TRNAU1AP
RPL26,2,RPL26
GOSR1,1,GOSR1
ICMT,1,ICMT
PAM,3,PAM
GEMIN5,2,GEMIN5
ZNF674,2,ZNF674
C1orf43,1,C1orf43
CSF1,1,CSF1
NUP160,1,NUP160
GPRC5D,1,GPRC5D
RIMBP2,2,RIMBP2
TERB2,1,TERB2
DYDC2,1,DYDC2
AMPD2,1,AMPD2
HSD17B14,2,HSD17B14
MTHFD1,3,MTHFD1
CHD8,4,CHD8
PANX1,1,PANX1
HEBP1,1,HEBP1
LGR5,3,LGR5
KLRG1,1,KLRG1
RPL22,1,RPL22
DYDC1,1,DYDC1
CDPF1,1,CDPF1
BSN,1,BSN
CAMTA2,2,CAMTA2
TNRC6A,3,TNRC6A
SRSF11,1,SRSF11
PKDREJ,3,PKDREJ
TTPA,2,TTPA
OTUD6B,1,OTUD6B
TCAIM,2,TCAIM
EIF4A3,2,EIF4A3
STX2,2,STX2
AKAP5,1,AKAP5
HSPA2,1,HSPA2
ZBTB25,2,ZBTB25
RPRD2,2,RPRD2
RPP30,1,RPP30
ZBTB1,1,ZBTB1
NEU4,1,NEU4
KIF7,1,KIF7
NT5C1A,1,NT5C1A
AC012184.2,2,AC012184.2
INSIG2,1,INSIG2
TBC1D8B,2,TBC1D8B
ABCB8,2,ABCB8
FAM49A,1,FAM49A
HPCAL4,2,HPCAL4
RFWD3,1,RFWD3
TMC5,1,TMC5
FOXO3,3,FOXO3
ARHGEF1,3,ARHGEF1
RIPPLY1,1,RIPPLY1
UBXN7,3,UBXN7
COL8A1,2,COL8A1
GH2,1,GH2
CDK8,1,CDK8
NEPRO,1,NEPRO
ANKRD16,3,ANKRD16
GAL3ST2,1,GAL3ST2
RPUSD1,1,RPUSD1
PROM2,1,PROM2
TICRR,1,TICRR
MORC4,3,MORC4
FAAH2,1,FAAH2
CHST7,1,CHST7
CLDN2,1,CLDN2
COL21A1,2,COL21A1
MYOM1,2,MYOM1
GMNN,1,GMNN
SP2,1,SP2
ARL8B,1,ARL8B
TIMELESS,2,TIMELESS
C1orf94,1,C1orf94
GNG13,1,GNG13
TLR2,5,TLR2
IZUMO1R,1,IZUMO1R
CSH1,1,CSH1
USP13,4,USP13
GOLGA6D,1,GOLGA6D
DDX56,2,DDX56
GPR83,1,GPR83
NAA20,1,NAA20
PPDPF,1,PPDPF
ERFL,1,ERFL
AGBL5,2,AGBL5
ACHE,2,ACHE
ANKRD13C,2,ANKRD13C
SLC4A1,2,SLC4A1
LRRC28,1,LRRC28
TMEM106A,1,TMEM106A
DMTN,2,DMTN
AKAP8L,1,AKAP8L
CD5,1,CD5
NXF3,2,NXF3
IL36RN,1,IL36RN
MLKL,1,MLKL
AXIN1,4,AXIN1
PTK6,3,PTK6
AHCYL1,2,AHCYL1
DDX19B,2,DDX19B
CHTF18,1,CHTF18
WBP2NL,1,WBP2NL
FA2H,2,FA2H
PIF1,2,PIF1
VPS37C,1,VPS37C
TREM1,1,TREM1
ASIC3,1,ASIC3
GSK3B,1,GSK3B
RAN,2,RAN
RAB11FIP1,2,RAB11FIP1
GTPBP8,2,GTPBP8
RALGDS,3,RALGDS
RAB44,1,RAB44
ABCC12,2,ABCC12
GH1,1,GH1
OST4,1,OST4
AL022312.1,1,AL022312.1
CSHL1,1,CSHL1
EDEM1,1,EDEM1
PRR12,1,PRR12
TRABD,1,TRABD
NAGA,2,NAGA
ARMH2,1,ARMH2
SLC25A16,1,SLC25A16
RECK,1,RECK
PLCL2,5,PLCL2
AKAP8,1,AKAP8
CTNNB1,1,CTNNB1
NLGN4Y,1,NLGN4Y
SPTBN4,3,SPTBN4
PRDX1,2,PRDX1
MRPL54,1,MRPL54
FAM3A,1,FAM3A
SYNJ2BP-COX16,2,SYNJ2BP-COX16
SHQ1,1,SHQ1
MMACHC,1,MMACHC
MIEF1,1,MIEF1
LCN8,1,LCN8
CD79B,1,CD79B
SYNJ2BP,1,SYNJ2BP
APCDD1,1,APCDD1
LCN15,1,LCN15
UBAP2L,2,UBAP2L
ZNF221,2,ZNF221
KBTBD8,3,KBTBD8
COX16,1,COX16
AC127029.3,1,AC127029.3
GJA4,1,GJA4
RUNDC3A,1,RUNDC3A
PHETA2,1,PHETA2
GJB5,1,GJB5
RNF222,1,RNF222
MEGF9,1,MEGF9
SMIM12,1,SMIM12
TARS2,4,TARS2
RAX2,1,RAX2
CSE1L,3,CSE1L
PGA3,2,PGA3
SCX,1,SCX
GJB3,1,GJB3
CPNE6,2,CPNE6
KXD1,1,KXD1
GJB4,1,GJB4
GDE1,1,GDE1
TET1,2,TET1
KERA,2,KERA
SLC38A7,1,SLC38A7
GSG1,1,GSG1
A2M,7,A2M
USP36,1,USP36
SUCLG2,2,SUCLG2
LUM,3,LUM
ATP6V1H,2,ATP6V1H
TXNRD3,3,TXNRD3
MTR,5,MTR
PGA4,2,PGA4
POLR3E,1,POLR3E
ETAA1,1,ETAA1
LSMEM1,1,LSMEM1
SNRPA1,1,SNRPA1
NOL12,1,NOL12
BOP1,2,BOP1
RNF168,1,RNF168
MT1HL1,1,MT1HL1
RABL6,1,RABL6
SMCO1,1,SMCO1
IL1F10,1,IL1F10
RIPOR2,1,RIPOR2
KLK15,1,KLK15
DDX19A,2,DDX19A
TTC39B,3,TTC39B
FBXO45,2,FBXO45
PARP11,2,PARP11
RIOK2,2,RIOK2
WDR53,2,WDR53
FAM209B,1,FAM209B
ADGRD1,3,ADGRD1
LIX1,1,LIX1
GLDC,2,GLDC
PGA5,2,PGA5
ZNRF1,1,ZNRF1
CDAN1,1,CDAN1
TMEM141,1,TMEM141
MAPRE2,2,MAPRE2
RASGRF1,4,RASGRF1
IFRD1,2,IFRD1
COLGALT1,2,COLGALT1
SETD1A,3,SETD1A
PHTF2,1,PHTF2
HOXA1,1,HOXA1
CAB39,1,CAB39
PHC3,1,PHC3
ZNF250,2,ZNF250
NXPE1,1,NXPE1
WDR59,2,WDR59
SLC17A5,1,SLC17A5
ATF4,1,ATF4
ULK4,1,ULK4
ITSN1,7,ITSN1
HSD3B7,1,HSD3B7
TRIOBP,1,TRIOBP
SMAD3,2,SMAD3
DACH2,1,DACH2
STAT3,4,STAT3
TBC1D5,1,TBC1D5
SLC9A7,1,SLC9A7
NXPE4,1,NXPE4
TLE4,2,TLE4
RPS19BP1,1,RPS19BP1
ZFC3H1,1,ZFC3H1
HOXA2,1,HOXA2
DCN,2,DCN
PCDH10,3,PCDH10
CPNE5,2,CPNE5
GCC2,2,GCC2
RNF112,2,RNF112
KLK3,1,KLK3
DNAJC19,1,DNAJC19
NR6A1,2,NR6A1
KIF22,2,KIF22
TMEM19,1,TMEM19
NRXN3,3,NRXN3
PRKRA,2,PRKRA
FBXW2,2,FBXW2
RYR2,9,RYR2
SOX2,2,SOX2
B3GNT10,1,B3GNT10
THAP2,1,THAP2
AC069368.1,2,AC069368.1
TIMP2,1,TIMP2
PLEKHA4,1,PLEKHA4
GLIPR2,1,GLIPR2
LYPD5,1,LYPD5
PLEKHO2,1,PLEKHO2
GBA,2,GBA
GPR156,1,GPR156
ZNF230,2,ZNF230
ZXDB,1,ZXDB
ZP4,2,ZP4
LY6D,1,LY6D
PJVK,1,PJVK
TEX29,1,TEX29
RRAS,1,RRAS
CD109,6,CD109
MTRNR2L11,1,MTRNR2L11
ZNF155,3,ZNF155
PIGX,1,PIGX
LRRC58,1,LRRC58
HLTF,4,HLTF
ANKRD28,3,ANKRD28
CALN1,1,CALN1
SELENOO,1,SELENOO
ANKDD1A,5,ANKDD1A
SUSD1,2,SUSD1
WDR27,1,WDR27
BTG1,1,BTG1
PSMB7,2,PSMB7
ZXDA,2,ZXDA
CEP19,1,CEP19
TRMT13,3,TRMT13
LRMDA,1,LRMDA
FSTL1,2,FSTL1
YTHDF3,1,YTHDF3
NRROS,2,NRROS
RNF223,1,RNF223
ROBO4,3,ROBO4
CHRM3,1,CHRM3
BCOR,3,BCOR
SPOCD1,2,SPOCD1
P3H1,1,P3H1
LRRC39,2,LRRC39
ANKRD34C,1,ANKRD34C
ZDHHC15,1,ZDHHC15
AKR1A1,1,AKR1A1
ARFGAP2,1,ARFGAP2
WASF3,1,WASF3
PACS1,1,PACS1
NRG1,3,NRG1
PPP1R15A,1,PPP1R15A
LCN2,1,LCN2
OTX1,2,OTX1
FOXJ1,1,FOXJ1
JAKMIP3,1,JAKMIP3
BCORL1,3,BCORL1
CCIN,4,CCIN
ABCC11,2,ABCC11
KIR2DL5B,1,KIR2DL5B
NXPE2,1,NXPE2
PDCD1,1,PDCD1
C12orf74,2,C12orf74
FMN2,2,FMN2
ADAM21,4,ADAM21
CYP11B1,1,CYP11B1
RTP5,1,RTP5
AP000311.1,1,AP000311.1
TAFA1,1,TAFA1
ECM1,1,ECM1
SATB1,4,SATB1
HIST4H4,1,HIST4H4
H2AFJ,2,H2AFJ
SOX1,2,SOX1
STX1B,2,STX1B
GREM2,1,GREM2
ADAM20,4,ADAM20
ERMAP,3,ERMAP
ACO1,2,ACO1
RNF157,1,RNF157
PRRX2,2,PRRX2
BMP8B,2,BMP8B
MPP7,4,MPP7
LRRC69,1,LRRC69
TFAP2C,1,TFAP2C
CHCHD6,1,CHCHD6
PAK2,2,PAK2
SVBP,1,SVBP
KIR2DS3,1,KIR2DS3
GPR12,1,GPR12
RAD51AP2,1,RAD51AP2
TMEM8A,1,TMEM8A
GLS2,3,GLS2
CYP11B2,1,CYP11B2
GU182339.1,1,GU182339.1
EEA1,1,EEA1
PDZRN3,3,PDZRN3
MYL12A,2,MYL12A
COPZ2,1,COPZ2
HERC6,3,HERC6
C1orf50,1,C1orf50
RAB21,1,RAB21
LONP2,3,LONP2
GPX3,1,GPX3
HOXA7,1,HOXA7
HNRNPD,2,HNRNPD
HOXA4,1,HOXA4
PRKCI,4,PRKCI
TYW1B,3,TYW1B
ITM2C,1,ITM2C
SPRYD4,1,SPRYD4
CTH,1,CTH
SON,3,SON
FAM171B,1,FAM171B
SIAH1,1,SIAH1
KLK2,1,KLK2
MIP,1,MIP
MRPL28,1,MRPL28
WBP11,1,WBP11
MYL12B,2,MYL12B
COTL1,1,COTL1
MDH1,2,MDH1
PPIE,2,PPIE
HOXA5,1,HOXA5
SLC26A7,2,SLC26A7
TULP2,2,TULP2
SENP5,1,SENP5
AQP5,1,AQP5
HOXA6,1,HOXA6
OLFML2A,1,OLFML2A
HOXA3,2,HOXA3
PTPRJ,3,PTPRJ
PRR15L,1,PRR15L
PTGES,1,PTGES
ADRB3,1,ADRB3
AQP2,1,AQP2
CSF3,1,CSF3
PAN2,2,PAN2
RTCA,2,RTCA
SPIN4,1,SPIN4
GOT1L1,1,GOT1L1
OXCT2,1,OXCT2
AC144573.1,1,AC144573.1
ZNF16,1,ZNF16
OR4B1,1,OR4B1
NAPG,1,NAPG
WDR38,1,WDR38
OR4X2,1,OR4X2
OR4X1,1,OR4X1
MON1B,1,MON1B
KLK4,1,KLK4
VSNL1,3,VSNL1
PABPC4L,1,PABPC4L
RPL35,1,RPL35
POLQ,3,POLQ
TIGAR,1,TIGAR
RBM41,1,RBM41
RGS7,4,RGS7
INPP5D,2,INPP5D
FGF23,1,FGF23
CDK5RAP3,1,CDK5RAP3
CNPY2,1,CNPY2
RGS20,1,RGS20
ZNF222,2,ZNF222
SYCE1L,1,SYCE1L
PPM1J,1,PPM1J
PZP,7,PZP
YARS2,1,YARS2
HACL1,3,HACL1
DBT,3,DBT
OR4S1,1,OR4S1
SPOCK3,3,SPOCK3
CCND2,2,CCND2
ZNF284,2,ZNF284
OR4C5,1,OR4C5
GOT2,1,GOT2
IL1RN,1,IL1RN
OR4C3,1,OR4C3
TOR1B,1,TOR1B
EIF4EBP1,1,EIF4EBP1
ZNF223,2,ZNF223
CLTA,1,CLTA
ADAMTS18,6,ADAMTS18
AL603832.3,2,AL603832.3
OCIAD2,1,OCIAD2
KDM5B,6,KDM5B
CCN4,4,CCN4
ADAMTSL4,3,ADAMTSL4
PPP4R2,1,PPP4R2
ART4,1,ART4
NUDT4,1,NUDT4
WDPCP,1,WDPCP
SNAPC3,1,SNAPC3
AP3B1,3,AP3B1
GXYLT2,1,GXYLT2
SKIL,2,SKIL
DEXI,1,DEXI
EBLN2,1,EBLN2
KLK6,1,KLK6
MIS12,1,MIS12
IMPACT,2,IMPACT
C12orf60,1,C12orf60
GLP1R,2,GLP1R
ZNF283,3,ZNF283
STRIP1,2,STRIP1
ITGAV,3,ITGAV
SMCO3,1,SMCO3
PLRG1,1,PLRG1
MCL1,1,MCL1
PITX2,2,PITX2
UBE2N,1,UBE2N
IL31RA,2,IL31RA
FOXN2,1,FOXN2
PSMD5,1,PSMD5
FH,2,FH
HRH4,1,HRH4
SFRP2,2,SFRP2
ALX3,1,ALX3
CLDN11,1,CLDN11
AQP10,1,AQP10
PLG,3,PLG
DERL2,1,DERL2
CRNKL1,1,CRNKL1
NCBP2,1,NCBP2
BTD,1,BTD
ARPC5L,1,ARPC5L
SLC7A14,2,SLC7A14
KLK7,1,KLK7
AC026316.4,1,AC026316.4
AQP6,1,AQP6
ADGRD2,3,ADGRD2
NDEL1,1,NDEL1
ATP8B2,4,ATP8B2
KLK9,1,KLK9
ZNF404,3,ZNF404
PSIP1,2,PSIP1
GNE,2,GNE
PPIL1,1,PPIL1
PIGZ,1,PIGZ
CIITA,3,CIITA
MAGEE2,1,MAGEE2
DIO3,1,DIO3
POMK,1,POMK
OPN3,1,OPN3
HMGCS2,2,HMGCS2
RHOC,1,RHOC
CREB3L1,1,CREB3L1
KLK8,1,KLK8
CLCNKB,2,CLCNKB
GALNT13,2,GALNT13
CFAP61,1,CFAP61
DCHS2,1,DCHS2
CCP110,1,CCP110
CHRDL2,1,CHRDL2
PBDC1,1,PBDC1
ZNF397,2,ZNF397
CDIPT,1,CDIPT
MAGEE1,1,MAGEE1
KLHL36,3,KLHL36
ELMO1,3,ELMO1
ATP5PO,1,ATP5PO
CYSLTR2,1,CYSLTR2
KMO,1,KMO
PNPO,2,PNPO
ZNF224,2,ZNF224
ZNF45,2,ZNF45
MELTF,1,MELTF
KLK5,1,KLK5
IL6R,2,IL6R
ZSCAN30,2,ZSCAN30
SGSH,2,SGSH
CAVIN1,1,CAVIN1
ZNF225,3,ZNF225
TOR1A,1,TOR1A
CHML,2,CHML
ARGFX,1,ARGFX
KLHDC2,2,KLHDC2
DLGAP3,1,DLGAP3
ARL16,1,ARL16
ING3,1,ING3
SFSWAP,2,SFSWAP
FBXO40,2,FBXO40
BCCIP,1,BCCIP
TRMT2B,1,TRMT2B
PLXNA1,6,PLXNA1
CNTN3,3,CNTN3
UNC13A,4,UNC13A
NR5A1,2,NR5A1
TDRD10,2,TDRD10
WDR64,1,WDR64
HGS,3,HGS
DUS1L,1,DUS1L
SHE,1,SHE
DHX32,2,DHX32
OBP2B,1,OBP2B
ENSA,1,ENSA
RABIF,1,RABIF
MYH10,4,MYH10
CDC14A,2,CDC14A
NDUFB4,1,NDUFB4
NFE2L1,1,NFE2L1
TMEM35B,1,TMEM35B
OR56A3,1,OR56A3
GOLGA1,1,GOLGA1
OR56A5,1,OR56A5
OR52L1,1,OR52L1
NEMF,3,NEMF
OR56A4,1,OR56A4
CS,1,CS
EMP1,1,EMP1
ZMYM6,1,ZMYM6
PLPP6,1,PLPP6
MMP17,3,MMP17
TRA2B,1,TRA2B
CMSS1,1,CMSS1
UBALD2,1,UBALD2
STX4,2,STX4
ATP1A3,4,ATP1A3
TMEM35A,1,TMEM35A
PIEZO2,2,PIEZO2
SCAI,1,SCAI
ST3GAL2,1,ST3GAL2
EXO1,2,EXO1
SLC1A1,1,SLC1A1
DNM1L,3,DNM1L
MRPL42,1,MRPL42
CARD14,2,CARD14
KLHL12,3,KLHL12
GPAM,1,GPAM
BECN2,2,BECN2
HGF,3,HGF
SP3,1,SP3
CADM1,3,CADM1
RABAC1,1,RABAC1
MAP1LC3C,1,MAP1LC3C
QRICH2,1,QRICH2
ADD1,1,ADD1
METTL3,1,METTL3
ANKRD1,1,ANKRD1
TBC1D15,2,TBC1D15
ZNF354B,3,ZNF354B
NBEAL2,5,NBEAL2
USP12,1,USP12
RACGAP1,2,RACGAP1
GIMAP8,1,GIMAP8
REG4,1,REG4
PDGFD,2,PDGFD
MAP3K4,1,MAP3K4
DDI1,2,DDI1
KCNJ3,2,KCNJ3
SPATA6L,1,SPATA6L
RPL22L1,1,RPL22L1
FILIP1L,1,FILIP1L
MAG,2,MAG
ULK1,2,ULK1
PPP1R36,1,PPP1R36
AC073896.1,1,AC073896.1
EYA2,1,EYA2
ADAM30,4,ADAM30
PLD5,1,PLD5
ZMYM1,3,ZMYM1
PAGR1,1,PAGR1
USP20,3,USP20
CCDC12,1,CCDC12
SLC26A11,2,SLC26A11
TOX4,1,TOX4
GORAB,1,GORAB
PRRT2,1,PRRT2
LDHD,2,LDHD
C1D,1,C1D
UBE2Q1,1,UBE2Q1
C9orf78,1,C9orf78
BIN1,2,BIN1
ZFP1,3,ZFP1
SAYSD1,1,SAYSD1
CD22,4,CD22
DTX1,3,DTX1
SCN4A,2,SCN4A
ADIPOR1,1,ADIPOR1
RAB2B,1,RAB2B
XPOT,2,XPOT
R3HDM2,2,R3HDM2
PRXL2A,1,PRXL2A
ERBIN,2,ERBIN
ASXL1,3,ASXL1
BHLHE22,1,BHLHE22
OR56A1,1,OR56A1
ERP27,1,ERP27
KCNK5,1,KCNK5
STAC,3,STAC
NUCB1,1,NUCB1
FDXACB1,2,FDXACB1
PRRX1,2,PRRX1
ABO,1,ABO
C11orf1,1,C11orf1
TCEA1,3,TCEA1
SOCS2,2,SOCS2
BICC1,2,BICC1
ATG16L1,2,ATG16L1
FRYL,3,FRYL
STAC3,4,STAC3
BMT2,1,BMT2
ZNF691,1,ZNF691
PTGER3,1,PTGER3
PUS1,1,PUS1
MAZ,3,MAZ
LCLAT1,2,LCLAT1
ALG9,1,ALG9
SLC47A1,1,SLC47A1
SF3A3,4,SF3A3
KLHL4,3,KLHL4
CHRNB2,2,CHRNB2
NUPR1,1,NUPR1
FNDC3A,1,FNDC3A
GIMAP7,1,GIMAP7
GOLPH3L,1,GOLPH3L
UBL4B,2,UBL4B
ZFP2,1,ZFP2
KCNK17,1,KCNK17
CYB5R1,2,CYB5R1
RP2,1,RP2
GTSE1,1,GTSE1
MVP,5,MVP
SLC6A17,1,SLC6A17
USP10,2,USP10
GIMAP4,1,GIMAP4
CRADD,2,CRADD
MRE11,2,MRE11
PRR29,1,PRR29
SGF29,1,SGF29
PI16,1,PI16
REN,2,REN
CHORDC1,2,CHORDC1
FMO1,1,FMO1
RPS3,2,RPS3
KISS1,1,KISS1
FGF16,1,FGF16
TMEFF2,1,TMEFF2
CRYZL1,1,CRYZL1
KCNC4,3,KCNC4
EMILIN1,3,EMILIN1
SORD,2,SORD
GOLT1A,1,GOLT1A
CAVIN2,1,CAVIN2
AP001781.2,2,AP001781.2
FMO3,1,FMO3
PPP3R1,1,PPP3R1
ACTN1,4,ACTN1
ICAM2,1,ICAM2
SMIM1,1,SMIM1
HERC5,2,HERC5
NUDT7,1,NUDT7
QTRT1,1,QTRT1
HORMAD1,1,HORMAD1
PLIN1,1,PLIN1
SYT16,1,SYT16
FMO2,1,FMO2
WDR92,1,WDR92
SCN4B,1,SCN4B
RNF114,3,RNF114
PEX11A,1,PEX11A
CRISPLD2,2,CRISPLD2
MAMDC4,2,MAMDC4
RBM15,2,RBM15
AFP,1,AFP
ZNF521,3,ZNF521
FAM131C,1,FAM131C
EP400,4,EP400
TECTB,1,TECTB
PAK5,2,PAK5
WAC,1,WAC
PLEKHA6,1,PLEKHA6
PHPT1,1,PHPT1
CYP7B1,1,CYP7B1
TBK1,3,TBK1
VAT1L,2,VAT1L
GRIN2B,4,GRIN2B
COLEC12,2,COLEC12
TPH2,1,TPH2
AC139530.2,3,AC139530.2
LRRC18,1,LRRC18
NPIPB5,1,NPIPB5
CLEC3A,1,CLEC3A
CXCL10,1,CXCL10
DCLK3,2,DCLK3
FGFR2,4,FGFR2
VSTM4,1,VSTM4
CXCL11,1,CXCL11
CETN1,1,CETN1
MST1,3,MST1
SLC25A10,1,SLC25A10
FAM189B,1,FAM189B
SNAP25,1,SNAP25
RNF169,1,RNF169
HGD,1,HGD
ULBP2,1,ULBP2
MRPL12,2,MRPL12
NASP,2,NASP
NCR2,1,NCR2
CEP170,2,CEP170
WDFY4,2,WDFY4
ULBP1,1,ULBP1
CPT1C,2,CPT1C
TAFA3,1,TAFA3
SPTB,3,SPTB
TRHDE,3,TRHDE
HPS3,3,HPS3
ART3,1,ART3
IER5L,1,IER5L
PIK3C2B,6,PIK3C2B
ANKEF1,3,ANKEF1
PLEKHG3,2,PLEKHG3
NME4,1,NME4
NOTCH2,9,NOTCH2
ZNF287,3,ZNF287
DGCR2,2,DGCR2
RASAL1,4,RASAL1
PPP1R15B,2,PPP1R15B
CANX,1,CANX
POM121,1,POM121
AFM,1,AFM
LAMTOR5,1,LAMTOR5
CTSS,2,CTSS
RABL3,1,RABL3
SLC16A1,1,SLC16A1
GFOD1,1,GFOD1
KCNH5,3,KCNH5
GTF2E1,3,GTF2E1
SMPX,1,SMPX
HGSNAT,2,HGSNAT
CFAP73,1,CFAP73
CTSK,2,CTSK
CRLF1,2,CRLF1
ZSWIM2,3,ZSWIM2
GCGR,2,GCGR
PRMT1,2,PRMT1
ANKRD6,4,ANKRD6
SDCCAG8,1,SDCCAG8
CP,3,CP
APEH,1,APEH
CBY3,1,CBY3
ABCG1,2,ABCG1
DDX54,3,DDX54
ZDHHC7,1,ZDHHC7
SLC16A4,1,SLC16A4
PRR20G,1,PRR20G
LDLRAD4,1,LDLRAD4
INHBC,1,INHBC
ZNF668,2,ZNF668
PPFIA4,2,PPFIA4
C6orf120,1,C6orf120
LYRM2,1,LYRM2
RGMB,2,RGMB
INSC,1,INSC
GIMAP6,1,GIMAP6
FMO4,1,FMO4
DGKG,4,DGKG
KCNC2,2,KCNC2
RITA1,1,RITA1
ZNF454,2,ZNF454
AMH,2,AMH
TTBK2,3,TTBK2
SURF6,1,SURF6
UBA52,2,UBA52
TLL2,4,TLL2
ZRANB2,1,ZRANB2
PHF10,1,PHF10
GRM6,3,GRM6
GDF5,2,GDF5
DDX51,2,DDX51
FAM241A,1,FAM241A
GIMAP2,1,GIMAP2
VKORC1,1,VKORC1
SOX30,1,SOX30
PEX5L,2,PEX5L
MYOG,2,MYOG
GIMAP5,1,GIMAP5
ETV5,2,ETV5
ERN1,2,ERN1
DDIAS,1,DDIAS
C5orf52,1,C5orf52
LSM1,1,LSM1
KCNK16,1,KCNK16
LRRC47,2,LRRC47
GIMAP1,1,GIMAP1
PRSS53,1,PRSS53
TMEM59L,1,TMEM59L
GIMAP1-GIMAP5,1,GIMAP1-GIMAP5
ZNF234,2,ZNF234
ZNF646,2,ZNF646
EPHA2,5,EPHA2
SEC22B,2,SEC22B
ARHGDIB,1,ARHGDIB
AKT3,3,AKT3
THG1L,2,THG1L
BAG4,1,BAG4
ZNF280D,1,ZNF280D
RBMS2,1,RBMS2
AC135050.2,2,AC135050.2
TGIF2LX,1,TGIF2LX
NOC4L,1,NOC4L
JADE3,3,JADE3
SPG21,1,SPG21
REX1BD,1,REX1BD
ENOSF1,2,ENOSF1
LIMS1,1,LIMS1
ICOSLG,2,ICOSLG
ZNF879,2,ZNF879
ZBTB18,3,ZBTB18
AIP,1,AIP
TAFA4,1,TAFA4
ADORA1,1,ADORA1
ETFRF1,1,ETFRF1
ZNF445,3,ZNF445
SCN2B,1,SCN2B
AP1AR,1,AP1AR
CALCRL,2,CALCRL
ADAR,3,ADAR
NEGR1,2,NEGR1
CLUL1,1,CLUL1
CBX1,2,CBX1
GPR55,1,GPR55
C1orf100,1,C1orf100
KRAS,1,KRAS
KRTAP2-2,1,KRTAP2-2
PKP2,1,PKP2
FGB,2,FGB
ASH2L,1,ASH2L
MYBPH,2,MYBPH
ARHGEF19,2,ARHGEF19
KRTAP4-7,1,KRTAP4-7
FAM170B,1,FAM170B
IRF5,2,IRF5
ADSS,1,ADSS
CACNA2D1,3,CACNA2D1
PRCP,1,PRCP
BAZ2A,7,BAZ2A
TFPI,1,TFPI
N4BP1,1,N4BP1
LGALS3BP,2,LGALS3BP
STAR,1,STAR
RHOJ,1,RHOJ
TIMM17B,1,TIMM17B
GLI1,1,GLI1
TIFA,1,TIFA
TPCN1,1,TPCN1
CHFR,4,CHFR
IRF3,2,IRF3
EDF1,2,EDF1
HCLS1,2,HCLS1
GALNT9,2,GALNT9
TYMS,1,TYMS
SPATA3,1,SPATA3
TMEM273,1,TMEM273
SYT10,1,SYT10
DDX58,5,DDX58
PDE6H,1,PDE6H
CTRB2,1,CTRB2
IQCD,1,IQCD
JSRP1,1,JSRP1
ALPK1,1,ALPK1
MED22,1,MED22
BMP1,4,BMP1
ZNF624,2,ZNF624
KRTAP4-6,1,KRTAP4-6
CATSPERE,1,CATSPERE
MLNR,1,MLNR
ALG10,1,ALG10
FGF6,1,FGF6
KRTAP4-5,1,KRTAP4-5
SCN5A,3,SCN5A
FASN,10,FASN
WWOX,2,WWOX
GPHB5,1,GPHB5
CHI3L1,1,CHI3L1
KRTAP4-4,1,KRTAP4-4
FANK1,2,FANK1
RAB30,1,RAB30
C10orf71,1,C10orf71
ZNF605,2,ZNF605
DESI2,1,DESI2
SPPL2B,2,SPPL2B
MARS,4,MARS
MTFMT,2,MTFMT
RERG,1,RERG
CDH8,2,CDH8
DBF4,1,DBF4
LSM7,1,LSM7
TRAF2,3,TRAF2
KDM4C,5,KDM4C
LMNTD1,1,LMNTD1
UBE3C,1,UBE3C
MAF,2,MAF
EOGT,1,EOGT
SEPTIN2,1,SEPTIN2
CBLN1,1,CBLN1
CHIT1,2,CHIT1
