Genes,Chromosome,Norm_Symbol
ACOT6,14,ACOT6
BIN1,2,BIN1
DENND4A,15,DENND4A
OR5M9,11,OR5M9
IFITM1,11,IFITM1
CCDC81,11,CCDC81
PCNT,21,PCNT
PRPH,12,PRPH
BGLAP,1,BGLAP
IGF2BP2,3,IGF2BP2
SULF1,8,SULF1
MECR,1,MECR
ND4L,NAN,ND4L
COA3,17,COA3
NPIPA2,16,NPIPA2
ZDHHC14,6,ZDHHC14
LGALS13,19,LGALS13
CLASP2,3,CLASP2
NPIPA8,16,NPIPA8
PRKG1,10,PRKG1
SNRNP25,16,SNRNP25
ARID1B,6,ARID1B
ATG9A,2,ATG9A
KRTAP6-1,21,KRTAP6-1
AGPAT2,9,AGPAT2
MALRD1,10,MALRD1
CLEC4G,19,CLEC4G
PPY,17,PPY
KIR3DS1,19,KIR3DS1
RICTOR,5,RICTOR
IGKV3-20,2,IGKV3-20
MYCL,1,MYCL
ZNF442,19,ZNF442
ADRA1D,20,ADRA1D
PALM2,9,PALM2
RPS6KB2,NAN,RPS6KB2
TNRC6C,17,TNRC6C
IDE,10,IDE
AK9,6,AK9
OMD,9,OMD
RASSF5,1,RASSF5
SMG7,1,SMG7
USP17L25,4,USP17L25
GPR33,14,GPR33
ETV5,3,ETV5
TRAV12-2,14,TRAV12-2
KPNA2,17,KPNA2
ZFYVE21,14,ZFYVE21
TRAP1,16,TRAP1
DHX38,16,DHX38
ZFP2,5,ZFP2
CRNKL1,20,CRNKL1
HBZ,16,HBZ
OR11H4,14,OR11H4
REST,4,REST
BNIPL,1,BNIPL
N4BP2,4,N4BP2
EME1,17,EME1
GPR15,3,GPR15
SLC2A4,17,SLC2A4
NUTF2,16,NUTF2
S100P,4,S100P
CDKN2AIPNL,5,CDKN2AIPNL
B4GALNT1,12,B4GALNT1
TRIB1,8,TRIB1
ATOX1,5,ATOX1
SSC4D,7,SSC4D
GCNT3,15,GCNT3
PGBD5,1,PGBD5
GHSR,3,GHSR
BMPR2,2,BMPR2
OR4F4,15,OR4F4
OR5F1,11,OR5F1
RNF144B,6,RNF144B
OR5BS1P,12,OR5BS1P
CSNK1A1,5,CSNK1A1
CDC26,9,CDC26
AKR1E2,10,AKR1E2
TP53TG3D,16,TP53TG3D
ZNF404,19,ZNF404
TGFBR1,9,TGFBR1
LHFPL2,5,LHFPL2
PGA4,11,PGA4
PGM1,1,PGM1
DRC3,17,DRC3
SEMG1,20,SEMG1
KCNJ3,2,KCNJ3
ACTR3B,7,ACTR3B
GCAT,22,GCAT
NPM3,10,NPM3
UBTFL1,11,UBTFL1
AGMAT,1,AGMAT
SLC34A3,9,SLC34A3
ADHFE1,8,ADHFE1
MAX,14,MAX
ASAH1,8,ASAH1
AMMECR1,X,AMMECR1
CYP4F11,19,CYP4F11
ART3,4,ART3
IGLV3-10,22,IGLV3-10
PF4,4,PF4
STRIP2,7,STRIP2
VWA3B,2,VWA3B
ATP6V1C2,2,ATP6V1C2
BAMBI,10,BAMBI
DYRK1B,19,DYRK1B
TCTE1,6,TCTE1
LRP1,12,LRP1
PDIA4,7,PDIA4
ARHGAP18,6,ARHGAP18
ASIP,20,ASIP
GPR89B,1,GPR89B
SMYD2,1,SMYD2
FEZ1,11,FEZ1
PAPOLB,7,PAPOLB
SERP1,3,SERP1
BPHL,6,BPHL
KLF8,X,KLF8
OR6C76,12,OR6C76
PLGRKT,9,PLGRKT
CDY1,Y,CDY1
SLC17A7,19,SLC17A7
TAS2R9,12,TAS2R9
TRAV26-1,14,TRAV26-1
ABCC3,17,ABCC3
GPRC5D,12,GPRC5D
MSH2,2,MSH2
TOX,8,TOX
ZNF462,9,ZNF462
METAP2,12,METAP2
ASB2,14,ASB2
PON2,7,PON2
ACOT12,5,ACOT12
IGLV1-51,22,IGLV1-51
FNIP2,4,FNIP2
SPANXA2,X,SPANXA2
SQLE,8,SQLE
TRIP4,15,TRIP4
TULP3,12,TULP3
MRPL17,11,MRPL17
SULT1B1,4,SULT1B1
TRPM4,19,TRPM4
PCDHGB5,5,PCDHGB5
FAM3C,7,FAM3C
ZNFX1,20,ZNFX1
TCEAL5,X,TCEAL5
CBX3,7,CBX3
KLHDC8B,3,KLHDC8B
ABAT,16,ABAT
STAP1,4,STAP1
TBXT,6,TBXT
POLL,10,POLL
GLP1R,6,GLP1R
DLX3,17,DLX3
ADGRD1,12,ADGRD1
TET3,2,TET3
IFT22,7,IFT22
FHIT,3,FHIT
STX11,6,STX11
IKZF1,7,IKZF1
ADRM1,20,ADRM1
BTBD17,17,BTBD17
TRBV27,7,TRBV27
TIMP4,3,TIMP4
PTPN1,20,PTPN1
UQCRC1,3,UQCRC1
CLDN24,4,CLDN24
CPA2,7,CPA2
ZNF547,19,ZNF547
NKX3-2,4,NKX3-2
CARTPT,5,CARTPT
MBP,18,MBP
IL12A,3,IL12A
ACTR1A,10,ACTR1A
CDH17,8,CDH17
MRPS26,20,MRPS26
LDHC,11,LDHC
SLC43A1,11,SLC43A1
MSI2,17,MSI2
MYL5,4,MYL5
SOD3,4,SOD3
CAPN15,16,CAPN15
MESP1,15,MESP1
DESI1,22,DESI1
MPP4,2,MPP4
SCAI,9,SCAI
POLK,5,POLK
ZBTB4,17,ZBTB4
AMPD2,1,AMPD2
POLQ,3,POLQ
FOXN1,17,FOXN1
MLANA,9,MLANA
DSC1,18,DSC1
LILRA4,19,LILRA4
ZMAT3,3,ZMAT3
S100A9,1,S100A9
SLC9A1,1,SLC9A1
TRMT6,20,TRMT6
SST,3,SST
TBL1XR1,3,TBL1XR1
DAGLB,7,DAGLB
MYBPC2,19,MYBPC2
OR10V1,11,OR10V1
WDR83,19,WDR83
DUSP1,5,DUSP1
ZNF527,19,ZNF527
RCBTB1,13,RCBTB1
KY,3,KY
MYSM1,1,MYSM1
UBE2G1,17,UBE2G1
IRF2BPL,14,IRF2BPL
TNFSF11,13,TNFSF11
SNRPF,12,SNRPF
FOXM1,12,FOXM1
MICAL3,22,MICAL3
EXOSC3,9,EXOSC3
PVALB,22,PVALB
CATSPER4,1,CATSPER4
HMX1,4,HMX1
HSPA1L,6,HSPA1L
SLC25A41,19,SLC25A41
RANBP3,19,RANBP3
ABHD17C,15,ABHD17C
DFFA,1,DFFA
NOSTRIN,2,NOSTRIN
TBC1D25,X,TBC1D25
ATG101,12,ATG101
MMP14,14,MMP14
TRDV1,14,TRDV1
DEFB132,20,DEFB132
KDM1A,1,KDM1A
OR10G9,11,OR10G9
RSBN1,1,RSBN1
RRP9,3,RRP9
FRG1,4,FRG1
SKA1,18,SKA1
ALOX12B,17,ALOX12B
LIPG,18,LIPG
TMC8,17,TMC8
COL8A1,3,COL8A1
RBP1,3,RBP1
NOS3,7,NOS3
IGHMBP2,11,IGHMBP2
ZNF813,19,ZNF813
IL15RA,10,IL15RA
EIF2AK3,2,EIF2AK3
ZNF706,8,ZNF706
ENDOU,12,ENDOU
GAN,16,GAN
ZNF623,8,ZNF623
BRPF1,3,BRPF1
RHOBTB3,5,RHOBTB3
OR6B2,2,OR6B2
BTN3A2,6,BTN3A2
ALMS1,2,ALMS1
ICE1,5,ICE1
ZNF532,18,ZNF532
RHOV,15,RHOV
ZNF292,6,ZNF292
OR13C8,9,OR13C8
PARL,3,PARL
GLI2,2,GLI2
OMG,17,OMG
FAAH2,X,FAAH2
GTF3C1,16,GTF3C1
RHO,3,RHO
CAMK2A,NAN,CAMK2A
ACER1,19,ACER1
TRGV2,7,TRGV2
IL20RB,3,IL20RB
POFUT2,21,POFUT2
RAB3C,5,RAB3C
TAS2R43,12,TAS2R43
RHOXF1,X,RHOXF1
RGCC,13,RGCC
DHRS3,1,DHRS3
LHFPL5,6,LHFPL5
CSTF3,11,CSTF3
B3GNT3,19,B3GNT3
SLC10A7,4,SLC10A7
ATIC,2,ATIC
CHIT1,1,CHIT1
MCCC2,5,MCCC2
RNF7,3,RNF7
IFFO2,1,IFFO2
SPERT,13,SPERT
PRR5,22,PRR5
PPP1R16A,8,PPP1R16A
CSPG5,3,CSPG5
THAP6,4,THAP6
SUB1,5,SUB1
GSS,20,GSS
MSMP,9,MSMP
PRKD1,14,PRKD1
MBNL2,13,MBNL2
SMC5,9,SMC5
CSRP2,12,CSRP2
CENPL,1,CENPL
APH1B,15,APH1B
TRAPPC1,17,TRAPPC1
RBP7,1,RBP7
OR7E24,19,OR7E24
CIAPIN1,16,CIAPIN1
FUNDC1,X,FUNDC1
IRF8,16,IRF8
CEP72,5,CEP72
ARL4A,7,ARL4A
STIL,1,STIL
SPRR2A,1,SPRR2A
ORC3,6,ORC3
SLC15A4,12,SLC15A4
ARHGAP4,X,ARHGAP4
CHML,1,CHML
GGA2,16,GGA2
SEC63,6,SEC63
IRF2BP1,19,IRF2BP1
MRPL23,11,MRPL23
NCKIPSD,3,NCKIPSD
THUMPD1,16,THUMPD1
LSM10,1,LSM10
DNAJC13,3,DNAJC13
OR11H6,14,OR11H6
TRAV34,14,TRAV34
KRT33B,17,KRT33B
ENPEP,4,ENPEP
TMEM259,19,TMEM259
ADAD1,4,ADAD1
IL1R2,2,IL1R2
PCBP1,2,PCBP1
SYN3,22,SYN3
ATAD5,17,ATAD5
ZC3H4,19,ZC3H4
SLC35E3,12,SLC35E3
MSGN1,2,MSGN1
MYF6,12,MYF6
SEC23IP,10,SEC23IP
TREML4,6,TREML4
NELFA,4,NELFA
YBX3,12,YBX3
C1GALT1C1,X,C1GALT1C1
COG1,17,COG1
PAOX,10,PAOX
QRSL1,6,QRSL1
CYBA,16,CYBA
SSNA1,9,SSNA1
IGHV3OR16-12,16,IGHV3OR16-12
VAV2,9,VAV2
ZNF174,16,ZNF174
TRPM5,11,TRPM5
KCND2,7,KCND2
ESYT2,7,ESYT2
MRPL19,2,MRPL19
MAGEA2,X,MAGEA2
SLC39A11,17,SLC39A11
KLHL8,4,KLHL8
FKBP4,12,FKBP4
LTA4H,12,LTA4H
TNFRSF10B,8,TNFRSF10B
PRODH2,19,PRODH2
DEFA3,8,DEFA3
ME3,11,ME3
MRPS28,8,MRPS28
ZNF415,19,ZNF415
APEX2,X,APEX2
NAA35,9,NAA35
STARD10,11,STARD10
ZNF561,19,ZNF561
NUP54,4,NUP54
NUP37,12,NUP37
UBLCP1,5,UBLCP1
BSND,1,BSND
MRPS24,7,MRPS24
SMC3,10,SMC3
ZBED3,5,ZBED3
SIGMAR1,9,SIGMAR1
BTN1A1,6,BTN1A1
ZMAT1,X,ZMAT1
HACL1,3,HACL1
HENMT1,1,HENMT1
MTUS2,13,MTUS2
PHF5A,22,PHF5A
PYDC2,3,PYDC2
ZNF816,19,ZNF816
MAPK15,8,MAPK15
PIN4,X,PIN4
USP5,12,USP5
UGT2B11,4,UGT2B11
GAB2,11,GAB2
NR1D2,3,NR1D2
MIS12,17,MIS12
NEURL4,17,NEURL4
PTGDS,9,PTGDS
RPA2,1,RPA2
COLGALT2,1,COLGALT2
SATB2,2,SATB2
AURKAIP1,1,AURKAIP1
UBQLN1,9,UBQLN1
DUOXA1,15,DUOXA1
ENTPD2,9,ENTPD2
FAM205A,9,FAM205A
PIGN,18,PIGN
ORM1,9,ORM1
NECAP2,1,NECAP2
HEY2,6,HEY2
CEP85,1,CEP85
ACAP3,1,ACAP3
PNRC1,6,PNRC1
VWC2,7,VWC2
NFX1,9,NFX1
HNRNPC,14,HNRNPC
NES,1,NES
TRIM45,1,TRIM45
ZFAND2B,2,ZFAND2B
CCR7,17,CCR7
FABP2,4,FABP2
MGAT3,22,MGAT3
MARVELD3,16,MARVELD3
PDE2A,11,PDE2A
CEP83,12,CEP83
FBXL6,8,FBXL6
CD7,17,CD7
FOXC1,6,FOXC1
ITK,5,ITK
POM121L2,6,POM121L2
CHD8,14,CHD8
SLC34A1,5,SLC34A1
MGAT2,14,MGAT2
NDUFAF5,20,NDUFAF5
SLC31A1,9,SLC31A1
SFTPA1,10,SFTPA1
LGALS7,19,LGALS7
SLC24A2,9,SLC24A2
TSC22D4,7,TSC22D4
OSBPL11,3,OSBPL11
EXO1,1,EXO1
DCBLD2,3,DCBLD2
ZNF800,7,ZNF800
B4GALT6,18,B4GALT6
DGKI,7,DGKI
GMFG,19,GMFG
LSM8,7,LSM8
MLEC,12,MLEC
MELK,9,MELK
SPTBN2,11,SPTBN2
WDR63,1,WDR63
BLOC1S5-TXNDC5,6,BLOC1S5-TXNDC5
BOP1,8,BOP1
SPRR4,1,SPRR4
FOXN3,14,FOXN3
TRAV3,14,TRAV3
NAMPT,7,NAMPT
AHNAK2,14,AHNAK2
SLCO1B1,12,SLCO1B1
B4GALT1,9,B4GALT1
GRPEL1,4,GRPEL1
FAM207A,21,FAM207A
GJB5,1,GJB5
PDCL,9,PDCL
PIK3C2B,1,PIK3C2B
UBE2W,8,UBE2W
POU5F1,6,POU5F1
CABYR,18,CABYR
SLC9A4,2,SLC9A4
TEX261,2,TEX261
JOSD2,19,JOSD2
ARL6IP5,3,ARL6IP5
DDX28,16,DDX28
SH2B2,7,SH2B2
OR12D2,6,OR12D2
SLAIN1,13,SLAIN1
KTN1,14,KTN1
IQUB,7,IQUB
GFPT2,5,GFPT2
KCNA2,1,KCNA2
ANP32C,4,ANP32C
IRF5,7,IRF5
GPR143,X,GPR143
MDM4,1,MDM4
LONP2,16,LONP2
WDR5B,3,WDR5B
CELF3,1,CELF3
ADIG,20,ADIG
KIF19,17,KIF19
SEC31A,4,SEC31A
MKLN1,7,MKLN1
PARP15,3,PARP15
SLC12A3,16,SLC12A3
POLM,7,POLM
PTGES3,12,PTGES3
TAF1,X,TAF1
ACSS3,12,ACSS3
TPP1,11,TPP1
TSPEAR,21,TSPEAR
PLEKHH3,17,PLEKHH3
TBX6,16,TBX6
ZIK1,19,ZIK1
ZNF816-ZNF321P,19,ZNF816-ZNF321P
ZNF541,19,ZNF541
PBK,8,PBK
NAT1,8,NAT1
NARS,18,NARS
ALOXE3,17,ALOXE3
RIPK3,14,RIPK3
MICB,6,MICB
THYN1,11,THYN1
ABHD6,3,ABHD6
RAB35,12,RAB35
ELP1,9,ELP1
DDN,12,DDN
NAGA,22,NAGA
OGT,X,OGT
CACNG7,19,CACNG7
METTL4,18,METTL4
KCTD2,17,KCTD2
OVGP1,1,OVGP1
VWA1,1,VWA1
SMARCA2,9,SMARCA2
NUBP2,16,NUBP2
TERF1,8,TERF1
GRM2,3,GRM2
DSE,6,DSE
CLPP,19,CLPP
RAB24,5,RAB24
CDK1,10,CDK1
TMEM163,2,TMEM163
RABGEF1,7,RABGEF1
CDCA3,12,CDCA3
PGGT1B,5,PGGT1B
DPF2,11,DPF2
IGF1,12,IGF1
PSMA4,15,PSMA4
RPL34,4,RPL34
SYVN1,11,SYVN1
FSTL3,19,FSTL3
RXFP1,4,RXFP1
ZNF414,19,ZNF414
SLITRK1,13,SLITRK1
GUCY1A1,4,GUCY1A1
CSF3R,1,CSF3R
ANOS1,X,ANOS1
SHISA8,22,SHISA8
SPRR2G,1,SPRR2G
NECTIN4,1,NECTIN4
ABHD4,14,ABHD4
ZNF516,18,ZNF516
RPL23,17,RPL23
ABHD10,3,ABHD10
GRK7,3,GRK7
SNX3,6,SNX3
RFX2,19,RFX2
ACLY,17,ACLY
SAPCD2,9,SAPCD2
DKK1,10,DKK1
MDGA1,6,MDGA1
NPTX1,17,NPTX1
HACE1,6,HACE1
SMARCA5,4,SMARCA5
ICMT,1,ICMT
OLAH,10,OLAH
SNRNP40,1,SNRNP40
PPP4C,16,PPP4C
NCAPD3,11,NCAPD3
PGRMC2,4,PGRMC2
GABPB2,1,GABPB2
OR51I2,11,OR51I2
MCU,10,MCU
ARHGEF39,9,ARHGEF39
PLXNA1,3,PLXNA1
MSC,8,MSC
LRRTM2,5,LRRTM2
CT45A3,X,CT45A3
TFPT,19,TFPT
ABCB6,2,ABCB6
URI1,19,URI1
U2AF1,21,U2AF1
ZC3HAV1L,7,ZC3HAV1L
DNAAF3,19,DNAAF3
N4BP1,16,N4BP1
FCER1G,1,FCER1G
GOLGA6L10,15,GOLGA6L10
IL1RAPL2,X,IL1RAPL2
GPR89A,1,GPR89A
NUDCD3,7,NUDCD3
PRPS2,X,PRPS2
SUFU,10,SUFU
ACSM4,12,ACSM4
MDM1,12,MDM1
MRAP2,6,MRAP2
PTCHD1,X,PTCHD1
SNF8,17,SNF8
ASB17,1,ASB17
SPRYD4,12,SPRYD4
ALDH5A1,6,ALDH5A1
APBB3,5,APBB3
NDN,15,NDN
NUP50,22,NUP50
TBX15,1,TBX15
LRP5L,22,LRP5L
MAPK8,10,MAPK8
USP17L24,4,USP17L24
XPO5,6,XPO5
EID3,12,EID3
ELP6,3,ELP6
GNAT1,3,GNAT1
SFI1,22,SFI1
ZNF575,19,ZNF575
CD58,1,CD58
CLCN4,X,CLCN4
HTR1D,1,HTR1D
LIN9,1,LIN9
FAM76A,1,FAM76A
NBPF4,1,NBPF4
NKAIN2,6,NKAIN2
BTBD10,11,BTBD10
HIST1H2AA,6,HIST1H2AA
XPC,3,XPC
RRAGA,9,RRAGA
CCNB1,5,CCNB1
RFPL3,22,RFPL3
GZMB,14,GZMB
GPR35,2,GPR35
DMXL2,15,DMXL2
PLOD2,3,PLOD2
SOX30,5,SOX30
LEMD2,6,LEMD2
LIM2,19,LIM2
UBC,12,UBC
PAPPA2,1,PAPPA2
CSTF2T,10,CSTF2T
KDM3A,2,KDM3A
RAB40C,16,RAB40C
RCAN1,21,RCAN1
ZNF217,20,ZNF217
TNFRSF14,1,TNFRSF14
TIAF1,17,TIAF1
PLA2G4A,1,PLA2G4A
RABGGTA,14,RABGGTA
GRIA4,11,GRIA4
PROCR,20,PROCR
MUS81,11,MUS81
TBC1D28,17,TBC1D28
SERPINF1,17,SERPINF1
HCRT,17,HCRT
HIST1H1D,6,HIST1H1D
CRIP1,14,CRIP1
HOXA13,7,HOXA13
KCNK2,1,KCNK2
CREB5,7,CREB5
AMPD1,1,AMPD1
FAM83H,8,FAM83H
POLR3D,8,POLR3D
TIMM17A,1,TIMM17A
KRTAP10-6,21,KRTAP10-6
NIPSNAP3A,9,NIPSNAP3A
TCP1,6,TCP1
EMX1,2,EMX1
PLXNB2,22,PLXNB2
RSPH1,21,RSPH1
AVPR2,X,AVPR2
SLC37A3,7,SLC37A3
VPS54,2,VPS54
ZNF681,19,ZNF681
CGB1,19,CGB1
PTCH1,9,PTCH1
HSD11B2,16,HSD11B2
RPS26,12,RPS26
IL13,5,IL13
DHRS2,14,DHRS2
LMCD1,3,LMCD1
UHMK1,1,UHMK1
ACTN2,1,ACTN2
ZNF213,16,ZNF213
AP1M1,19,AP1M1
HSPH1,13,HSPH1
C7,5,C7
NXT2,X,NXT2
ORC6,16,ORC6
PDE4D,5,PDE4D
TLR10,4,TLR10
LY6G6F,6,LY6G6F
ZNF513,2,ZNF513
PRSS27,16,PRSS27
SYN1,X,SYN1
SOBP,6,SOBP
KPNA7,7,KPNA7
TNFAIP6,2,TNFAIP6
CPNE9,3,CPNE9
MSH5,6,MSH5
ZNF222,19,ZNF222
MED10,5,MED10
FRMD4A,10,FRMD4A
CCKBR,11,CCKBR
ZNF852,3,ZNF852
TNFRSF1B,1,TNFRSF1B
PIGP,21,PIGP
KANSL3,2,KANSL3
SRPX,X,SRPX
RB1CC1,8,RB1CC1
HMGB4,1,HMGB4
OR2C1,16,OR2C1
SEC61G,7,SEC61G
PADI1,1,PADI1
CAMTA2,17,CAMTA2
UFSP2,4,UFSP2
GLOD4,17,GLOD4
SLC35C2,20,SLC35C2
PRM1,16,PRM1
CAMK4,5,CAMK4
CYP4V2,4,CYP4V2
ACO1,9,ACO1
NDUFC1,4,NDUFC1
GOLGA2,9,GOLGA2
KRT84,12,KRT84
IFI44L,1,IFI44L
EGR3,8,EGR3
PEX16,11,PEX16
GMPPB,3,GMPPB
SHANK1,19,SHANK1
CYP2B6,19,CYP2B6
GSDMA,17,GSDMA
NOXA1,9,NOXA1
UBE2G2,21,UBE2G2
DNASE1,16,DNASE1
PATL2,15,PATL2
CUL4A,13,CUL4A
BAZ1A,14,BAZ1A
KCNAB2,1,KCNAB2
RANBP1,22,RANBP1
ALDH1B1,9,ALDH1B1
NCAPG2,7,NCAPG2
RHPN2,19,RHPN2
MAEA,4,MAEA
NR3C1,5,NR3C1
CEND1,11,CEND1
NHLRC1,6,NHLRC1
NOBOX,7,NOBOX
FUT7,9,FUT7
RNASEH2C,11,RNASEH2C
STX3,11,STX3
CEACAM6,19,CEACAM6
GIMAP1,7,GIMAP1
PAQR9,3,PAQR9
MYD88,3,MYD88
OR1L8,9,OR1L8
CASP5,11,CASP5
DARS2,1,DARS2
FPR2,19,FPR2
TBX3,12,TBX3
KIAA1210,X,KIAA1210
MTPAP,10,MTPAP
MGST2,4,MGST2
CLRN1,3,CLRN1
PRX,19,PRX
PTAFR,1,PTAFR
RIC8A,11,RIC8A
UBD,6,UBD
DDX1,2,DDX1
DHRS7B,17,DHRS7B
PPIL2,22,PPIL2
LRRC59,17,LRRC59
PLEKHN1,1,PLEKHN1
PNPT1,2,PNPT1
PLAGL1,6,PLAGL1
SPIN3,X,SPIN3
CT45A1,X,CT45A1
GDF3,12,GDF3
CDK5RAP2,9,CDK5RAP2
DCLK1,13,DCLK1
TEX26,13,TEX26
B3GAT3,11,B3GAT3
SLC22A2,6,SLC22A2
ZNF540,19,ZNF540
LARS,5,LARS
AK5,1,AK5
ZFP30,19,ZFP30
ARPC4,3,ARPC4
MMD2,7,MMD2
TMEM189,20,TMEM189
SERTAD2,2,SERTAD2
PITPNA,17,PITPNA
TRIM67,1,TRIM67
RAC2,22,RAC2
ZDHHC22,14,ZDHHC22
SLC8A2,19,SLC8A2
ZMYND15,17,ZMYND15
TXNRD1,12,TXNRD1
GLRB,4,GLRB
PURB,7,PURB
OR10G4,11,OR10G4
IGHV4OR15-8,15,IGHV4OR15-8
SLC29A2,11,SLC29A2
DUT,15,DUT
TPRG1L,1,TPRG1L
SEPHS2,16,SEPHS2
KIF1A,2,KIF1A
BTNL2,6,BTNL2
TNFSF13B,13,TNFSF13B
ACTRT2,1,ACTRT2
JMJD4,1,JMJD4
PRKG2,4,PRKG2
ESPNL,2,ESPNL
MATK,19,MATK
OR4C46,11,OR4C46
STX18,4,STX18
IGSF21,1,IGSF21
LMO4,1,LMO4
NIP7,16,NIP7
HIGD2A,5,HIGD2A
ROR1,1,ROR1
BTN3A3,6,BTN3A3
SESTD1,2,SESTD1
GTSE1,22,GTSE1
OLIG1,21,OLIG1
ITPR1,3,ITPR1
ZNF280B,22,ZNF280B
PRDM13,6,PRDM13
WDR45B,17,WDR45B
CD8B,2,CD8B
IL32,16,IL32
NAALADL1,11,NAALADL1
OAS2,12,OAS2
ARID5B,10,ARID5B
COX6C,8,COX6C
ZC3H7B,22,ZC3H7B
TUBA1C,12,TUBA1C
ZMYND19,9,ZMYND19
ZNF324B,19,ZNF324B
MIF,22,MIF
TGFBRAP1,2,TGFBRAP1
SLC44A4,6,SLC44A4
DUSP26,8,DUSP26
TBCCD1,3,TBCCD1
ZNF587,19,ZNF587
MT1F,16,MT1F
JRK,8,JRK
SSTR3,22,SSTR3
LZTR1,22,LZTR1
UXT,X,UXT
FADS1,11,FADS1
ALG8,11,ALG8
BRD1,22,BRD1
OR8B4,11,OR8B4
PLAU,10,PLAU
CRYAA,21,CRYAA
PRKCQ,10,PRKCQ
SIRPB2,20,SIRPB2
SYCP2,20,SYCP2
CTSS,1,CTSS
DBX1,11,DBX1
COQ5,12,COQ5
CDCA5,11,CDCA5
TPD52,8,TPD52
HPX,11,HPX
EXOC2,6,EXOC2
PFN1,17,PFN1
RAN,12,RAN
XKR9,8,XKR9
SMARCE1,17,SMARCE1
OR5T3,11,OR5T3
PCGF2,17,PCGF2
CREG1,1,CREG1
MAPRE1,20,MAPRE1
SEC24B,4,SEC24B
BTNL8,5,BTNL8
IGHV3OR16-9,16,IGHV3OR16-9
GABARAPL1,12,GABARAPL1
MICU1,10,MICU1
SLC25A1,22,SLC25A1
CTSW,11,CTSW
CA13,8,CA13
RPAP2,1,RPAP2
ASB18,2,ASB18
GDPD2,X,GDPD2
NLRP6,11,NLRP6
PPP2CA,5,PPP2CA
MTCH2,11,MTCH2
DLG4,17,DLG4
IRX4,5,IRX4
DDX56,7,DDX56
CASKIN1,16,CASKIN1
PBOV1,6,PBOV1
PCNA,20,PCNA
ZSCAN10,16,ZSCAN10
SLC9A9,3,SLC9A9
DNLZ,9,DNLZ
B3GNT2,2,B3GNT2
HHEX,10,HHEX
HIST1H2AJ,6,HIST1H2AJ
RPS7,2,RPS7
POC1B-GALNT4,12,POC1B-GALNT4
SACM1L,3,SACM1L
MYBBP1A,17,MYBBP1A
FKBP14,7,FKBP14
PYGO2,1,PYGO2
WDR70,5,WDR70
KCNIP1,5,KCNIP1
PNPLA2,11,PNPLA2
TOX2,20,TOX2
CAPZB,1,CAPZB
KRT39,17,KRT39
FGF14,13,FGF14
S100A7,1,S100A7
TTF1,9,TTF1
KLF4,9,KLF4
CYP1A2,15,CYP1A2
TCTN1,12,TCTN1
NDUFAB1,16,NDUFAB1
NUDT17,1,NUDT17
BTN2A1,6,BTN2A1
VCX3B,X,VCX3B
ZNF341,20,ZNF341
NUDT14,14,NUDT14
GOLGA8R,15,GOLGA8R
SYT5,19,SYT5
FGFBP1,4,FGFBP1
LPAR1,9,LPAR1
TEX12,11,TEX12
CUX1,7,CUX1
SMARCC1,3,SMARCC1
NTF4,19,NTF4
CRTC1,19,CRTC1
RABGAP1,9,RABGAP1
ECHDC1,6,ECHDC1
PUM2,2,PUM2
GRHL3,1,GRHL3
OR5D3P,11,OR5D3P
SLC51A,3,SLC51A
ZNF366,5,ZNF366
ZNF674,X,ZNF674
CHD4,12,CHD4
UCN,2,UCN
NFE2L1,17,NFE2L1
CST7,20,CST7
PDE3A,12,PDE3A
UNC50,2,UNC50
NKG7,19,NKG7
DENND4B,1,DENND4B
MUL1,1,MUL1
SH2D6,2,SH2D6
SLC22A1,6,SLC22A1
TRIM13,13,TRIM13
OR4D1,17,OR4D1
SLC2A13,12,SLC2A13
MKRN1,7,MKRN1
APOO,X,APOO
ALDOB,9,ALDOB
MNT,17,MNT
NIF3L1,2,NIF3L1
EPN3,17,EPN3
NUDT21,16,NUDT21
CCR1,3,CCR1
ITGAD,16,ITGAD
LAX1,1,LAX1
CD47,3,CD47
S1PR2,19,S1PR2
OR52R1,11,OR52R1
SGCG,13,SGCG
FLYWCH1,16,FLYWCH1
EFNA1,1,EFNA1
HOXD4,2,HOXD4
PHF2,9,PHF2
ZSCAN5B,19,ZSCAN5B
ZNF704,8,ZNF704
HAP1,17,HAP1
OR52N1,11,OR52N1
MIDN,19,MIDN
SLC6A6,3,SLC6A6
USP4,3,USP4
COX7A1,19,COX7A1
HOXD11,2,HOXD11
CST11,20,CST11
KCNIP4,4,KCNIP4
BSN,3,BSN
SRA1,5,SRA1
CREB3L3,19,CREB3L3
ZNF235,19,ZNF235
TBCD,17,TBCD
SPATC1L,21,SPATC1L
NLGN2,17,NLGN2
KDF1,1,KDF1
UTRN,6,UTRN
OR8J3,11,OR8J3
TBL1Y,Y,TBL1Y
UBXN8,8,UBXN8
ZNF75A,16,ZNF75A
CCDC15,11,CCDC15
SNW1,14,SNW1
TAF11,6,TAF11
SLC37A1,21,SLC37A1
OR2F1,7,OR2F1
MYPN,10,MYPN
FRMPD1,9,FRMPD1
PSMD11,17,PSMD11
PPME1,11,PPME1
IGKV3-11,2,IGKV3-11
CENPN,16,CENPN
SCN11A,3,SCN11A
PLD4,14,PLD4
CHRDL1,X,CHRDL1
EMC8,16,EMC8
ACKR1,1,ACKR1
PARP4,13,PARP4
ZNF793,19,ZNF793
TESPA1,12,TESPA1
PPIE,1,PPIE
ZFY,Y,ZFY
