Genes,Average_GC,Norm_Symbol
RABEP1,41.34,RABEP1
NLRP2,48.95900000000002,NLRP2
TP53TG3E,50.86,TP53TG3E
FAM151B,38.99,FAM151B
OR4C46,44.52,OR4C46
COX18,40.47,COX18
CAPRIN1,40.01,CAPRIN1
ILF2,44.32,ILF2
KLF5,38.99,KLF5
CTSD,64.73,CTSD
KRTAP10-5,65.91,KRTAP10-5
CD81,63.44000000000002,CD81
TMEM205,54.21000000000002,TMEM205
MAGEA11,43.37,MAGEA11
RAI14,42.11000000000001,RAI14
MAGEB5,46.1,MAGEB5
FBXL15,61.93,FBXL15
ADGRL1,56.42,ADGRL1
SLC25A47,60.99,SLC25A47
CCDC9,56.53,CCDC9
CASTOR2,52.51,CASTOR2
NUCKS1,39.53,NUCKS1
CPSF2,39.6,CPSF2
SLC35F3,42.38,SLC35F3
LSM6,39.7,LSM6
ZNF624,37.67,ZNF624
CASP10,42.31,CASP10
RIOK3,41.69,RIOK3
AKAP8,53.24,AKAP8
NDRG4,53.85,NDRG4
ACY1,57.27,ACY1
FAM114A1,42.57,FAM114A1
REG1B,43.48,REG1B
PTGER2,42.21,PTGER2
BEX5,49.91,BEX5
KRT81,58.16,KRT81
UTP6,44.1,UTP6
SPRY4,51.21,SPRY4
NIF3L1,41.02,NIF3L1
NDUFB6,41.42,NDUFB6
CRTC2,53.18,CRTC2
MARC1,45.14000000000001,MARC1
GLIPR1L1,33.87,GLIPR1L1
ZNF311,40.995714285714286,ZNF311
FIS1,51.92,FIS1
KAT8,52.4,KAT8
CCDC117,44.33,CCDC117
RABL3,37.93,RABL3
RAB40B,53.01,RAB40B
FAHD2B,48.77,FAHD2B
STARD10,54.31,STARD10
SLC44A3,43.92,SLC44A3
AL031681.2,46.19,AL031681.2
ITGB5,46.61000000000001,ITGB5
DHRSX,47.11,DHRSX
LY6E,63.57999999999999,LY6E
S100P,53.54,S100P
FBXO4,38.88,FBXO4
KCTD20,42.38999999999999,KCTD20
SLITRK3,45.53,SLITRK3
SLC6A15,34.54,SLC6A15
RNF123,56.40999999999999,RNF123
PSMD7,43.43,PSMD7
DNAJC12,39.64,DNAJC12
PLPP3,41.42,PLPP3
MTMR14,49.36,MTMR14
SENP2,42.85999999999999,SENP2
NFKBIL1,48.08681818181819,NFKBIL1
CDC42EP3,41.38,CDC42EP3
CCDC151,52.68,CCDC151
FBXO30,35.27,FBXO30
NIT1,49.13,NIT1
PCDHGA9,45.5,PCDHGA9
AC010255.3,38.46,AC010255.3
YY1AP1,44.63,YY1AP1
PLEKHO1,51.63,PLEKHO1
TMEM161A,51.60000000000001,TMEM161A
FAM180A,46.32,FAM180A
SMIM8,40.32,SMIM8
SMIM34B,41.95,SMIM34B
SLC17A6,36.54,SLC17A6
OPLAH,65.95,OPLAH
RCOR2,61.85,RCOR2
SPDYE3,50.81,SPDYE3
TMEM239,52.77,TMEM239
CDHR1,51.31,CDHR1
CPSF4,53.24,CPSF4
PANK2,45.01,PANK2
ELOVL6,39.87,ELOVL6
POLDIP3,49.1,POLDIP3
NHS,42.34,NHS
AMIGO1,53.23,AMIGO1
VPS37D,64.08,VPS37D
IFRD1,39.45,IFRD1
MT-ND3,40.17,MT-ND3
GNB1L,52.87,GNB1L
VGLL4,44.93,VGLL4
CYP2S1,53.16,CYP2S1
NCKIPSD,56.62,NCKIPSD
SPANXN4,46.49,SPANXN4
RAB7B,48.0,RAB7B
CKM,53.01,CKM
KCNK13,43.9,KCNK13
DEPDC4,39.88,DEPDC4
ZNF48,53.07000000000001,ZNF48
ANKMY2,38.01,ANKMY2
FGFR1OP2,35.89,FGFR1OP2
NDUFA1,42.08,NDUFA1
SLC25A31,36.58,SLC25A31
TRMT9B,41.39,TRMT9B
PLEKHG5,58.85,PLEKHG5
MNS1,35.19,MNS1
AL772284.2,47.11,AL772284.2
VPREB3,56.21,VPREB3
GU182347.4,49.16,GU182347.4
GRIA2,34.59000000000001,GRIA2
EIF3D,46.82999999999999,EIF3D
RTCB,41.29,RTCB
MZF1,55.33,MZF1
C10orf105,55.39,C10orf105
GON4L,44.03000000000001,GON4L
MPDU1,56.21,MPDU1
CYP2A6,53.41,CYP2A6
GATB,43.81,GATB
PPT1,44.02,PPT1
HIST1H2AL,63.87,HIST1H2AL
GBA,51.575,GBA
ERCC5,39.07,ERCC5
NPEPL1,56.79,NPEPL1
ZNF717,40.85,ZNF717
KRT10,42.71,KRT10
SST,48.48,SST
SCYGR6,67.3,SCYGR6
OR1S2,45.1,OR1S2
AK1,60.13,AK1
SPSB4,47.06,SPSB4
CPN2,52.75,CPN2
UBAP1L,48.85,UBAP1L
PEX11G,53.44,PEX11G
WASHC2A,42.59,WASHC2A
RGS17,37.44,RGS17
LAMTOR5,42.55,LAMTOR5
TMEM135,36.37,TMEM135
ARHGEF6,39.75,ARHGEF6
LYN,43.20000000000001,LYN
NPM3,57.44,NPM3
C1orf158,43.81,C1orf158
AGBL1,39.14,AGBL1
AMBRA1,43.63,AMBRA1
SOX14,56.55,SOX14
DCTN6,41.55,DCTN6
CPLX4,41.55,CPLX4
XPA,38.79,XPA
BMERB1,45.915,BMERB1
TFE3,52.48,TFE3
PTPN23,51.52,PTPN23
PHC3,37.75,PHC3
RFNG,67.12,RFNG
SPRED3,56.25,SPRED3
PCDHB8,53.98,PCDHB8
H3F3C,45.6,H3F3C
NFYA,40.0,NFYA
TMPO,39.75,TMPO
SMARCB1,51.17,SMARCB1
USP22,47.95,USP22
CLDN8,37.23,CLDN8
NEXN,39.06,NEXN
ZNF17,47.68,ZNF17
NOXO1,63.61,NOXO1
MASTL,41.49,MASTL
PCDHA9,39.93,PCDHA9
TMPPE,51.17,TMPPE
UQCRQ,49.28,UQCRQ
LYRM7,38.04,LYRM7
NODAL,51.26,NODAL
CDH18,34.88999999999999,CDH18
CHURC1-FNTB,44.95,CHURC1-FNTB
ZNF544,47.34000000000002,ZNF544
CDCA8,45.77,CDCA8
ANK2,37.08000000000001,ANK2
IRX3,64.52,IRX3
TBC1D23,36.47,TBC1D23
RAB21,37.14,RAB21
PWWP3A,52.99,PWWP3A
TMEM268,47.67,TMEM268
GGN,64.93,GGN
CYP26A1,52.98,CYP26A1
ZNF735,36.96,ZNF735
MDH1,38.05,MDH1
LRATD2,50.65,LRATD2
IL15,37.13999999999999,IL15
TFCP2,41.94,TFCP2
ZNF16,47.4,ZNF16
RASSF9,34.15,RASSF9
AC005261.1,47.4,AC005261.1
FHOD1,56.45,FHOD1
ZIC2,56.62,ZIC2
AZIN2,46.14,AZIN2
IQCG,43.92,IQCG
ZFP91,36.5,ZFP91
SLC25A42,52.59,SLC25A42
HS3ST1,43.92,HS3ST1
SLC22A25,39.58,SLC22A25
MRPL48,43.35,MRPL48
SPARC,47.82,SPARC
NPAS2,45.84,NPAS2
AC093668.1,52.04,AC093668.1
FNDC3A,37.08,FNDC3A
IL9,42.24,IL9
POLR2J2,53.42,POLR2J2
MAEL,38.11,MAEL
URI1,37.88,URI1
OTOR,41.74,OTOR
AC011604.2,35.95,AC011604.2
BCL6B,53.75,BCL6B
PXDN,49.9,PXDN
VIP,33.81,VIP
LYL1,62.1,LYL1
GU182357.4,49.31,GU182357.4
G2E3,35.46,G2E3
LHX1,57.76,LHX1
LGALS7B,58.725,LGALS7B
FANCE,50.43,FANCE
OR6N2,37.03,OR6N2
TJAP1,51.18,TJAP1
UCHL5,35.0,UCHL5
C8B,42.82,C8B
TREM1,47.2,TREM1
RPN1,46.98,RPN1
AP4E1,37.92,AP4E1
WARS,46.89,WARS
TGS1,40.02,TGS1
DEC1,40.81,DEC1
RCCD1,54.47,RCCD1
KRTAP19-3,44.44,KRTAP19-3
C16orf91,56.82,C16orf91
PNPLA1,46.87,PNPLA1
CACNA2D4,50.45000000000001,CACNA2D4
DDTL,51.55,DDTL
TEDC1,66.0,TEDC1
IL34,48.52,IL34
PLCL2,39.06500000000001,PLCL2
TMEM11,51.96,TMEM11
TEP1,47.43,TEP1
CLEC2D,37.39,CLEC2D
LRRC41,47.41,LRRC41
COQ3,39.36,COQ3
MLLT1,55.58,MLLT1
VXN,45.83,VXN
COA5,42.89,COA5
ZNF84,39.15999999999999,ZNF84
QRFPR,38.64,QRFPR
GOLGA7,39.89,GOLGA7
TMIGD1,41.51,TMIGD1
NR1H4,39.74,NR1H4
DEFB127,39.85,DEFB127
BDH1,49.7288888888889,BDH1
OR2T7,53.18,OR2T7
P4HTM,54.54,P4HTM
C12orf71,46.88,C12orf71
SNCAIP,39.26,SNCAIP
LRRC70,32.61,LRRC70
AP001267.5,42.15,AP001267.5
MBD4,39.9,MBD4
PARVG,51.78,PARVG
HLCS,44.35,HLCS
CA3,38.15,CA3
ESPN,60.14999999999999,ESPN
RELB,51.24,RELB
FAIM2,53.98,FAIM2
GPR143,47.19,GPR143
PRCP,39.32999999999999,PRCP
MUC22,46.73,MUC22
NAE1,46.31,NAE1
FAM166B,55.24,FAM166B
MCHR2,37.97,MCHR2
TNFSF13B,34.84,TNFSF13B
BRD9,55.12,BRD9
NPIPB2,46.62,NPIPB2
SOX21,55.29,SOX21
LRP2,39.58,LRP2
AC006059.2,45.49,AC006059.2
TRIM14,46.68,TRIM14
FAM227B,36.13999999999999,FAM227B
ELK1,49.22,ELK1
MAP3K11,57.13000000000001,MAP3K11
HOXC11,55.98,HOXC11
MEIKIN,39.03,MEIKIN
CDK2AP1,53.31,CDK2AP1
SPDYE2B,51.28,SPDYE2B
TEX54,60.0,TEX54
NPY4R2,52.24,NPY4R2
ARHGAP5,36.95,ARHGAP5
ANGPTL3,29.4,ANGPTL3
TMEM170A,44.63999999999999,TMEM170A
NAA16,37.31,NAA16
OSTN,36.16,OSTN
SLC25A6,57.28,SLC25A6
KRTCAP2,50.64,KRTCAP2
COX17,41.28,COX17
TRPV6,51.10999999999999,TRPV6
MTFMT,40.0,MTFMT
MAMLD1,44.08,MAMLD1
ZNF251,47.51,ZNF251
ENPP1,38.19,ENPP1
AC005702.1,39.35,AC005702.1
FRYL,36.94,FRYL
AC026369.8,53.11,AC026369.8
NOP2,49.45000000000001,NOP2
GRAMD4,57.68,GRAMD4
TMEM238,57.75,TMEM238
EDDM3A,43.63,EDDM3A
LHX6,54.23,LHX6
DMP1,38.38,DMP1
KRT71,53.67,KRT71
YRDC,49.58,YRDC
STXBP5,34.37,STXBP5
PRR3,44.978571428571435,PRR3
CEP89,45.48,CEP89
CRABP1,48.55,CRABP1
DZIP1,41.42,DZIP1
FAM9C,39.44,FAM9C
OPHN1,39.75,OPHN1
HES1,53.35,HES1
CBFA2T2,42.36,CBFA2T2
CYTH1,45.26,CYTH1
MBD6,57.85,MBD6
KCNE5,60.69,KCNE5
DCLK1,40.16,DCLK1
GMPR,47.83,GMPR
PSD3,39.94,PSD3
CEACAM5,47.09,CEACAM5
DPP7,68.72,DPP7
AHI1,36.31,AHI1
TSPAN17,58.7,TSPAN17
WNT11,57.84,WNT11
KCNJ10,44.37,KCNJ10
IMPA2,49.27,IMPA2
CTNNA3,36.18,CTNNA3
TXLNG,42.93,TXLNG
RPS6,40.73,RPS6
PDE4D,37.37,PDE4D
MINDY4B,41.87,MINDY4B
DELE1,48.18,DELE1
PSMG1,41.56,PSMG1
ATCAY,51.6,ATCAY
A1CF,36.24,A1CF
KMT5C,64.87,KMT5C
MT-ND4L,43.1,MT-ND4L
CHKB,50.66,CHKB
HMG20B,65.34000000000002,HMG20B
SCAF11,36.52,SCAF11
TMEM252,44.03,TMEM252
ERC1,39.35000000000001,ERC1
CDA,48.46,CDA
PLET1,44.95,PLET1
OR1C1,35.9,OR1C1
TTC33,38.63,TTC33
ZNF678,40.32,ZNF678
TDRD7,38.85,TDRD7
ABHD17A,65.16,ABHD17A
DSP,42.3,DSP
ASB17,35.16,ASB17
ASPRV1,55.49,ASPRV1
MPHOSPH10,40.22,MPHOSPH10
SULT1B1,37.28,SULT1B1
PEAK3,59.96,PEAK3
SOX8,64.99,SOX8
ATP6V1G3,35.29,ATP6V1G3
NOL12,54.42,NOL12
PTPRC,34.29263157894737,PTPRC
MAP3K7,35.82,MAP3K7
METTL23,47.85000000000001,METTL23
KDR,40.69,KDR
IZUMO1R,53.76,IZUMO1R
MAP3K2,38.69,MAP3K2
CNTNAP1,54.7,CNTNAP1
LRRN4CL,53.66,LRRN4CL
ARMC4,38.24,ARMC4
ZNF296,59.73,ZNF296
ELN,54.95000000000001,ELN
SCN8A,41.03,SCN8A
DEFB126,34.69,DEFB126
DAB1,40.82999999999999,DAB1
GALNT6,49.88999999999999,GALNT6
DEFB110,33.06,DEFB110
SULT4A1,56.03,SULT4A1
ZNF770,37.91,ZNF770
PSMB3,49.045,PSMB3
TMEM174,49.77,TMEM174
PCARE,51.28,PCARE
SYT1,35.61,SYT1
EME1,47.88,EME1
LRFN5,34.61,LRFN5
ABCA12,37.18,ABCA12
ZNF679,41.99,ZNF679
GRAMD2A,49.41,GRAMD2A
GU182355.6,45.39,GU182355.6
IL23A,49.11,IL23A
MTF1,43.6,MTF1
ISLR,61.05,ISLR
KIAA1109,34.76,KIAA1109
ZNF217,44.04,ZNF217
KRT27,41.77,KRT27
SSTR4,66.36,SSTR4
SEC24B,37.89,SEC24B
GSG1L,48.22,GSG1L
ZP1,55.31,ZP1
RAD52,45.17,RAD52
PLXNA2,47.99,PLXNA2
MTERF2,41.65,MTERF2
RHOT1,42.18,RHOT1
PGM2L1,37.45,PGM2L1
WDR36,33.98,WDR36
DMAC1,38.15,DMAC1
ZNF154,46.08,ZNF154
ELOVL5,41.88,ELOVL5
CBLN4,44.01,CBLN4
TMEM9,48.53,TMEM9
AP000350.12,50.93,AP000350.12
ZNF543,47.4,ZNF543
THAP4,49.66,THAP4
SERPINA10,44.67333333333334,SERPINA10
FMR1NB,39.45,FMR1NB
MAP1S,57.53,MAP1S
IAPP,35.47,IAPP
OR5M9,45.55,OR5M9
ZBTB47,61.24,ZBTB47
SLC30A5,39.23,SLC30A5
FGF7,33.83,FGF7
USP17L12,52.17,USP17L12
RCSD1,46.59,RCSD1
TM2D3,40.91,TM2D3
PAPOLB,40.72,PAPOLB
TAPT1,38.85,TAPT1
ATF4,58.94,ATF4
ZBTB7A,61.71,ZBTB7A
ZBTB33,39.37,ZBTB33
RXFP1,37.71999999999999,RXFP1
CNOT3,57.8839534883721,CNOT3
FCGR2A,43.82,FCGR2A
RIMKLA,43.65,RIMKLA
SPICE1,38.02,SPICE1
CCDC38,39.85,CCDC38
H1FNT,60.69,H1FNT
MMD2,49.83,MMD2
KCTD1,42.61,KCTD1
MTREX,36.82,MTREX
GASK1B,37.11,GASK1B
PHGDH,43.78,PHGDH
MGAM2,38.53,MGAM2
C20orf202,47.58,C20orf202
AC139530.1,55.06,AC139530.1
CGB3,64.98,CGB3
MAFB,56.42,MAFB
PEX1,37.11,PEX1
C2orf16,44.77,C2orf16
HOGA1,48.67,HOGA1
NPAS4,56.31,NPAS4
OR7D4,42.29,OR7D4
ENKD1,60.38,ENKD1
OR13C9,43.89,OR13C9
SEPT2,41.88999999999999,SEPT2
EDAR,48.85,EDAR
GSTK1,41.49,GSTK1
NDUFAF7,38.97,NDUFAF7
SCO2,67.21,SCO2
FBXO8,33.92,FBXO8
TIGD6,44.21,TIGD6
CBX6,58.47,CBX6
SLC6A16,43.07,SLC6A16
NDUFB7,57.47,NDUFB7
DLG3,46.89,DLG3
MBNL1,35.71000000000001,MBNL1
TCF25,55.03999999999999,TCF25
KLHL4,35.54,KLHL4
GZMA,39.31,GZMA
RPA3,37.19,RPA3
JPH1,39.8,JPH1
TTLL5,40.03000000000001,TTLL5
NHLRC3,37.72,NHLRC3
BRSK1,54.48,BRSK1
TRNP1,55.83,TRNP1
TAF11L12,51.29,TAF11L12
USP45,37.98,USP45
APOC1,53.46,APOC1
TMEM99,37.56,TMEM99
PUSL1,66.6,PUSL1
HSPA1B,58.75375,HSPA1B
AKR1B1,50.04,AKR1B1
ABHD17B,37.98,ABHD17B
C12orf57,52.58,C12orf57
OTULINL,42.83,OTULINL
PCF11,38.25,PCF11
PCDH10,33.93,PCDH10
ZC3H11A,40.73,ZC3H11A
MRPS31,39.19,MRPS31
GAGE2A,44.17,GAGE2A
RNF183,49.82,RNF183
BOC,47.040000000000006,BOC
PRPF40B,47.42,PRPF40B
ZNF354B,44.33,ZNF354B
NPFF,56.69,NPFF
STK32A,38.55,STK32A
LYPLA2,62.27999999999999,LYPLA2
TSKS,51.35,TSKS
STMP1,43.1,STMP1
AC005551.1,71.85,AC005551.1
OR5T2,38.24,OR5T2
ZNF775,53.79999999999999,ZNF775
RGSL1,40.97,RGSL1
LACRT,50.79999999999999,LACRT
MAGEA12,55.18,MAGEA12
CRYGC,42.26,CRYGC
SGCA,55.92,SGCA
CT476828.1,73.35,CT476828.1
PTGIS,46.16,PTGIS
PLIN2,44.99,PLIN2
GNB4,39.07,GNB4
RDH8,50.99,RDH8
AKAP14,46.85,AKAP14
AC012314.18,53.97,AC012314.18
USP17L17,51.69,USP17L17
PDK4,36.08,PDK4
ABHD16A,50.34100000000001,ABHD16A
NOL4L,54.39,NOL4L
SGSH,58.82999999999999,SGSH
FOLR1,50.62,FOLR1
RABGGTB,37.85,RABGGTB
NFIL3,41.89,NFIL3
ANKRD26,38.15,ANKRD26
UBE2S,54.64000000000001,UBE2S
CCDC74B,61.7,CCDC74B
GCNA,44.7,GCNA
ST8SIA6,40.76,ST8SIA6
RTKN2,35.19,RTKN2
SEC22C,43.29,SEC22C
EIF4A2,41.92,EIF4A2
CUL9,49.09,CUL9
RPP25L,58.74,RPP25L
CWH43,39.37,CWH43
KRBOX1,43.53,KRBOX1
OR14K1,46.56,OR14K1
FKRP,51.13,FKRP
CPEB2,34.97,CPEB2
TNFRSF8,50.54,TNFRSF8
HDDC3,55.9,HDDC3
CSDC2,55.8,CSDC2
CREBL2,40.66,CREBL2
SFTPA2,54.71,SFTPA2
LGALS2,50.79,LGALS2
SLFNL1,57.34000000000001,SLFNL1
AL135905.2,38.83,AL135905.2
AC007906.2,46.52,AC007906.2
NEUROD1,39.48,NEUROD1
ZNF287,39.49,ZNF287
GPR34,38.35,GPR34
RASL10B,54.98,RASL10B
PDCD2,41.63999999999999,PDCD2
TP53TG3D,50.84,TP53TG3D
EPHX4,38.34,EPHX4
RBBP5,40.77,RBBP5
HNRNPU,38.67,HNRNPU
RBP2,44.04,RBP2
PLA2G3,56.98,PLA2G3
APCDD1,46.21,APCDD1
OR8K5,40.04,OR8K5
SOX9,53.36,SOX9
BEST3,40.55,BEST3
DGKD,47.76,DGKD
AC270300.2,44.67,AC270300.2
ARHGAP1,53.08000000000001,ARHGAP1
ACTA1,62.54,ACTA1
MUC15,33.2,MUC15
CDK11A,52.05,CDK11A
TAF2,37.49,TAF2
TEX44,60.45,TEX44
MIF,69.50999999999999,MIF
SOCS6,39.07,SOCS6
LRRN4,51.18,LRRN4
GNL3,43.19,GNL3
CDK16,54.42,CDK16
LPCAT1,55.59666666666667,LPCAT1
WNT8A,47.97,WNT8A
SSTR3,58.85,SSTR3
ESYT1,50.49,ESYT1
HIST1H2AM,61.83,HIST1H2AM
OR52N4,39.63,OR52N4
CYP4F3,45.74,CYP4F3
ZNF875,43.83000000000001,ZNF875
GLRX2,39.59,GLRX2
MED23,36.18,MED23
DYNLRB1,48.33000000000001,DYNLRB1
RCL1,42.81,RCL1
FLRT3,35.11,FLRT3
NRP2,45.88,NRP2
CFHR4,34.14,CFHR4
TMEM204,58.04,TMEM204
CD86,40.77,CD86
RAB9A,41.6,RAB9A
PGK1,39.63,PGK1
SHBG,51.5,SHBG
OBSL1,58.290000000000006,OBSL1
PRSS36,57.63,PRSS36
ING2,44.45,ING2
GDF5OS,55.66,GDF5OS
PHF21A,38.790000000000006,PHF21A
KRTAP13-3,48.58,KRTAP13-3
KCNC1,48.8,KCNC1
CAPN7,37.11,CAPN7
KNTC1,41.24,KNTC1
ARMCX1,48.99,ARMCX1
WDFY1,42.71,WDFY1
CKAP2,38.86000000000001,CKAP2
HSPA14,42.55,HSPA14
PGLYRP4,44.46,PGLYRP4
KRT1,47.13,KRT1
NGRN,45.25,NGRN
CASP1,36.98,CASP1
HSF2,35.55,HSF2
KIF4A,40.48,KIF4A
LY6L,62.055,LY6L
DOCK8,41.5,DOCK8
REV3L,36.9,REV3L
KIR3DL2,47.24558139534884,KIR3DL2
ATRIP,48.87,ATRIP
CA12,48.38,CA12
HBZ,51.79,HBZ
EIF3A,41.68,EIF3A
HOXA10,53.6,HOXA10
TTBK1,56.24,TTBK1
FOXP2,34.830000000000005,FOXP2
BX072566.1,36.73,BX072566.1
CAPNS2,45.67,CAPNS2
PLD4,61.61,PLD4
MYO1A,48.63,MYO1A
NDUFA7,52.37,NDUFA7
AC020907.6,52.89,AC020907.6
ZNF548,45.35,ZNF548
C1orf131,43.5,C1orf131
C10orf143,46.23,C10orf143
GJB6,46.22000000000001,GJB6
ITFG2,50.2,ITFG2
KRTAP19-5,48.81,KRTAP19-5
DZANK1,41.71,DZANK1
DNAJA4,47.08,DNAJA4
UPK1A,52.7,UPK1A
HMGN4,41.64,HMGN4
WIPI2,48.21,WIPI2
RNF149,41.19,RNF149
FRAS1,39.77,FRAS1
TRIM46,57.8,TRIM46
WFIKKN2,57.81,WFIKKN2
AC099850.2,43.8,AC099850.2
NR5A2,40.7,NR5A2
MIER3,38.91,MIER3
GP1BB,70.83,GP1BB
AC008393.2,53.07,AC008393.2
VRTN,46.86,VRTN
OPALIN,41.61000000000001,OPALIN
AMPH,39.13,AMPH
SAT1,43.75,SAT1
C2orf15,43.01,C2orf15
C3orf62,47.93,C3orf62
RNH1,60.35999999999998,RNH1
USP17L15,51.69,USP17L15
CDH24,57.26000000000001,CDH24
TBC1D3K,60.115,TBC1D3K
SHROOM3,41.27,SHROOM3
CUX1,48.61000000000001,CUX1
COCH,39.92,COCH
AC090958.3,49.48,AC090958.3
GDPD4,39.6,GDPD4
CREM,39.22,CREM
CCDC82,34.74,CCDC82
BORCS7,41.69,BORCS7
SOX11,48.61,SOX11
GOLGA6L7,51.72,GOLGA6L7
RMI2,49.94,RMI2
ATXN10,40.57,ATXN10
RAMP1,52.41,RAMP1
SCN1A,35.32,SCN1A
CKMT2,44.36,CKMT2
CEACAM3,50.96,CEACAM3
SIGLEC7,48.93,SIGLEC7
MFAP1,43.93,MFAP1
AC005759.1,54.3,AC005759.1
DIP2C,48.43,DIP2C
AL021546.1,47.06,AL021546.1
MTRNR2L12,40.51,MTRNR2L12
PRAMEF4,48.21,PRAMEF4
MRPL12,57.65,MRPL12
C19orf44,51.58,C19orf44
LYPD8,51.05,LYPD8
APBA2,48.41666666666666,APBA2
SLC8B1,49.93,SLC8B1
FOXD4L5,54.23,FOXD4L5
S100A10,44.94,S100A10
DNM2,53.07,DNM2
NME5,41.3,NME5
RAP1A,39.31,RAP1A
KCNA3,56.91,KCNA3
GSDMD,62.14,GSDMD
UNC5B,54.37,UNC5B
FRAT2,60.23,FRAT2
RAB11FIP4,51.37,RAB11FIP4
GFAP,56.14,GFAP
TRPC5,40.24,TRPC5
NDUFA8,41.44,NDUFA8
SPDYE5,49.54,SPDYE5
DLX2,59.8,DLX2
CHERP,57.25,CHERP
F10,48.54,F10
ZFAND2B,50.40999999999998,ZFAND2B
TESK1,59.33,TESK1
ACAD10,47.12,ACAD10
PPP1R37,55.56,PPP1R37
GBP1,38.16,GBP1
F8A2,73.84,F8A2
KIAA0753,41.53,KIAA0753
ZNF200,43.67000000000001,ZNF200
CT45A3,42.77,CT45A3
SLC22A6,46.08,SLC22A6
TMEM123,40.62,TMEM123
CIRBP,62.54999999999998,CIRBP
SERPINA3,50.88999999999999,SERPINA3
PAQR9,41.7,PAQR9
BTN2A2,45.77999999999999,BTN2A2
RAB39A,42.93,RAB39A
CYP26C1,58.53,CYP26C1
CSAD,47.44,CSAD
HIST1H1T,48.33,HIST1H1T
NIPAL4,47.87,NIPAL4
ARHGAP30,49.52,ARHGAP30
P2RX3,50.22,P2RX3
PXMP2,52.41,PXMP2
GTF2H2,38.39692307692307,GTF2H2
SCP2,40.0,SCP2
ALG6,37.94,ALG6
ERH,40.2,ERH
GPRC5A,46.77,GPRC5A
ZNF805,43.28,ZNF805
PNLIP,39.14,PNLIP
EBAG9,34.99,EBAG9
CLU,49.89999999999999,CLU
ZSCAN31,41.29,ZSCAN31
ARMCX5,45.27,ARMCX5
OR4A15,41.45,OR4A15
APOC2,53.31,APOC2
C19orf48,54.79,C19orf48
ADAMTS3,35.8,ADAMTS3
VOPP1,46.42,VOPP1
GTPBP1,51.11000000000001,GTPBP1
CCDC191,38.06,CCDC191
COBLL1,36.27,COBLL1
KIAA0408,35.04,KIAA0408
HLA-DOA,52.48857142857143,HLA-DOA
ZNF324B,58.99,ZNF324B
STK4,38.46,STK4
GPR132,55.62,GPR132
C11orf80,42.68,C11orf80
SMC4,36.23,SMC4
BCO1,47.44,BCO1
CCL27,51.45,CCL27
NHLH1,50.1,NHLH1
GLMP,53.92,GLMP
TENM3,38.92,TENM3
GTPBP2,46.71,GTPBP2
ELOVL4,36.63,ELOVL4
MAL,52.06,MAL
PHYHIP,56.62,PHYHIP
MBIP,35.22,MBIP
GPD2,37.9,GPD2
KP420441.5,48.31,KP420441.5
RAG1,39.11,RAG1
MCRIP2,62.73,MCRIP2
FOXO1,42.85,FOXO1
ZC3H8,38.5,ZC3H8
IPO13,51.63,IPO13
OR1I1,47.83,OR1I1
A4GNT,42.65,A4GNT
NMD3,37.99,NMD3
RANGRF,58.51,RANGRF
RSC1A1,42.83,RSC1A1
COL5A2,34.93,COL5A2
GRM3,36.97,GRM3
TAF4B,38.65,TAF4B
ULBP2,52.94,ULBP2
OR8K3,32.44,OR8K3
INVS,38.92,INVS
TMEM242,43.34,TMEM242
MARF1,44.18,MARF1
PRR15L,52.0,PRR15L
ZNF581,58.42,ZNF581
TWF1,34.16,TWF1
SPINK4,48.28,SPINK4
ERLIN1,38.15,ERLIN1
PDE9A,51.28999999999999,PDE9A
OR2T27,39.38,OR2T27
GU182347.1,48.44,GU182347.1
FBXO9,39.22,FBXO9
RNASET2,48.7,RNASET2
GAL,57.14,GAL
FECH,42.64,FECH
IGSF21,49.91,IGSF21
CTAG2,64.74,CTAG2
FNDC4,57.44,FNDC4
SF3A2,58.43,SF3A2
GTF3C2,46.39,GTF3C2
GHRL,53.5,GHRL
RHBG,51.83,RHBG
MOGAT1,41.12,MOGAT1
DEDD,46.36000000000001,DEDD
MGAM,39.67857142857143,MGAM
IDI1,43.02,IDI1
C5orf15,39.76,C5orf15
C2orf92,45.07999999999999,C2orf92
JRKL,38.8,JRKL
CLC,43.84,CLC
HOMER3,56.77,HOMER3
CALHM3,52.06,CALHM3
ZNF185,50.51,ZNF185
PPFIBP2,45.46000000000001,PPFIBP2
NKX2-3,59.39,NKX2-3
TBL1Y,43.32,TBL1Y
BTAF1,37.37,BTAF1
ATF6,37.21,ATF6
MAP7D1,54.65999999999999,MAP7D1
LAMC3,53.66,LAMC3
ACMSD,39.51,ACMSD
BNC1,41.86,BNC1
ZNF454,43.36,ZNF454
OR52N1,37.04,OR52N1
JAZF1,41.44,JAZF1
KLRG1,39.18,KLRG1
PKD2,40.52,PKD2
CFAP206,37.91,CFAP206
LCE1D,51.99,LCE1D
AC011195.2,45.49,AC011195.2
GALNT11,41.23,GALNT11
PRSS54,45.92,PRSS54
COMTD1,70.61,COMTD1
PRAMEF27,48.08000000000001,PRAMEF27
CCDC186,37.12,CCDC186
SHOX,51.23,SHOX
ITGA2B,54.83000000000001,ITGA2B
COMMD7,48.22,COMMD7
ZCWPW1,44.82,ZCWPW1
DNPEP,48.78,DNPEP
MLNR,60.29,MLNR
PCGF1,55.26,PCGF1
