Genes,Domains,Norm_Symbol
NUP62,['PF05064'],NUP62
TIE1,"['PF00041', 'PF07714', 'PF00047']",TIE1
EDNRA,['PF00001'],EDNRA
MC5R,['PF00001'],MC5R
CLN5,['PF15014'],CLN5
APOH,"['PF09014', 'PF00084']",APOH
SCN10A,"['PF06512', 'PF00520']",SCN10A
ATP5PB,['PF05405'],ATP5PB
EIF1,['PF01253'],EIF1
APOO,['PF09769'],APOO
NAA50,['PF00583'],NAA50
DIXDC1,"['PF00307', 'PF00778']",DIXDC1
FBXL3,"['PF12937', 'PF00646']",FBXL3
RFX5,"['PF02257', 'PF18326', 'PF14621']",RFX5
MASP1,"['PF00084', 'PF00089', 'PF14670', 'PF00431']",MASP1
MSH4,"['PF05188', 'PF05190', 'PF00488', 'PF05192']",MSH4
WDR77,['PF00400'],WDR77
ATF5,['PF00170'],ATF5
TGS1,['PF09445'],TGS1
LUC7L3,['PF03194'],LUC7L3
ISM1,"['PF03782', 'PF00090']",ISM1
CMTM4,['PF01284'],CMTM4
DDHD1,['PF02862'],DDHD1
NOP10,['PF04135'],NOP10
SDF4,"['PF13202', 'PF13499']",SDF4
STARD4,['PF01852'],STARD4
KLHL15,"['PF07707', 'PF00651', 'PF01344']",KLHL15
MC2R,['PF00001'],MC2R
FOXB1,['PF00250'],FOXB1
PXN,"['PF00412', 'PF03535']",PXN
SNRNP70,"['PF00076', 'PF12220']",SNRNP70
TMEM68,['PF01553'],TMEM68
THBS3,"['PF07645', 'PF11598', 'PF05735', 'PF02412']",THBS3
CMC1,['PF08583'],CMC1
PRKCA,"['PF00168', 'PF00433', 'PF00069', 'PF00130']",PRKCA
UAP1L1,['PF01704'],UAP1L1
GAST,['PF00918'],GAST
AZI2,['PF12845'],AZI2
LLPH,['PF10169'],LLPH
FEM1C,"['PF13857', 'PF12796']",FEM1C
C1orf74,['PF14953'],C1orf74
MTX1,"['PF17171', 'PF10568']",MTX1
MPL,"['PF00041', 'PF09067']",MPL
AC058822.1,"['PF07714', 'PF05182']",AC058822.1
METTL26,['PF06080'],METTL26
B3GALT6,['PF01762'],B3GALT6
PLEKHG5,['PF00621'],PLEKHG5
PLCG2,"['PF00018', 'PF00017', 'PF16457', 'PF00388', 'PF00387', 'PF00168']",PLCG2
IRF6,"['PF00605', 'PF10401']",IRF6
ASB17,['PF07525'],ASB17
CCDC169-SOHLH2,"['PF00010', 'PF15372']",CCDC169-SOHLH2
TOR3A,['PF06309'],TOR3A
NPIPB9,['PF06409'],NPIPB9
MED25,"['PF11265', 'PF11232', 'PF11235', 'PF11244']",MED25
SOHLH2,['PF00010'],SOHLH2
SIN3B,"['PF08295', 'PF02671', 'PF16879']",SIN3B
UTP25,['PF06862'],UTP25
CACNG5,['PF00822'],CACNG5
TMBIM4,['PF01027'],TMBIM4
C19orf73,['PF17692'],C19orf73
CACNG4,['PF00822'],CACNG4
CACNG1,['PF13903'],CACNG1
LIN7B,"['PF02828', 'PF00595']",LIN7B
ST6GALNAC3,['PF00777'],ST6GALNAC3
SNX9,"['PF00787', 'PF00018', 'PF10456']",SNX9
TNFRSF13B,['PF09305'],TNFRSF13B
RTP4,['PF13695'],RTP4
ZDHHC17,"['PF01529', 'PF12796']",ZDHHC17
CCDC169,['PF15372'],CCDC169
SLC25A3,['PF00153'],SLC25A3
SST,['PF03002'],SST
DIP2B,"['PF06464', 'PF00501']",DIP2B
PDGFRA,"['PF07714', 'PF00047', 'PF07679']",PDGFRA
SYT14,['PF00168'],SYT14
TNFRSF25,"['PF00020', 'PF00531']",TNFRSF25
KLHL24,"['PF07707', 'PF00651', 'PF01344']",KLHL24
RBMS3,['PF00076'],RBMS3
KLC2,"['PF13424', 'PF13374']",KLC2
PACRG,['PF10274'],PACRG
SERTAD4,['PF06031'],SERTAD4
BCL6,"['PF00096', 'PF00651']",BCL6
SIPA1L1,"['PF02145', 'PF11881']",SIPA1L1
RTP2,['PF13695'],RTP2
ZCWPW2,"['PF07496', 'PF00855']",ZCWPW2
DYNC1LI2,['PF05783'],DYNC1LI2
TICAM2,['PF13676'],TICAM2
CSDE1,"['PF00313', 'PF12901']",CSDE1
DGKZ,"['PF00609', 'PF00130', 'PF00781', 'PF12796']",DGKZ
TMED7,['PF01105'],TMED7
GRK2,"['PF00169', 'PF00615', 'PF00069']",GRK2
CYLD,"['PF00443', 'PF16607', 'PF01302']",CYLD
ELOF1,['PF05129'],ELOF1
TMED7-TICAM2,"['PF01105', 'PF13676']",TMED7-TICAM2
GUCY1A1,"['PF00211', 'PF07701', 'PF07700']",GUCY1A1
FYTTD1,['PF07078'],FYTTD1
PDCD2,"['PF04194', 'PF01753']",PDCD2
PFDN4,['PF01920'],PFDN4
YEATS2,['PF03366'],YEATS2
SPIRE2,['PF16474'],SPIRE2
LMO2,['PF00412'],LMO2
ST6GALNAC5,['PF00777'],ST6GALNAC5
IL17C,['PF06083'],IL17C
PRKN,"['PF17976', 'PF01485', 'PF17978', 'PF00240']",PRKN
LNX1,"['PF13920', 'PF00595', 'PF00097']",LNX1
NOD2,"['PF00619', 'PF13516', 'PF17779', 'PF17776', 'PF05729']",NOD2
HHAT,['PF03062'],HHAT
GALNT3,"['PF00535', 'PF00652', 'PF02709']",GALNT3
RUBCN,"['PF02759', 'PF13901']",RUBCN
ZNF519,"['PF00096', 'PF01352']",ZNF519
DNAJC5B,['PF00226'],DNAJC5B
POU2F2,"['PF00157', 'PF00046']",POU2F2
IRAK3,"['PF00069', 'PF00531']",IRAK3
PPP1R3C,['PF03370'],PPP1R3C
PSMD10,"['PF13637', 'PF00023', 'PF13857', 'PF12796']",PSMD10
TIGD2,"['PF03221', 'PF04218', 'PF03184']",TIGD2
MCRIP2,['PF14799'],MCRIP2
GPX7,['PF00255'],GPX7
PNKP,"['PF13671', 'PF08645', 'PF17913']",PNKP
WFIKKN2,"['PF00014', 'PF01759', 'PF07679', 'PF00095']",WFIKKN2
DNPH1,['PF05014'],DNPH1
UMOD,"['PF07645', 'PF00100', 'PF12947']",UMOD
CASP1,"['PF00656', 'PF00619']",CASP1
KCNA5,"['PF02214', 'PF00520']",KCNA5
DDX20,"['PF00270', 'PF00271']",DDX20
TSFM,['PF00889'],TSFM
INKA2,['PF15342'],INKA2
AL590132.1,"['PF13426', 'PF00520']",AL590132.1
CDO1,['PF05995'],CDO1
AC092017.3,['PF13426'],AC092017.3
KIF4B,['PF00225'],KIF4B
EEF1AKMT3,['PF10294'],EEF1AKMT3
KHDRBS3,"['PF16568', 'PF16274', 'PF00013']",KHDRBS3
ZNF627,"['PF00096', 'PF01352']",ZNF627
METTL1,['PF02390'],METTL1
CBLC,"['PF02761', 'PF02762', 'PF14447', 'PF02262']",CBLC
LPP,['PF00412'],LPP
CAPRIN1,"['PF12287', 'PF18293']",CAPRIN1
IL4I1,['PF01593'],IL4I1
ACP5,['PF00149'],ACP5
TMIGD3,['PF00001'],TMIGD3
HELZ,"['PF00642', 'PF13087', 'PF13086', 'PF04851']",HELZ
CYP27B1,['PF00067'],CYP27B1
ATXN2L,"['PF14438', 'PF06741', 'PF07145']",ATXN2L
COMP,"['PF07645', 'PF11598', 'PF05735', 'PF02412']",COMP
AC025165.3,['PF10294'],AC025165.3
RAP1A,['PF00071'],RAP1A
GPRIN3,['PF15235'],GPRIN3
COA7,['PF08238'],COA7
ATF1,"['PF02173', 'PF00170']",ATF1
ADORA3,['PF00001'],ADORA3
SELENBP1,['PF05694'],SELENBP1
KIF15,"['PF15908', 'PF00225']",KIF15
ATP7A,"['PF00122', 'PF00702', 'PF00403']",ATP7A
TMPRSS12,['PF00089'],TMPRSS12
AVIL,"['PF00626', 'PF02209']",AVIL
KCNH1,"['PF13426', 'PF00027', 'PF00520']",KCNH1
ABL2,"['PF08919', 'PF07714', 'PF00018', 'PF00017']",ABL2
LAMC3,"['PF00053', 'PF00055', 'PF00052']",LAMC3
BMP4,"['PF00688', 'PF00019']",BMP4
HAP1,['PF04849'],HAP1
PGK1,['PF00162'],PGK1
TOB1,['PF07742'],TOB1
AC131160.1,['PF01694'],AC131160.1
CYBA,['PF05038'],CYBA
ERICH6,['PF14977'],ERICH6
PGAM4,['PF00300'],PGAM4
CACNA1A,"['PF16905', 'PF08763', 'PF00520']",CACNA1A
TUBG2,"['PF03953', 'PF00091']",TUBG2
TMEM184C,['PF03619'],TMEM184C
C10orf53,['PF15092'],C10orf53
CDC20,"['PF12894', 'PF00400']",CDC20
METTL7A,['PF08241'],METTL7A
PARL,['PF01694'],PARL
PRMT9,['PF06325'],PRMT9
FIP1L1,['PF05182'],FIP1L1
CILP,"['PF13330', 'PF00090', 'PF13927']",CILP
ARTN,['PF00019'],ARTN
CACNA1G,['PF00520'],CACNA1G
FAM167B,['PF11652'],FAM167B
GPR89A,"['PF12537', 'PF12430']",GPR89A
TPSG1,['PF00089'],TPSG1
RCOR3,"['PF01448', 'PF00249']",RCOR3
NUTM1,['PF12881'],NUTM1
MVD,"['PF18376', 'PF00288']",MVD
ATP6V1A,"['PF02874', 'PF16886', 'PF00006']",ATP6V1A
FIG4,['PF02383'],FIG4
GSX2,['PF00046'],GSX2
CDK11A,['PF00069'],CDK11A
SDR42E1,['PF01073'],SDR42E1
NCL,['PF00076'],NCL
CSRP2,['PF00412'],CSRP2
MAN1B1,['PF01532'],MAN1B1
TLCD3B,['PF03798'],TLCD3B
PCDH9,"['PF08374', 'PF08266', 'PF00028']",PCDH9
EIF2S3,"['PF03144', 'PF09173', 'PF00009']",EIF2S3
CLEC9A,['PF00059'],CLEC9A
HSD17B2,['PF00106'],HSD17B2
TERB1,['PF00249'],TERB1
OGDHL,"['PF00676', 'PF16870', 'PF02779', 'PF16078']",OGDHL
SIKE1,['PF05769'],SIKE1
SOAT1,['PF03062'],SOAT1
C16orf92,['PF17672'],C16orf92
CLEC1A,['PF00059'],CLEC1A
SIRT4,['PF02146'],SIRT4
HECW2,"['PF00397', 'PF18436', 'PF16562', 'PF00168', 'PF00632']",HECW2
SNAI3,['PF00096'],SNAI3
HIGD1C,['PF04588'],HIGD1C
CHIC2,['PF10256'],CHIC2
TRIM35,"['PF13920', 'PF13765', 'PF00622', 'PF00643']",TRIM35
FGFR1,"['PF00047', 'PF07714', 'PF18123', 'PF07679']",FGFR1
E2F7,['PF02319'],E2F7
MC1R,['PF00001'],MC1R
TASP1,['PF01112'],TASP1
PLA2G1B,['PF00068'],PLA2G1B
ARFGAP3,['PF01412'],ARFGAP3
SLC35E2A,['PF03151'],SLC35E2A
GUCY2D,"['PF07714', 'PF00211', 'PF07701', 'PF01094']",GUCY2D
MPHOSPH6,['PF10175'],MPHOSPH6
TLR3,"['PF17968', 'PF13306', 'PF13516', 'PF01582', 'PF13855']",TLR3
AC092143.1,"['PF03953', 'PF00001', 'PF00091']",AC092143.1
NTF3,['PF00243'],NTF3
TUBB3,"['PF03953', 'PF00091']",TUBB3
SIAH2,['PF03145'],SIAH2
DGAT2,['PF03982'],DGAT2
MINDY4B,['PF13898'],MINDY4B
ELOVL1,['PF01151'],ELOVL1
TRAF5,"['PF02176', 'PF00097']",TRAF5
PSMB4,['PF00227'],PSMB4
FAM126A,['PF09790'],FAM126A
KCND3,"['PF11879', 'PF02214', 'PF00520', 'PF11601']",KCND3
PARP9,['PF01661'],PARP9
PIH1D2,"['PF08190', 'PF18201']",PIH1D2
LYN,"['PF07714', 'PF00018', 'PF00017']",LYN
MYADML2,['PF01284'],MYADML2
PARP16,"['PF18084', 'PF00644']",PARP16
DTX3L,"['PF18102', 'PF13923']",DTX3L
TIMM8B,['PF02953'],TIMM8B
KAT2B,"['PF06466', 'PF00583', 'PF00439']",KAT2B
ZFX,"['PF00096', 'PF13909', 'PF04704']",ZFX
CACNA1H,['PF00520'],CACNA1H
SH3GL2,"['PF03114', 'PF07653']",SH3GL2
CTTNBP2NL,['PF09727'],CTTNBP2NL
PIM1,['PF00069'],PIM1
PACSIN2,"['PF00018', 'PF00611']",PACSIN2
NKAPD1,['PF15692'],NKAPD1
TTC21B,"['PF13181', 'PF14559']",TTC21B
PIGK,['PF01650'],PIGK
RD3,['PF14473'],RD3
SLC30A1,['PF01545'],SLC30A1
TCF25,['PF04910'],TCF25
MED12,"['PF09497', 'PF12145', 'PF12144']",MED12
TPSB2,['PF00089'],TPSB2
PIGO,['PF01663'],PIGO
TECRL,['PF02544'],TECRL
IPO13,"['PF18786', 'PF18806', 'PF03810', 'PF08389', 'PF18773']",IPO13
DLAT,"['PF02817', 'PF00364', 'PF00198']",DLAT
JAK2,"['PF00017', 'PF18379', 'PF17887', 'PF07714', 'PF18377']",JAK2
HACE1,"['PF13637', 'PF00632', 'PF12796']",HACE1
PSMD12,"['PF18098', 'PF01399']",PSMD12
LETM2,['PF07766'],LETM2
LPCAT4,['PF01553'],LPCAT4
BCAM,"['PF08205', 'PF07686', 'PF07679', 'PF13927', 'PF13895']",BCAM
AXDND1,['PF10211'],AXDND1
NEK2,['PF00069'],NEK2
LRCH3,"['PF13855', 'PF00307']",LRCH3
INSL6,['PF00049'],INSL6
PPFIA3,"['PF00536', 'PF07647']",PPFIA3
ESYT2,"['PF00168', 'PF17047']",ESYT2
ECHDC2,['PF00378'],ECHDC2
F2RL3,['PF00001'],F2RL3
NPHS2,['PF01145'],NPHS2
LPGAT1,"['PF01553', 'PF16076']",LPGAT1
ATP6V0B,['PF00137'],ATP6V0B
PLEKHH3,"['PF00373', 'PF00784', 'PF00788']",PLEKHH3
MSI1,['PF00076'],MSI1
PYCR1,"['PF14748', 'PF03807']",PYCR1
LGALS9C,['PF00337'],LGALS9C
AK5,['PF00406'],AK5
PDILT,"['PF00085', 'PF13848']",PDILT
HELB,"['PF13604', 'PF13538']",HELB
SNCA,['PF01387'],SNCA
CPAMD8,"['PF01835', 'PF07678', 'PF07677', 'PF17791', 'PF12248', 'PF07703', 'PF07648', 'PF00207', 'PF17789']",CPAMD8
AGAP3,"['PF00169', 'PF00071', 'PF01412', 'PF12796']",AGAP3
ZNF823,"['PF00096', 'PF01352', 'PF13912']",ZNF823
UNC5D,"['PF00090', 'PF00531', 'PF00791', 'PF07679', 'PF17217']",UNC5D
SRSF9,['PF00076'],SRSF9
UGP2,['PF01704'],UGP2
WNT16,['PF00110'],WNT16
GBE1,"['PF00128', 'PF02806', 'PF02922']",GBE1
AL021546.1,['PF02686'],AL021546.1
DPP7,['PF05577'],DPP7
TRIAP1,['PF05254'],TRIAP1
DPH2,['PF01866'],DPH2
COX6A1,['PF02046'],COX6A1
NAV3,"['PF00307', 'PF00004']",NAV3
ADGRL1,"['PF02793', 'PF01825', 'PF02354', 'PF16489', 'PF02191', 'PF02140', 'PF00002']",ADGRL1
GATC,['PF02686'],GATC
GRAMD1C,"['PF16016', 'PF02893']",GRAMD1C
PITPNC1,['PF02121'],PITPNC1
ABCC5,"['PF00005', 'PF00664']",ABCC5
RPS20,['PF00338'],RPS20
RNF166,"['PF13923', 'PF18574', 'PF05605']",RNF166
KLK13,['PF00089'],KLK13
KLK14,['PF00089'],KLK14
NOL11,['PF08168'],NOL11
CTU1,"['PF16503', 'PF01171']",CTU1
TOMM40,['PF01459'],TOMM40
PRLR,['PF09067'],PRLR
SHROOM3,"['PF08687', 'PF08688', 'PF00595']",SHROOM3
CYTIP,"['PF17820', 'PF00595']",CYTIP
MITF,"['PF11851', 'PF00010', 'PF15951']",MITF
TBC1D22B,['PF00566'],TBC1D22B
NECTIN2,"['PF08205', 'PF07686']",NECTIN2
AL353579.1,['PF15049'],AL353579.1
TDRD5,"['PF12872', 'PF00567']",TDRD5
TMEM217,['PF15049'],TMEM217
CLEC7A,['PF00059'],CLEC7A
RASA1,"['PF00169', 'PF00018', 'PF00017', 'PF00616', 'PF00168']",RASA1
SYCP1,['PF05483'],SYCP1
GNAL,['PF00503'],GNAL
GRIP1,"['PF17820', 'PF00595']",GRIP1
SSPN,['PF04103'],SSPN
MED31,['PF05669'],MED31
CNTNAP1,"['PF00754', 'PF02210']",CNTNAP1
CDH13,"['PF00028', 'PF08758']",CDH13
TSHB,['PF00007'],TSHB
CCR10,['PF00001'],CCR10
DYNLL1,['PF01221'],DYNLL1
TXNDC17,['PF06110'],TXNDC17
CHMP1B,['PF03357'],CHMP1B
MTHFD1L,"['PF00763', 'PF01268', 'PF02882']",MTHFD1L
AC093512.2,['PF00274'],AC093512.2
ACSM5,"['PF13193', 'PF00501']",ACSM5
DTL,['PF00400'],DTL
FAM163A,['PF15069'],FAM163A
KIAA0753,['PF15718'],KIAA0753
MED8,['PF10232'],MED8
P2RY14,['PF00001'],P2RY14
TPRG1,['PF12456'],TPRG1
IGSF10,"['PF13855', 'PF07679', 'PF13927']",IGSF10
MTMR2,"['PF06602', 'PF02893']",MTMR2
ITPR2,"['PF01365', 'PF08709', 'PF02815', 'PF08454', 'PF00520']",ITPR2
TOR1AIP2,['PF05609'],TOR1AIP2
CCNH,"['PF00134', 'PF16899']",CCNH
HRC,['PF10529'],HRC
GPR171,['PF00001'],GPR171
GPR87,['PF00001'],GPR87
BHLHE41,"['PF00010', 'PF07527']",BHLHE41
ALDOA,['PF00274'],ALDOA
ANO2,"['PF04547', 'PF16178']",ANO2
PDZK1,"['PF17820', 'PF00595']",PDZK1
ALOX15B,"['PF01477', 'PF00305']",ALOX15B
PPP2R5A,['PF01603'],PPP2R5A
UVRAG,['PF10186'],UVRAG
MED12L,"['PF09497', 'PF12145', 'PF12144']",MED12L
HJURP,"['PF12346', 'PF12347', 'PF10384']",HJURP
PIEZO1,"['PF15917', 'PF12166']",PIEZO1
PHF11,['PF13771'],PHF11
ARCN1,"['PF00928', 'PF01217']",ARCN1
PACC1,['PF15122'],PACC1
RNF115,['PF13639'],RNF115
CAP2,"['PF01213', 'PF08603']",CAP2
SURF4,"['PF02077', 'PF05477']",SURF4
ATP5MG,['PF04718'],ATP5MG
NENF,['PF00173'],NENF
POLR3C,"['PF08221', 'PF05645']",POLR3C
P2RY12,['PF00001'],P2RY12
IGDCC3,"['PF00041', 'PF07679', 'PF13927']",IGDCC3
TTC36,['PF13424'],TTC36
P2RY13,['PF00001'],P2RY13
TOR1AIP1,['PF05609'],TOR1AIP1
ESF1,['PF08159'],ESF1
ADAM8,"['PF01562', 'PF00200', 'PF08516', 'PF01421']",ADAM8
NUDT17,['PF00293'],NUDT17
CTU2,['PF10288'],CTU2
SIGLEC9,['PF07686'],SIGLEC9
ATF3,"['PF07716', 'PF00170']",ATF3
UBE4A,"['PF10408', 'PF04564']",UBE4A
DOCK1,"['PF16172', 'PF06920', 'PF14429', 'PF14604']",DOCK1
NIFK,"['PF00076', 'PF12196']",NIFK
MPPE1,['PF00149'],MPPE1
SOWAHB,['PF12796'],SOWAHB
AC118549.1,"['PF00569', 'PF00249']",AC118549.1
INSYN2A,['PF15265'],INSYN2A
PARP15,"['PF00644', 'PF01661']",PARP15
PIAS3,"['PF14324', 'PF02891']",PIAS3
FAM71A,['PF12480'],FAM71A
POGZ,"['PF03221', 'PF03184']",POGZ
FAM149A,['PF12516'],FAM149A
CTDSP2,['PF03031'],CTDSP2
SPART,['PF06911'],SPART
BATF3,['PF00170'],BATF3
SCP2,"['PF02803', 'PF02036', 'PF00108']",SCP2
ANKRD35,"['PF00023', 'PF12796']",ANKRD35
GOLGA8A,['PF15070'],GOLGA8A
PARG,['PF05028'],PARG
NSL1,['PF08641'],NSL1
SCN9A,"['PF06512', 'PF11933', 'PF00520']",SCN9A
KAT8,"['PF01853', 'PF17772', 'PF11717']",KAT8
TSPAN2,['PF00335'],TSPAN2
CARD17,['PF00619'],CARD17
SNF8,['PF04157'],SNF8
IFT46,['PF12317'],IFT46
TIMM23B,['PF02466'],TIMM23B
APAF1,"['PF17908', 'PF00619', 'PF00931', 'PF00400']",APAF1
NOTUM,['PF03283'],NOTUM
CARD16,['PF00619'],CARD16
LCK,"['PF07714', 'PF00018', 'PF00017']",LCK
TMEM52B,['PF14979'],TMEM52B
ABLIM1,"['PF02209', 'PF16182', 'PF00412']",ABLIM1
FCHO1,"['PF12220', 'PF10291', 'PF00611']",FCHO1
AGAP6,"['PF12796', 'PF01412']",AGAP6
RNF10,['PF13639'],RNF10
NGF,['PF00243'],NGF
SALL1,"['PF00096', 'PF12874']",SALL1
BEX4,['PF04538'],BEX4
OLR1,"['PF00059', 'PF08391']",OLR1
TCF4,['PF00010'],TCF4
CAPZA1,['PF01267'],CAPZA1
RPL35A,['PF01247'],RPL35A
WNT2B,['PF00110'],WNT2B
ARHGAP10,"['PF00169', 'PF00620', 'PF16746', 'PF14604']",ARHGAP10
COQ5,['PF01209'],COQ5
APTX,"['PF11969', 'PF16278', 'PF17913']",APTX
RERGL,['PF00071'],RERGL
VANGL1,['PF06638'],VANGL1
TMEM25,['PF08205'],TMEM25
IQCG,['PF00612'],IQCG
QTRT2,['PF01702'],QTRT2
SCN1A,"['PF06512', 'PF00520', 'PF11933']",SCN1A
TATDN3,['PF01026'],TATDN3
NARF,"['PF02906', 'PF02256']",NARF
ACVR1C,"['PF07714', 'PF01064', 'PF08515']",ACVR1C
PIK3C2G,"['PF00794', 'PF00787', 'PF00454', 'PF00792', 'PF00168', 'PF00613']",PIK3C2G
ZNF441,"['PF00096', 'PF01352', 'PF13894', 'PF13912']",ZNF441
CASQ2,['PF01216'],CASQ2
STOML2,"['PF16200', 'PF01145']",STOML2
PMP22,['PF00822'],PMP22
GBX1,['PF00046'],GBX1
NHLH2,['PF00010'],NHLH2
MOS,['PF00069'],MOS
ZNF491,['PF00096'],ZNF491
CGN,['PF01576'],CGN
IGDCC4,"['PF00041', 'PF07679', 'PF13927']",IGDCC4
ASB10,"['PF07525', 'PF12796']",ASB10
PAX8,"['PF12403', 'PF00292']",PAX8
CDKN3,['PF05706'],CDKN3
CEP350,"['PF14309', 'PF01302']",CEP350
MED17,['PF10156'],MED17
SLC22A15,"['PF00083', 'PF07690']",SLC22A15
FLVCR1,['PF07690'],FLVCR1
PAFAH1B2,['PF13472'],PAFAH1B2
ADAMTS13,"['PF00090', 'PF17771', 'PF13582', 'PF01421']",ADAMTS13
ZDHHC23,['PF01529'],ZDHHC23
ABRACL,['PF14705'],ABRACL
AP001273.2,"['PF10156', 'PF08925']",AP001273.2
JUP,['PF00514'],JUP
CDT1,"['PF08839', 'PF16679']",CDT1
POP5,['PF01900'],POP5
PARP14,"['PF00644', 'PF01661']",PARP14
PLAG1,"['PF00096', 'PF13912']",PLAG1
ANKS1B,"['PF00536', 'PF07647', 'PF00640', 'PF12796']",ANKS1B
MAB21L3,['PF03281'],MAB21L3
VASH2,['PF14822'],VASH2
SCN11A,"['PF06512', 'PF00520']",SCN11A
ITGA10,"['PF00092', 'PF08441', 'PF01839']",ITGA10
REXO4,['PF00929'],REXO4
GIP,['PF00123'],GIP
ST7L,['PF04184'],ST7L
OR11H1,['PF13853'],OR11H1
SYT1,['PF00168'],SYT1
TCEAL8,['PF04538'],TCEAL8
STKLD1,['PF00069'],STKLD1
TXLNB,['PF09728'],TXLNB
LIMK1,"['PF07714', 'PF00412', 'PF00595']",LIMK1
FAM135B,"['PF05057', 'PF12394']",FAM135B
LRIG3,"['PF13855', 'PF07679', 'PF13927']",LRIG3
SPAG9,"['PF16471', 'PF09744']",SPAG9
ATP7B,"['PF00702', 'PF00122', 'PF00403']",ATP7B
ANGEL2,['PF03372'],ANGEL2
HECA,"['PF15353', 'PF16002']",HECA
IGF2BP1,"['PF00076', 'PF00013']",IGF2BP1
CITED2,['PF04487'],CITED2
NMUR1,['PF00001'],NMUR1
SIGLEC7,"['PF13895', 'PF07686']",SIGLEC7
QSOX1,"['PF00085', 'PF18108', 'PF18371', 'PF04777']",QSOX1
TGM4,"['PF00868', 'PF01841', 'PF00927']",TGM4
ZNF440,"['PF00096', 'PF01352', 'PF13894']",ZNF440
C11orf54,['PF08925'],C11orf54
RBM8A,['PF00076'],RBM8A
HSPBAP1,['PF13621'],HSPBAP1
DEDD2,['PF01335'],DEDD2
SORBS3,"['PF00018', 'PF02208', 'PF14604']",SORBS3
FAM71C,['PF12480'],FAM71C
ANKRD34A,['PF12796'],ANKRD34A
NAE1,['PF00899'],NAE1
HTR3D,"['PF02931', 'PF02932']",HTR3D
KMT2A,"['PF00628', 'PF05965', 'PF05964', 'PF13771', 'PF02008', 'PF00856']",KMT2A
LIX1L,['PF14954'],LIX1L
SET,['PF00956'],SET
UBE2J2,['PF00179'],UBE2J2
TEX44,['PF15727'],TEX44
PEX11B,['PF05648'],PEX11B
PRSS8,['PF00089'],PRSS8
ASPSCR1,"['PF00789', 'PF11470']",ASPSCR1
HSBP1,['PF06825'],HSBP1
POLR3GL,['PF11705'],POLR3GL
CABP1,['PF13499'],CABP1
AP001267.5,"['PF02008', 'PF04718']",AP001267.5
EPB41L3,"['PF09380', 'PF04382', 'PF00373', 'PF09379', 'PF05902', 'PF08736']",EPB41L3
HTR3C,"['PF02931', 'PF02932']",HTR3C
CDH2,"['PF00028', 'PF08758', 'PF01049']",CDH2
VIPR2,"['PF02793', 'PF00002']",VIPR2
CEP295,['PF15309'],CEP295
TEDC2,['PF15764'],TEDC2
POTEC,['PF12796'],POTEC
ZNF439,"['PF00096', 'PF01352', 'PF13912']",ZNF439
CA7,['PF00194'],CA7
PPP3CC,['PF00149'],PPP3CC
LHX4,"['PF00046', 'PF00412']",LHX4
CNTN1,"['PF00041', 'PF07679', 'PF13927']",CNTN1
IDO1,['PF01231'],IDO1
PTMA,['PF03247'],PTMA
RPS6KC1,"['PF00787', 'PF04212', 'PF00069']",RPS6KC1
HTR3E,"['PF02931', 'PF02932']",HTR3E
ACBD6,"['PF00887', 'PF12796']",ACBD6
IQCA1L,"['PF00612', 'PF00004']",IQCA1L
MAST2,"['PF17820', 'PF08926', 'PF00069']",MAST2
MLEC,['PF11721'],MLEC
IDO2,['PF01231'],IDO2
COL3A1,"['PF00093', 'PF01391', 'PF01410']",COL3A1
APRT,['PF00156'],APRT
AC021097.2,['PF00125'],AC021097.2
TAF1D,['PF15333'],TAF1D
EPHA5,"['PF00041', 'PF00536', 'PF14575', 'PF07714', 'PF01404']",EPHA5
CARD18,['PF00619'],CARD18
UNC119B,['PF05351'],UNC119B
MLYCD,"['PF17408', 'PF05292']",MLYCD
ABCF2,"['PF12848', 'PF00005']",ABCF2
PROX1,['PF05044'],PROX1
ZNF69,"['PF00096', 'PF01352', 'PF13894']",ZNF69
VWF,"['PF00093', 'PF00094', 'PF01826', 'PF16164', 'PF00092', 'PF08742']",VWF
ACADS,"['PF02771', 'PF02770', 'PF00441']",ACADS
ATP1A1,"['PF00690', 'PF00122', 'PF00702', 'PF13246', 'PF00689']",ATP1A1
TEPSIN,['PF01417'],TEPSIN
BZW1,['PF02020'],BZW1
CYP4F12,['PF00067'],CYP4F12
PLCD1,"['PF00168', 'PF09279', 'PF00387', 'PF00388']",PLCD1
CROCC,['PF15035'],CROCC
YBX2,['PF00313'],YBX2
ZNF526,"['PF00096', 'PF13894', 'PF13912']",ZNF526
FDPS,['PF00348'],FDPS
MCM2,"['PF14551', 'PF17855', 'PF12619', 'PF17207', 'PF00493']",MCM2
MCHR1,['PF00001'],MCHR1
MAML2,['PF09596'],MAML2
NECAB2,"['PF03992', 'PF13833']",NECAB2
SLC2A4,['PF00083'],SLC2A4
AC006486.1,['PF00069'],AC006486.1
IDNK,['PF01202'],IDNK
ERF,['PF00178'],ERF
NUP214,"['PF18617', 'PF12894']",NUP214
XPR1,"['PF03124', 'PF03105']",XPR1
CLASP1,['PF12348'],CLASP1
CCDC117,['PF15810'],CCDC117
GSK3A,['PF00069'],GSK3A
RAB1B,['PF00071'],RAB1B
CD33,"['PF07686', 'PF00047']",CD33
TRAPPC2L,['PF04628'],TRAPPC2L
NTN3,"['PF00053', 'PF01759', 'PF00055']",NTN3
