Genes,Protein_Mass (Daltons),Norm_Symbol
MFAP3,40165,MFAP3
CGREF1,33456,CGREF1
PIGV,55713,PIGV
VPS26B,39155,VPS26B
KIAA1210,187021,KIAA1210
CD8A,25729,CD8A
PTPRC,147486,PTPRC
WRNIP1,72133,WRNIP1
EXT2,82255,EXT2
TAL2,12291,TAL2
FKBP2,15649,FKBP2
ARHGEF3,59783,ARHGEF3
DCBLD1,77920,DCBLD1
WIPF1,51258,WIPF1
ECEL1,87791,ECEL1
VPS26A,38170,VPS26A
KIAA1257,46740,KIAA1257
GRTP1,38554,GRTP1
NELFB,65697,NELFB
GSTM4,25561,GSTM4
AFAP1L1,86432,AFAP1L1
THBS3,104201,THBS3
DNAJB7,35434,DNAJB7
REM2,37139,REM2
SMIM22,9249,SMIM22
KRTAP15-1,14979,KRTAP15-1
TNS2,152580,TNS2
MAEA,45287,MAEA
OCA2,92850,OCA2
PHKG1,45024,PHKG1
NPR2,117022,NPR2
RASGRP1,90402,RASGRP1
C2orf78,100170,C2orf78
CDC14A,66574,CDC14A
ZHX1-C8orf76,33285,ZHX1-C8orf76
ZNF611,81449,ZNF611
C1orf159,40283,C1orf159
NME5,24236,NME5
MST1,80320,MST1
STK16,34656,STK16
PBX1,46626,PBX1
ZBED1,78156,ZBED1
CRYBA1,25150,CRYBA1
PLXNB2,205127,PLXNB2
ARID1A,242045,ARID1A
CXADR,40030,CXADR
CENPB,65171,CENPB
HAT1,49513,HAT1
TMEM169,33611,TMEM169
CRABP2,15693,CRABP2
DBR1,61555,DBR1
ZNF184,86174,ZNF184
DTHD1,88329,DTHD1
SCYL1,89631,SCYL1
SPINK9,9756,SPINK9
POTEE,121363,POTEE
GTF3C1,238875,GTF3C1
RIC8A,59710,RIC8A
CNDP1,56706,CNDP1
SCPEP1,50831,SCPEP1
RNF149,43165,RNF149
RAMP3,16518,RAMP3
UBE2T,22521,UBE2T
MFSD5,49765,MFSD5
CTU1,36450,CTU1
PGAM2,28766,PGAM2
UFSP1,15060,UFSP1
CBX3,20811,CBX3
FRS2,57029,FRS2
UBOX5,58966,UBOX5
PRKAA2,62320,PRKAA2
IQCJ,18226,IQCJ
KRT73,58923,KRT73
TOP2B,183267,TOP2B
NUDT8,25370,NUDT8
BTNL8,56748,BTNL8
CMPK2,49448,CMPK2
TMEM203,15760,TMEM203
MGAT4D,43743,MGAT4D
PDK4,46469,PDK4
SMPD4,97810,SMPD4
OR11H2,36531,OR11H2
MOXD1,69652,MOXD1
PML,97551,PML
PABPC1,70671,PABPC1
MIA3,213702,MIA3
SLC25A26,29354,SLC25A26
TBC1D10A,57118,TBC1D10A
PIM1,35686,PIM1
PNPLA8,88477,PNPLA8
FRK,58254,FRK
FGF16,23759,FGF16
MAL,16714,MAL
RAP1GAP,73361,RAP1GAP
CAPN9,79097,CAPN9
SAG,45120,SAG
SUN3,40503,SUN3
TMEM63C,93317,TMEM63C
FMNL1,121854,FMNL1
ZNF416,67188,ZNF416
MAPK12,41940,MAPK12
DHPS,40971,DHPS
ZGRF1,236602,ZGRF1
A4GALT,40499,A4GALT
CYP2C9,55628,CYP2C9
GAREM2,92882,GAREM2
PMEPA1,31609,PMEPA1
CD44,81538,CD44
COG5,92743,COG5
MATN1,53701,MATN1
TSSK6,30331,TSSK6
IGKC,11765,IGKC
OR52B2,36185,OR52B2
VEGFA,27042,VEGFA
HSPB9,17486,HSPB9
ZNF43,94124,ZNF43
MRGPRX1,36250,MRGPRX1
PABPC5,43331,PABPC5
KLHL3,64970,KLHL3
SMC6,126326,SMC6
LAMTOR4,10741,LAMTOR4
DNTTIP2,84469,DNTTIP2
CAV2,18291,CAV2
KBTBD8,68823,KBTBD8
RIOK3,59093,RIOK3
RBM25,100185,RBM25
TMEM42,16991,TMEM42
GAPT,17883,GAPT
USP17L12,59687,USP17L12
PPM1E,83952,PPM1E
NDUFB9,21831,NDUFB9
NONO,54232,NONO
RAB14,23897,RAB14
DNAJC13,254415,DNAJC13
KRTAP22-1,5275,KRTAP22-1
OR7E24,38279,OR7E24
GLRX,11776,GLRX
FERMT2,77861,FERMT2
HIST3H2BB,13908,HIST3H2BB
RBPMS2,22497,RBPMS2
SAXO1,54621,SAXO1
TEX36,21545,TEX36
ZNF638,220625,ZNF638
ZNF554,60582,ZNF554
PXDN,165275,PXDN
SIL1,52085,SIL1
ZDHHC4,39787,ZDHHC4
C1orf68,26238,C1orf68
CCR6,42494,CCR6
NUDT1,22520,NUDT1
COPS6,36163,COPS6
IGFBP3,31674,IGFBP3
EPC1,93463,EPC1
GPAT4,52071,GPAT4
NSUN7,81039,NSUN7
PRICKLE4,37551,PRICKLE4
TACC3,90360,TACC3
FAM177B,18145,FAM177B
ASXL1,165432,ASXL1
PGGHG,80655,PGGHG
GLUD1,61398,GLUD1
ATP5O,23277,ATP5O
C11orf95,73197,C11orf95
SPPL3,42261,SPPL3
CLCN3,90966,CLCN3
ATRN,158537,ATRN
HOGA1,35249,HOGA1
PCDHB14,87548,PCDHB14
OR1E1,35264,OR1E1
PCDHA1,102952,PCDHA1
SNX25,97945,SNX25
FAM71F1,38946,FAM71F1
ZIK1,54786,ZIK1
IQCM,59586,IQCM
RGS14,61447,RGS14
FEV,25030,FEV
NHP2,17201,NHP2
PI4K2A,54022,PI4K2A
PADI2,75564,PADI2
KRT7,51386,KRT7
AWAT2,38094,AWAT2
OR8U8,36334,OR8U8
ADAMTS16,136203,ADAMTS16
DHFR,21453,DHFR
CCL1,10992,CCL1
EIF2B5,80380,EIF2B5
STRADA,48369,STRADA
ZXDB,84792,ZXDB
CD96,65634,CD96
RUFY3,52965,RUFY3
TRPC4,112101,TRPC4
IARS,144498,IARS
OR8D1,34445,OR8D1
ZDHHC16,43633,ZDHHC16
SKIV2L,137755,SKIV2L
SLC35B4,37424,SLC35B4
C5orf52,17908,C5orf52
PLCZ1,70411,PLCZ1
MAPKAPK5,54220,MAPKAPK5
MGLL,33261,MGLL
CFD,27033,CFD
FKBP4,51805,FKBP4
HSD17B10,26923,HSD17B10
SOX7,42197,SOX7
RPL4,47697,RPL4
BBS5,38755,BBS5
NRBP1,59845,NRBP1
POLR3K,12336,POLR3K
GOLGA8J,71775,GOLGA8J
GPR171,36754,GPR171
TMEM236,39663,TMEM236
CACNA1S,212350,CACNA1S
LIPT2,25195,LIPT2
CA13,29443,CA13
FAM169A,74955,FAM169A
KRT78,56866,KRT78
CLCN5,83147,CLCN5
C8B,67047,C8B
FBXO36,22105,FBXO36
IST1,39751,IST1
NVL,95051,NVL
LCN6,18045,LCN6
PATL2,61464,PATL2
LYSMD2,23463,LYSMD2
KCNAB3,43670,KCNAB3
OR10R2,37486,OR10R2
ENPEP,109244,ENPEP
ZCRB1,24592,ZCRB1
TRMT5,58246,TRMT5
MAU2,69082,MAU2
FANK1,38341,FANK1
TTC31,57105,TTC31
TSPO2,19129,TSPO2
GRM4,101868,GRM4
CALHM1,38264,CALHM1
FBXL12,37026,FBXL12
TMEM17,23046,TMEM17
NSMCE1,30855,NSMCE1
PCDHGB7,100974,PCDHGB7
KERA,40509,KERA
SIM2,73219,SIM2
BMP5,51737,BMP5
CSDC2,16786,CSDC2
NINL,156344,NINL
OR2B6,35414,OR2B6
OR1D2,35240,OR1D2
LY96,18546,LY96
TLE3,83417,TLE3
METTL16,63621,METTL16
CDCA8,31323,CDCA8
CDKL1,41803,CDKL1
EIF3H,39930,EIF3H
RHPN1,73590,RHPN1
PREPL,83927,PREPL
MCUB,39082,MCUB
SPESP1,38931,SPESP1
PATE3,11747,PATE3
PTRH1,22937,PTRH1
STPG3,42496,STPG3
RABEP1,99290,RABEP1
VSTM2L,22349,VSTM2L
SLC22A5,62752,SLC22A5
NPAP1,120954,NPAP1
ZNF91,137217,ZNF91
TYROBP,12179,TYROBP
NBEAL2,302517,NBEAL2
SIN3A,145175,SIN3A
SCP2,58994,SCP2
ARRB2,46106,ARRB2
RPS6KA3,83736,RPS6KA3
POLE,261518,POLE
EVC2,147948,EVC2
HSD17B4,79686,HSD17B4
NPIPB15,51267,NPIPB15
RBM4B,40150,RBM4B
OR51Q1,35747,OR51Q1
TLR3,103829,TLR3
RABGGTA,65072,RABGGTA
PCDHGA5,100935,PCDHGA5
PRR5,42753,PRR5
OTUB1,31284,OTUB1
TSPAN33,31538,TSPAN33
FILIP1,138109,FILIP1
SLC35A1,36779,SLC35A1
ABHD17B,32215,ABHD17B
GPM6A,31210,GPM6A
AGL,174764,AGL
PIM2,34190,PIM2
ZBTB42,46491,ZBTB42
GBP3,68114,GBP3
LACRT,14246,LACRT
ARIH2OS,30424,ARIH2OS
COL4A4,164038,COL4A4
HSD17B1,34950,HSD17B1
RGL2,83549,RGL2
SLC43A3,54529,SLC43A3
CSTF2,60959,CSTF2
LHFPL1,23777,LHFPL1
CCDC197,16081,CCDC197
RBM14,69492,RBM14
SMIM5,8540,SMIM5
NFIL3,51472,NFIL3
FAM13B,104543,FAM13B
SLC25A33,35375,SLC25A33
SOX9,56137,SOX9
CALHM3,38496,CALHM3
TEX261,22538,TEX261
NCCRP1,30847,NCCRP1
C11orf96,46114,C11orf96
ZC3H10,46052,ZC3H10
SLC17A9,47482,SLC17A9
ZNF114,47747,ZNF114
ZNF813,71721,ZNF813
NR2E3,44692,NR2E3
SBK3,38488,SBK3
TP53TG5,34019,TP53TG5
SPX,13302,SPX
LRRIQ4,63977,LRRIQ4
RBM15,107189,RBM15
FUT5,43008,FUT5
OR5B2,34568,OR5B2
GNG2,7850,GNG2
OR6C2,35178,OR6C2
PLAU,48507,PLAU
SHBG,43779,SHBG
AURKA,45809,AURKA
CHEK1,54434,CHEK1
TAAR1,39092,TAAR1
DEFB1,7420,DEFB1
TMEM102,54175,TMEM102
MAGED1,86161,MAGED1
TOPAZ1,190927,TOPAZ1
CRCT1,9736,CRCT1
RPL8,28025,RPL8
SLIRP,12349,SLIRP
HIPK2,130966,HIPK2
PSD4,116249,PSD4
CNBD2,67512,CNBD2
PGA5,41993,PGA5
LRRC72,33656,LRRC72
GAL3ST1,48764,GAL3ST1
LCE6A,9022,LCE6A
OR6C4,35010,OR6C4
MVK,42451,MVK
TASP1,44455,TASP1
CNOT3,81872,CNOT3
COL21A1,99369,COL21A1
ANKLE2,104114,ANKLE2
NRG1,70392,NRG1
C11orf97,13914,C11orf97
RPS12,14515,RPS12
CCDC138,76219,CCDC138
GANC,104334,GANC
ANO1,114078,ANO1
LRP6,180429,LRP6
SEMA3G,86701,SEMA3G
GOT2,47518,GOT2
ZMYM4,172788,ZMYM4
PIEZO2,318064,PIEZO2
SETSIP,34882,SETSIP
DNAJC19,12499,DNAJC19
MYEOV,33556,MYEOV
PRC1,71607,PRC1
ZNF629,96620,ZNF629
CD79B,26048,CD79B
OR2T29,35595,OR2T29
TSSK4,37454,TSSK4
UGT8,61438,UGT8
OR1L8,35083,OR1L8
SRRM3,65249,SRRM3
ABCA13,576159,ABCA13
ISOC2,22337,ISOC2
R3HCC1L,87883,R3HCC1L
ADPRHL1,40105,ADPRHL1
DEF6,73910,DEF6
SCN1B,24707,SCN1B
AGFG2,48963,AGFG2
KBTBD11,65720,KBTBD11
SUSD6,32090,SUSD6
RND3,27368,RND3
GNL1,68661,GNL1
ONECUT2,54303,ONECUT2
TAF7,40259,TAF7
TCF23,23309,TCF23
TNIP2,48700,TNIP2
DAZ2,63111,DAZ2
USH2A,575600,USH2A
TTC32,17296,TTC32
ZMPSTE24,54813,ZMPSTE24
THAP7,34414,THAP7
CMPK1,22222,CMPK1
TEX30,25585,TEX30
KRTAP22-2,5218,KRTAP22-2
ADGRL4,77811,ADGRL4
ZC3H7B,109858,ZC3H7B
ZFP37,71209,ZFP37
FAM76B,38708,FAM76B
RPP21,17570,RPP21
SEC11A,20625,SEC11A
CD72,40220,CD72
AHNAK2,616629,AHNAK2
HRH2,40098,HRH2
OGFOD1,63246,OGFOD1
MITD1,29314,MITD1
ZNF432,74836,ZNF432
HPGDS,23344,HPGDS
CTSF,53366,CTSF
OAF,30688,OAF
C1orf158,23067,C1orf158
SPATA31D4,102306,SPATA31D4
UPP1,33934,UPP1
KHDC4,64845,KHDC4
TMEM140,20419,TMEM140
BCL11B,95519,BCL11B
OR13F1,35646,OR13F1
UPP2,35527,UPP2
BMP7,49313,BMP7
PRTG,127076,PRTG
CTAGE4,87989,CTAGE4
ARL13B,48643,ARL13B
MALT1,92272,MALT1
NXF1,70182,NXF1
CELF6,50477,CELF6
HTRA3,48608,HTRA3
DDX19A,53975,DDX19A
PFDN1,14210,PFDN1
MCM7,81308,MCM7
FBXO11,103585,FBXO11
KRTAP3-3,10365,KRTAP3-3
ARL3,20456,ARL3
RPL39,6407,RPL39
ANP32B,28788,ANP32B
SOCS5,61246,SOCS5
GJB6,30387,GJB6
ARL16,20936,ARL16
RBMY1B,55835,RBMY1B
SRSF9,25542,SRSF9
GPC1,61680,GPC1
INTS4,108171,INTS4
XYLT2,96767,XYLT2
LSM14A,50530,LSM14A
IGKV1-5,12782,IGKV1-5
ATP1A4,114166,ATP1A4
NOL9,79323,NOL9
OR8B2,35272,OR8B2
SDF2,23026,SDF2
INO80E,26478,INO80E
UBE2NL,17377,UBE2NL
EHD4,61175,EHD4
DCAF10,60582,DCAF10
PARP8,95871,PARP8
KRT39,55651,KRT39
FPR2,38964,FPR2
GIT1,84341,GIT1
CIC,163820,CIC
DAPK2,42898,DAPK2
ABL2,128343,ABL2
KLHL40,69257,KLHL40
SLC24A3,71992,SLC24A3
FKBP9,63084,FKBP9
LAIR1,31412,LAIR1
KRTCAP3,25627,KRTCAP3
PDCL2,28071,PDCL2
MYOCD,101997,MYOCD
ABHD17C,35831,ABHD17C
PLCXD1,36668,PLCXD1
AIFM2,40527,AIFM2
SORCS1,129635,SORCS1
ITGAM,127179,ITGAM
NSMAF,104372,NSMAF
GALNT7,75389,GALNT7
ARL15,22876,ARL15
SPTY2D1OS,6977,SPTY2D1OS
KIF7,150587,KIF7
GRAMD4,66408,GRAMD4
LCK,58001,LCK
ZNF141,55249,ZNF141
MAP3K12,93219,MAP3K12
MAFB,35792,MAFB
STXBP2,66453,STXBP2
DDIT4,25371,DDIT4
MESP1,28501,MESP1
POM121C,125092,POM121C
CACYBP,26210,CACYBP
LRRC49,78894,LRRC49
LRRC69,39592,LRRC69
LMF1,64873,LMF1
OR52E6,35524,OR52E6
FGD6,160816,FGD6
C1QL1,26453,C1QL1
TYW1B,76946,TYW1B
CDKAL1,65111,CDKAL1
MCF2L2,126993,MCF2L2
PRIM1,49902,PRIM1
GSTA1,25631,GSTA1
POU3F2,46893,POU3F2
RAB21,24348,RAB21
MTHFD1,101559,MTHFD1
CAPS2,63835,CAPS2
FEZF1,52038,FEZF1
C1QB,26722,C1QB
KALRN,340261,KALRN
HOXC9,29248,HOXC9
OPLAH,137457,OPLAH
KCNA10,57785,KCNA10
FXN,23135,FXN
BOC,121059,BOC
TCEA2,33601,TCEA2
ATAT1,46810,ATAT1
TIMELESS,138658,TIMELESS
EMSY,141468,EMSY
NCLN,62974,NCLN
DHX16,119264,DHX16
C1orf216,24968,C1orf216
ZMAT5,19971,ZMAT5
DAPL1,11880,DAPL1
PHC1,105534,PHC1
OR3A2,35207,OR3A2
KRT72,55877,KRT72
COL6A3,343669,COL6A3
PRTFDC1,25674,PRTFDC1
TMEM189,31135,TMEM189
FUT2,39017,FUT2
C6orf118,53772,C6orf118
HSD17B8,26974,HSD17B8
MDH2,35503,MDH2
MANF,20700,MANF
TMEM229A,42370,TMEM229A
IL3,17233,IL3
CRTC1,67300,CRTC1
CLN5,41497,CLN5
ANKRD60,37630,ANKRD60
SPP1,35423,SPP1
XKR6,71638,XKR6
NEK11,74192,NEK11
EFCAB14,55031,EFCAB14
KDM5D,174073,KDM5D
CBX4,61368,CBX4
FXYD4,9373,FXYD4
TAP2,75664,TAP2
MYNN,68682,MYNN
RBMX,42332,RBMX
YPEL5,13842,YPEL5
TMEM136,27859,TMEM136
CSNK1A1L,39086,CSNK1A1L
NIN,243249,NIN
GJA8,48229,GJA8
MEAF6,21635,MEAF6
MTCL1,209526,MTCL1
MBD6,101201,MBD6
PSMB9,23264,PSMB9
ZNF555,73084,ZNF555
NIPSNAP1,33310,NIPSNAP1
LGALS8,35808,LGALS8
THBS2,129991,THBS2
ST8SIA5,43895,ST8SIA5
RGS7,57668,RGS7
THAP11,34455,THAP11
SLFN12,66972,SLFN12
BSND,35197,BSND
PIH1D2,35957,PIH1D2
ACTL6A,47461,ACTL6A
BRAF,84437,BRAF
CRACR2A,45592,CRACR2A
POLR2D,16311,POLR2D
PARVA,42244,PARVA
OR56B1,36050,OR56B1
CMTM4,25828,CMTM4
CATSPERE,109662,CATSPERE
EPHX1,52949,EPHX1
MN1,136001,MN1
OR52N2,35940,OR52N2
C1orf185,22411,C1orf185
TSR3,33596,TSR3
C1QA,26017,C1QA
ATP6V1B2,56501,ATP6V1B2
RAI1,203352,RAI1
CEBPA,37561,CEBPA
SLCO1B1,76449,SLCO1B1
LEPR,132494,LEPR
SLC30A9,63515,SLC30A9
SGTA,34063,SGTA
OR5D16,37278,OR5D16
SV2A,82695,SV2A
PPP1R12B,110404,PPP1R12B
STEAP1,39851,STEAP1
TUT1,93847,TUT1
BEND7,57549,BEND7
OR4A15,38828,OR4A15
ALG10B,55448,ALG10B
TDRKH,62046,TDRKH
FAM92B,34755,FAM92B
ZNF695,60149,ZNF695
PIGX,28788,PIGX
KLC4,68640,KLC4
HIST1H2BN,13922,HIST1H2BN
NTF4,22427,NTF4
NOX3,64935,NOX3
TJP2,133958,TJP2
MLST8,35876,MLST8
GNPDA1,32669,GNPDA1
PLA2G12A,21067,PLA2G12A
PPP1CB,37187,PPP1CB
ACER1,31095,ACER1
CTSK,36966,CTSK
ARFGAP1,44668,ARFGAP1
IER5,33704,IER5
ZNF821,46794,ZNF821
GLIPR1L1,27151,GLIPR1L1
C1QL3,26719,C1QL3
ISOC1,32237,ISOC1
ISY1,32992,ISY1
C6orf226,10566,C6orf226
HAPLN1,40166,HAPLN1
BRD2,88061,BRD2
NPVF,22309,NPVF
BNIP2,36018,BNIP2
ZNF468,60573,ZNF468
PDZK1IP1,12227,PDZK1IP1
HEATR9,65681,HEATR9
CYP1A1,58165,CYP1A1
SLC16A8,52319,SLC16A8
GLYAT,33924,GLYAT
PYGO1,45116,PYGO1
PAGE2B,12041,PAGE2B
CLEC4F,65519,CLEC4F
TSPOAP1,200051,TSPOAP1
SFXN5,37124,SFXN5
CXXC5,32977,CXXC5
FBXL2,47062,FBXL2
SGPP1,49108,SGPP1
ZNF784,34237,ZNF784
KIAA1328,65373,KIAA1328
POP4,25425,POP4
MYO5B,213672,MYO5B
DBI,10044,DBI
ZNF761,87716,ZNF761
CDH2,99809,CDH2
LARS,134466,LARS
OR10H4,35765,OR10H4
ZNF275,48443,ZNF275
TMEM86A,26398,TMEM86A
UBA2,71224,UBA2
EFNA3,26350,EFNA3
RHOF,23625,RHOF
CLUAP1,48125,CLUAP1
UBE2E1,21404,UBE2E1
C16orf46,43418,C16orf46
EXOC1L,20250,EXOC1L
PHTF1,87252,PHTF1
ADAMTS7,184095,ADAMTS7
PRRC2C,316911,PRRC2C
SLC35E3,35066,SLC35E3
MPHOSPH9,133024,MPHOSPH9
BCOR,192189,BCOR
BPIFA3,28436,BPIFA3
RDH16,35673,RDH16
TIMM8B,9344,TIMM8B
RNF114,25694,RNF114
NCKAP5,208537,NCKAP5
TAF12,17924,TAF12
ENTPD5,47517,ENTPD5
HPSE2,66596,HPSE2
TUBA4B,27551,TUBA4B
ATP6V1C2,48759,ATP6V1C2
TBK1,83642,TBK1
OR6Q1,35736,OR6Q1
PTHLH,20194,PTHLH
SERGEF,48981,SERGEF
E2F5,37610,E2F5
LARP4B,80552,LARP4B
ZNF473,100182,ZNF473
LMOD2,61675,LMOD2
ZNF408,78439,ZNF408
SLC25A11,34062,SLC25A11
ONECUT1,51023,ONECUT1
KRTAP19-6,6267,KRTAP19-6
ZNF384,63219,ZNF384
ZNF713,50172,ZNF713
NSA2,30065,NSA2
NUDT3,19471,NUDT3
SERPINI2,46145,SERPINI2
MIPEP,80641,MIPEP
HSPB11,16297,HSPB11
ZNF140,52996,ZNF140
HOXA2,41002,HOXA2
SNX19,108598,SNX19
LRRC30,34034,LRRC30
MCM2,101896,MCM2
MBNL2,40518,MBNL2
CPED1,117491,CPED1
CIPC,42692,CIPC
MYLPF,19015,MYLPF
ZNF488,36962,ZNF488
PLK2,78237,PLK2
CCDC152,29979,CCDC152
NFATC4,95449,NFATC4
MYRF,124397,MYRF
APOA1,30778,APOA1
LGALS7B,15075,LGALS7B
TUBG1,51170,TUBG1
SNTG1,57969,SNTG1
DNAJC24,17139,DNAJC24
ANKS3,72038,ANKS3
SART1,90255,SART1
RFX8,66266,RFX8
SIDT1,93839,SIDT1
EIF4H,27385,EIF4H
CDK7,39038,CDK7
DNAH5,529021,DNAH5
ZNF519,63020,ZNF519
ACPP,44566,ACPP
CD40,30619,CD40
RNF214,77667,RNF214
ACTN4,104854,ACTN4
TCHHL1,99275,TCHHL1
CROCC,228523,CROCC
GPT2,57904,GPT2
DLC1,170591,DLC1
CTSW,42120,CTSW
CCNC,33243,CCNC
MLLT10,113320,MLLT10
SETBP1,175008,SETBP1
GAS2L1,72717,GAS2L1
FNDC3B,132888,FNDC3B
VNN3,56118,VNN3
HERPUD1,43720,HERPUD1
OR6S1,36127,OR6S1
NKAP,47138,NKAP
CCDC186,103687,CCDC186
POLR2I,14523,POLR2I
MRPS18B,29396,MRPS18B
NUBPL,34083,NUBPL
SNAPC5,11328,SNAPC5
TKTL2,67877,TKTL2
CD34,40716,CD34
LAMP1,44882,LAMP1
TMPRSS11F,49410,TMPRSS11F
NIPAL2,40785,NIPAL2
RNF123,148515,RNF123
PRR23B,28269,PRR23B
GSTT2,27506,GSTT2
SYT12,46537,SYT12
RASD1,31642,RASD1
C19orf24,14249,C19orf24
SH3GL1,41490,SH3GL1
ANXA8,36881,ANXA8
CD22,95348,CD22
SYTL3,68560,SYTL3
AURKB,39311,AURKB
CSF2RA,46207,CSF2RA
LY6K,18673,LY6K
ABLIM1,87688,ABLIM1
ZNF879,64577,ZNF879
BRAP,67305,BRAP
BZW1,48043,BZW1
SLC35A5,48500,SLC35A5
HYKK,41933,HYKK
POFUT1,43956,POFUT1
SNAI1,29083,SNAI1
KAT14,88844,KAT14
CD300A,33201,CD300A
PCDHAC2,109450,PCDHAC2
FAM3D,24963,FAM3D
CCDC192,32479,CCDC192
ATP6V0B,21406,ATP6V0B
ORAI1,32668,ORAI1
POU1F1,32912,POU1F1
ZFP91,63445,ZFP91
DAW1,45777,DAW1
TEN1,13856,TEN1
FABP2,15207,FABP2
C12orf45,20123,C12orf45
METTL21A,24600,METTL21A
PRR20A,23262,PRR20A
SZRD1,16997,SZRD1
ERCC6L,141103,ERCC6L
MAPK4,65922,MAPK4
FCN1,35078,FCN1
RPL38,8218,RPL38
RNASEH2C,17840,RNASEH2C
FRMD7,81614,FRMD7
PER3,131888,PER3
MRPS9,45835,MRPS9
PAX6,46683,PAX6
DGAT2L6,38593,DGAT2L6
IQCC,53032,IQCC
OR10J1,35925,OR10J1
EIF4A3,46871,EIF4A3
C2orf81,63239,C2orf81
TRIQK,9683,TRIQK
CEP63,81344,CEP63
ANKRD13C,60818,ANKRD13C
IQCE,77298,IQCE
FBLN7,47376,FBLN7
KCTD19,104938,KCTD19
BTN3A1,57677,BTN3A1
FAM209B,19499,FAM209B
HAUS5,71682,HAUS5
COL8A1,73364,COL8A1
INHBE,38561,INHBE
DPCD,23240,DPCD
DCTN5,20127,DCTN5
NFE2,41473,NFE2
TDO2,47872,TDO2
MAPK1,41390,MAPK1
LXN,25750,LXN
SPINK8,10821,SPINK8
TOP3B,96662,TOP3B
SERINC1,50495,SERINC1
SPAG17,251742,SPAG17
STAG2,141326,STAG2
MRPL4,34919,MRPL4
FLT4,152757,FLT4
KLK8,28048,KLK8
VPS37D,27730,VPS37D
TRAV20,12682,TRAV20
U2AF1L4,25744,U2AF1L4
DYNC1H1,532408,DYNC1H1
OGDH,115935,OGDH
HAS3,62998,HAS3
CXorf51A,12028,CXorf51A
ZNF12,81202,ZNF12
ATF6B,76709,ATF6B
TRAV5,12968,TRAV5
FNTB,48774,FNTB
MCM5,82286,MCM5
INPP4A,109956,INPP4A
ZNF625,34746,ZNF625
DSCAM,222260,DSCAM
HTR4,43761,HTR4
SEC24C,118325,SEC24C
TMX3,51872,TMX3
OR7A10,34406,OR7A10
FNBP1L,70065,FNBP1L
PUS10,60244,PUS10
TAB3,78653,TAB3
C2orf92,30198,C2orf92
ANKRD13D,58476,ANKRD13D
SERP2,7431,SERP2
ARHGEF2,111543,ARHGEF2
ADGRG6,136695,ADGRG6
ISLR2,78990,ISLR2
CLDN23,31915,CLDN23
HSPA13,51927,HSPA13
MRPS28,20843,MRPS28
ESM1,20095,ESM1
PDCD2,38592,PDCD2
NPTXR,52846,NPTXR
TRAV14DV4,12931,TRAV14DV4
TMX1,31791,TMX1
CDAN1,134120,CDAN1
SERPINB4,44854,SERPINB4
ZP3,47018,ZP3
C14orf132,8830,C14orf132
GOLGA6L22,102665,GOLGA6L22
HS3ST1,35773,HS3ST1
ADGRD2,104087,ADGRD2
TTC7B,94179,TTC7B
CHI3L1,42625,CHI3L1
MANBA,100895,MANBA
RPL19,23466,RPL19
C1QC,25774,C1QC
PEAK1,193106,PEAK1
NCR1,34481,NCR1
HAS1,64832,HAS1
VCAN,372820,VCAN
AGPAT5,42072,AGPAT5
HIP1,116221,HIP1
IGLV3-12,12387,IGLV3-12
KRTAP21-1,7937,KRTAP21-1
SCFD2,75127,SCFD2
SDC1,32462,SDC1
C11orf71,13249,C11orf71
GOLGA6L1,83069,GOLGA6L1
FREM1,244154,FREM1
IFNL2,22288,IFNL2
SMG8,109684,SMG8
PRR29,20715,PRR29
FRRS1,66114,FRRS1
RBBP8,101942,RBBP8
ZNF57,64428,ZNF57
GPR142,51106,GPR142
NR1D2,64625,NR1D2
ZNF382,64010,ZNF382
OR4F16,35074,OR4F16
SUPT20H,85789,SUPT20H
TMEM202,31353,TMEM202
PIGU,50052,PIGU
SERTAD2,33897,SERTAD2
CCL15,12248,CCL15
ZNF639,56054,ZNF639
DCAF7,38926,DCAF7
NDUFB2,12058,NDUFB2
PCDHGC5,101921,PCDHGC5
ZNF525,23070,ZNF525
MIDN,49213,MIDN
B3GALNT2,56704,B3GALNT2
KRTAP26-1,22554,KRTAP26-1
HPCAL1,22313,HPCAL1
NEUROD2,41361,NEUROD2
NIPAL4,50058,NIPAL4
PET100,9114,PET100
C10orf71,156477,C10orf71
VOPP1,19224,VOPP1
RXFP4,41141,RXFP4
ADAMTS4,90197,ADAMTS4
LIPG,56795,LIPG
MAP1A,305485,MAP1A
GFI1B,37492,GFI1B
DUOXA2,34787,DUOXA2
PEX19,32807,PEX19
ZNF630,76094,ZNF630
DESI2,21444,DESI2
B2M,13715,B2M
RBP5,15931,RBP5
ZNF503,62555,ZNF503
MYBPHL,38733,MYBPHL
ZNF770,80007,ZNF770
COL6A6,247173,COL6A6
NEXN,80658,NEXN
CACNA1F,220678,CACNA1F
PDZD11,16131,PDZD11
DPM1,29634,DPM1
C17orf113,72432,C17orf113
CPNE7,70294,CPNE7
METTL9,36536,METTL9
ARHGEF16,80105,ARHGEF16
SPTAN1,284539,SPTAN1
ELP2,92500,ELP2
MT1E,6014,MT1E
GK3P,60598,GK3P
RAB3GAP1,110524,RAB3GAP1
CCR10,38416,CCR10
OR6M1,35328,OR6M1
TRPV5,82551,TRPV5
MAGOH,17164,MAGOH
GNA13,44050,GNA13
ZNF414,32782,ZNF414
CD164L2,18403,CD164L2
