Parent	Child	EdgeType
regulation of synaptic vesicle endocytosis	SCAMP5	Gene-Term
voltage-gated ion channel activity involved in regulation of presynaptic membrane potential	SCN10A	Gene-Term
voltage-gated ion channel activity involved in regulation of presynaptic membrane potential	SCN1A	Gene-Term
voltage-gated ion channel activity involved in regulation of presynaptic membrane potential	SCN2A	Gene-Term
neurotransmitter receptor transport, endosome to postsynaptic membrane	SCRIB	Gene-Term
synaptic vesicle endocytosis	SCRIB	Gene-Term
regulation of postsynaptic neurotransmitter receptor endocytosis	SCRIB	Gene-Term
presynapse assembly	SDCBP	Gene-Term
maintenance of synapse structure	SEMA3A	Gene-Term
regulation of synapse organization	SEMA3A	Gene-Term
synaptic target recognition	SEMA3A	Gene-Term
regulation of postsynapse organization	SEMA3F	Gene-Term
regulation of synapse organization	SEPT11	Gene-Term
regulation of synaptic vesicle docking	SEPT5	Gene-Term
structural constituent of postsynapse	SEPT7	Gene-Term
postsynapse organization	SEPT7	Gene-Term
dendritic transport of messenger ribonucleoprotein complex	SFPQ	Gene-Term
presynaptic chaperone-mediated protein folding	SGTA	Gene-Term
synaptic vesicle endocytosis	SH3GL2	Gene-Term
postsynaptic actin cytoskeleton organization	SH3GL2	Gene-Term
postsynaptic neurotransmitter receptor endocytosis	SH3GLB2	Gene-Term
structural constituent of postsynaptic density	SHANK1	Gene-Term
modulation of chemical synaptic transmission	SHANK1	Gene-Term
regulation of postsynapse organization	SHANK2	Gene-Term
structural constituent of postsynaptic density	SHANK2	Gene-Term
regulation of postsynapse organization	SHANK3	Gene-Term
structural constituent of postsynaptic density	SHANK3	Gene-Term
modulation of chemical synaptic transmission	SHANK3	Gene-Term
regulation of postsynaptic neurotransmitter receptor activity	SHISA6	Gene-Term
postsynaptic neurotransmitter receptor diffusion trapping	SHISA6	Gene-Term
regulation of postsynaptic neurotransmitter receptor activity	SHISA7	Gene-Term
regulation of postsynaptic neurotransmitter receptor activity	SHISA9	Gene-Term
postsynaptic actin cytoskeleton organization	SIPA1L1	Gene-Term
regulation of postsynaptic density assembly	SIPA1L1	Gene-Term
regulation of postsynaptic neurotransmitter receptor endocytosis	SIRT2	Gene-Term
regulation of synapse disassembly	SKP1	Gene-Term
regulation of synaptic vesicle neurotransmitter loading	SLC10A4	Gene-Term
metabolism	SLC16A3	Gene-Term
synaptic vesicle neurotransmitter loading	SLC17A6	Gene-Term
synaptic vesicle neurotransmitter loading	SLC17A7	Gene-Term
synaptic vesicle neurotransmitter loading	SLC17A8	Gene-Term
synaptic vesicle neurotransmitter loading	SLC18A2	Gene-Term
synaptic vesicle neurotransmitter loading	SLC18A3	Gene-Term
neurotransmitter reuptake	SLC1A2	Gene-Term
neurotransmitter uptake	SLC1A6	Gene-Term
regulation of synaptic vesicle budding from presynaptic endocytic zone membrane	SLC2A4	Gene-Term
zinc ion import into synaptic vesicle	SLC30A3	Gene-Term
synaptic vesicle neurotransmitter loading	SLC32A1	Gene-Term
neurotransmitter reuptake	SLC6A1	Gene-Term
neurotransmitter uptake	SLC6A11	Gene-Term
metabolism	SLC6A17	Gene-Term
neurotransmitter reuptake	SLC6A2	Gene-Term
neurotransmitter uptake	SLC6A3	Gene-Term
neurotransmitter reuptake	SLC6A4	Gene-Term
neurotransmitter uptake	SLC6A5	Gene-Term
neurotransmitter reuptake	SLC6A5	Gene-Term
transport	SLC6A6	Gene-Term
modulation of chemical synaptic transmission	SLC6A6	Gene-Term
metabolism	SLC6A7	Gene-Term
metabolism	SLC6A8	Gene-Term
neurotransmitter uptake	SLC6A9	Gene-Term
calcium:cation antiporter activity involved in regulation of postsynaptic cytosolic calcium ion levels	SLC8A1	Gene-Term
calcium:cation antiporter activity involved in regulation of postsynaptic cytosolic calcium ion levels	SLC8A2	Gene-Term
calcium:cation antiporter activity involved in regulation of postsynaptic cytosolic calcium ion levels	SLC8A3	Gene-Term
regulation of presynapse assembly	SLITRK1	Gene-Term
regulation of synapse organization	SLITRK1	Gene-Term
synapse adhesion between pre- and post-synapse	SLITRK1	Gene-Term
regulation of presynapse assembly	SLITRK2	Gene-Term
regulation of synapse organization	SLITRK2	Gene-Term
synapse adhesion between pre- and post-synapse	SLITRK2	Gene-Term
regulation of presynapse assembly	SLITRK3	Gene-Term
synapse adhesion between pre- and post-synapse	SLITRK3	Gene-Term
regulation of synapse organization	SLITRK4	Gene-Term
exocytic insertion of neurotransmitter receptor to postsynaptic membrane	SNAP23	Gene-Term
synaptic vesicle exocytosis	SNAP25	Gene-Term
regulation of synaptic vesicle cycle	SNAP29	Gene-Term
regulation of synaptic vesicle exocytosis	SNAP29	Gene-Term
exocytic insertion of neurotransmitter receptor to postsynaptic membrane	SNAP47	Gene-Term
synaptic vesicle endocytosis	SNAP91	Gene-Term
regulation of synaptic vesicle exocytosis	SNAPIN	Gene-Term
synaptic vesicle endocytosis	SNCA	Gene-Term
synaptic vesicle endocytosis	SNCB	Gene-Term
postsynaptic modulation of chemical synaptic transmission	SORCS3	Gene-Term
maintenance of synapse structure	SORT1	Gene-Term
regulation of synapse organization	SPARC	Gene-Term
regulation of synapse organization	SPARCL1	Gene-Term
synapse adhesion between pre- and post-synapse	SPARCL1	Gene-Term
modification of postsynaptic actin cytoskeleton	SPTB	Gene-Term
structural constituent of postsynapse	SPTBN2	Gene-Term
regulation of postsynaptic specialization assembly	SPTBN2	Gene-Term
postsynapse organization	SPTBN2	Gene-Term
regulation of postsynaptic neurotransmitter receptor activity	SRC	Gene-Term
postsynaptic actin cytoskeleton organization	SRCIN1	Gene-Term
regulation of synapse assembly	SRCIN1	Gene-Term
regulation of postsynapse organization	SRGN	Gene-Term
modulation of chemical synaptic transmission	SRGN	Gene-Term
postsynapse to nucleus signaling pathway	STAT3	Gene-Term
modulation of chemical synaptic transmission	STAT3	Gene-Term
modification of postsynaptic structure	STAU1	Gene-Term
modulation of chemical synaptic transmission	STAU1	Gene-Term
dendritic transport of messenger ribonucleoprotein complex	STAU1	Gene-Term
anterograde dendritic transport of messenger ribonucleoprotein complex	STAU2	Gene-Term
synaptic vesicle endocytosis	STON2	Gene-Term
synaptic vesicle to endosome fusion	STX12	Gene-Term
synaptic vesicle exocytosis	STX1A	Gene-Term
synaptic vesicle exocytosis	STX1B	Gene-Term
synaptic vesicle fusion to presynaptic active zone membrane	STX1B	Gene-Term
synaptic vesicle exocytosis	STX3	Gene-Term
exocytic insertion of neurotransmitter receptor to postsynaptic membrane	STX3	Gene-Term
modulation of chemical synaptic transmission	STX3	Gene-Term
exocytic insertion of neurotransmitter receptor to postsynaptic membrane	STX4	Gene-Term
synaptic vesicle to endosome fusion	STX6	Gene-Term
synaptic vesicle priming	STXBP1	Gene-Term
regulation of postsynaptic membrane neurotransmitter receptor levels	STXBP4	Gene-Term
regulation of synaptic vesicle docking	STXBP5	Gene-Term
synaptic vesicle cycle	STXBP5	Gene-Term
regulation of synaptic vesicle exocytosis	STXBP5	Gene-Term
regulation of presynaptic dense core vesicle exocytosis	STXBP5	Gene-Term
regulation of synaptic vesicle priming	STXBP5	Gene-Term
regulation of synaptic vesicle exocytosis	STXBP5L	Gene-Term
synaptic vesicle priming	SV2A	Gene-Term
regulation of synaptic vesicle exocytosis	SV2B	Gene-Term
regulation of presynaptic cytosolic calcium levels	SV2B	Gene-Term
regulation of synaptic vesicle exocytosis	SV2C	Gene-Term
synapse assembly	SYDE1	Gene-Term
synapse assembly	SYDE2	Gene-Term
regulation of synaptic vesicle cycle	SYN1	Gene-Term
synaptic vesicle cycle	SYN1	Gene-Term
synaptic vesicle cycle	SYN2	Gene-Term
synaptic vesicle clustering	SYN2	Gene-Term
synaptic vesicle cycle	SYN3	Gene-Term
synaptic vesicle clustering	SYN3	Gene-Term
regulation of postsynaptic neurotransmitter receptor endocytosis	SYNE1	Gene-Term
modulation of chemical synaptic transmission	SYNGAP1	Gene-Term
maintenance of postsynaptic specialization structure	SYNGAP1	Gene-Term
regulation of synaptic vesicle cycle	SYNGR1	Gene-Term
regulation of synaptic vesicle cycle	SYNGR2	Gene-Term
regulation of synaptic vesicle cycle	SYNGR3	Gene-Term
regulation of synaptic vesicle cycle	SYNGR4	Gene-Term
regulation of neurotransmitter uptake	SYNGR3	Gene-Term
synaptic vesicle uncoating	SYNJ1	Gene-Term
regulation of postsynaptic neurotransmitter receptor endocytosis	SYNJ1	Gene-Term
regulation of postsynaptic cytosolic calcium levels	SYNPO	Gene-Term
postsynaptic modulation of chemical synaptic transmission	SYNPO	Gene-Term
regulation of synaptic vesicle exocytosis	SYP	Gene-Term
calcium-dependent activation of synaptic vesicle fusion	SYT1	Gene-Term
presynaptic dense core vesicle exocytosis	SYT10	Gene-Term
regulation of synaptic vesicle endocytosis	SYT11	Gene-Term
calcium-dependent activation of synaptic vesicle fusion	SYT2	Gene-Term
regulation of trans-synaptic signaling by BDNF, modulating synaptic transmission	SYT4	Gene-Term
regulation of postsynaptic dense core vesicle exocytosis	SYT4	Gene-Term
postsynaptic dense core vesicle exocytosis	SYT6	Gene-Term
regulation of synaptic vesicle endocytosis	SYT7	Gene-Term
calcium-dependent activation of synaptic vesicle fusion	SYT7	Gene-Term
calcium-dependent activation of synaptic vesicle fusion	SYT9	Gene-Term
regulation of postsynapse organization	TANC1	Gene-Term
regulation of postsynapse organization	TAOK2	Gene-Term
regulation of synaptic membrane adhesion	TAOK2	Gene-Term
retrograde trans-synaptic signaling by trans-synaptic protein complex	TENM1	Gene-Term
retrograde trans-synaptic signaling by trans-synaptic protein complex	TENM2	Gene-Term
retrograde trans-synaptic signaling by trans-synaptic protein complex	TENM3	Gene-Term
retrograde trans-synaptic signaling by trans-synaptic protein complex	TENM4	Gene-Term
postsynaptic spectrin-associated cytoskeleton organization	TENM1	Gene-Term
postsynaptic spectrin-associated cytoskeleton organization	TENM2	Gene-Term
postsynaptic spectrin-associated cytoskeleton organization	TENM3	Gene-Term
postsynaptic spectrin-associated cytoskeleton organization	TENM4	Gene-Term
maintenance of alignment of postsynaptic density and presynaptic active zone	TENM1	Gene-Term
maintenance of alignment of postsynaptic density and presynaptic active zone	TENM2	Gene-Term
maintenance of alignment of postsynaptic density and presynaptic active zone	TENM3	Gene-Term
maintenance of alignment of postsynaptic density and presynaptic active zone	TENM4	Gene-Term
regulation of protein translation at postsynapse	TENT2	Gene-Term
axonal transport of messenger ribonucleoprotein complex	TERF2	Gene-Term
regulation of modification of postsynaptic actin cytoskeleton	TIAM1	Gene-Term
regulation of postsynapse organization	TIAM1	Gene-Term
zinc ion import into synaptic vesicle	TMEM163	Gene-Term
regulation of neurotransmitter receptor localization to postsynaptic specialization membrane	TNIK	Gene-Term
modulation of chemical synaptic transmission	TNR	Gene-Term
regulation of protein catabolic process at postsynapse	TRIM3	Gene-Term
postsynaptic modulation of chemical synaptic transmission	TRIO	Gene-Term
regulation of postsynapse organization	TSC2	Gene-Term
voltage-gated calcium channel activity involved in regulation of presynaptic cytosolic calcium levels	TSPOAP1	Gene-Term
regulation of synapse organization	TUBA1A	Gene-Term
regulation of synapse organization	TUBB	Gene-Term
modulation of chemical synaptic transmission	TUBB2B	Gene-Term
protein translation at presynapse	UBA52	Gene-Term
protein translation at postsynapse	UBA52	Gene-Term
modulation of chemical synaptic transmission	UBE3A	Gene-Term
synaptic vesicle exocytosis	UNC13A	Gene-Term
synaptic vesicle exocytosis	UNC13B	Gene-Term
synaptic vesicle exocytosis	UNC13C	Gene-Term
regulation of postsynaptic neurotransmitter receptor endocytosis	USP46	Gene-Term
regulation of protein catabolic process at postsynapse, modulating synaptic transmission	USP8	Gene-Term
regulation of synaptic vesicle fusion to presynaptic active zone membrane	VAMP1	Gene-Term
synaptic vesicle priming	VAMP1	Gene-Term
synaptic vesicle exocytosis	VAMP2	Gene-Term
synaptic vesicle docking	VAMP2	Gene-Term
regulation of synaptic vesicle endocytosis	VAMP4	Gene-Term
synaptic vesicle to endosome fusion	VAMP4	Gene-Term
regulation of synapse organization	VCP	Gene-Term
synaptic signaling via neuropeptide	VGF	Gene-Term
modulation of chemical synaptic transmission	VGF	Gene-Term
regulation of postsynapse organization	VHL	Gene-Term
regulation of protein catabolic process at postsynapse	VHL	Gene-Term
regulation of synaptic vesicle exocytosis	VPS18	Gene-Term
regulation of synaptic vesicle endocytosis	VPS35	Gene-Term
regulation of synapse maturation	VPS35	Gene-Term
regulation of postsynapse assembly	VPS35	Gene-Term
neurotransmitter receptor transport, endosome to postsynaptic membrane	VPS35	Gene-Term
synaptic vesicle to endosome fusion	VTI1A	Gene-Term
modification of postsynaptic actin cytoskeleton	WASF1	Gene-Term
dendritic transport of mitochondrion	WASF1	Gene-Term
postsynapse organization	WASF2	Gene-Term
postsynaptic actin cytoskeleton organization	WASF2	Gene-Term
modification of postsynaptic actin cytoskeleton	WASF3	Gene-Term
postsynapse organization	WASL	Gene-Term
regulation of postsynapse organization	WASL	Gene-Term
postsynaptic actin cytoskeleton organization	WASL	Gene-Term
trans-synaptic signaling	WLS	Gene-Term
trans-synaptic signalling via exosome	WLS	Gene-Term
modulation of chemical synaptic transmission	WNK1	Gene-Term
regulation of presynapse assembly	WNT3A	Gene-Term
regulation of synapse organization	WNT3A	Gene-Term
modulation of chemical synaptic transmission	WNT3A	Gene-Term
regulation of postsynapse to nucleus signaling pathway	WNT3A	Gene-Term
regulation of synapse organization	WNT5A	Gene-Term
modulation of chemical synaptic transmission	WNT5A	Gene-Term
regulation of postsynapse organization	WNT5A	Gene-Term
regulation of postsynaptic cytosolic calcium levels	WNT5A	Gene-Term
postsynaptic modulation of chemical synaptic transmission	WNT5A	Gene-Term
regulation of synaptic signaling by nitric oxide	WNT5A	Gene-Term
regulation of postsynaptic specialization assembly	WNT5A	Gene-Term
regulation of presynapse assembly	WNT7A	Gene-Term
regulation of postsynapse organization	WNT7A	Gene-Term
regulation of synaptic vesicle exocytosis	WNT7A	Gene-Term
regulation of postsynaptic membrane neurotransmitter receptor levels	YWHAE	Gene-Term
presynaptic modulation of chemical synaptic transmission	YWHAH	Gene-Term
regulation of synapse maturation	YWHAZ	Gene-Term
synaptic target recognition	YWHAZ	Gene-Term
regulation of postsynaptic membrane neurotransmitter receptor levels	ZDHHC5	Gene-Term
